"Status","Year","Responsibility_level","Ethnicity","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","EO","Mixed","Security","[c]","[c]","[c]","[c]"
"In post","2021","EO","Mixed","Unknown","1300","1220","28390","27570"
"In post","2021","EO","Other ethnicity","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","EO","Other ethnicity","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","EO","Other ethnicity","Communications","[c]","[c]","[c]","[c]"
"In post","2021","EO","Other ethnicity","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","EO","Other ethnicity","Debt","[c]","[c]","[c]","[c]"
"In post","2021","EO","Other ethnicity","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","EO","Other ethnicity","Finance","[c]","[c]","[c]","[c]"
"In post","2021","EO","Other ethnicity","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","EO","Other ethnicity","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","EO","Other ethnicity","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","EO","Other ethnicity","Legal","[c]","[c]","[c]","[c]"
"In post","2021","EO","Other ethnicity","No function","170","160","28460","27500"
"In post","2021","EO","Other ethnicity","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","EO","Other ethnicity","Property","[c]","[c]","[c]","[c]"
"In post","2021","EO","Other ethnicity","Security","[c]","[c]","[c]","[c]"
"In post","2021","EO","Other ethnicity","Unknown","420","400","28770","28670"
"In post","2021","EO","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","EO","Undeclared","Commercial","40","40","[c]","[c]"
"In post","2021","EO","Undeclared","Communications","70","70","25850","25560"
"In post","2021","EO","Undeclared","Counter Fraud","170","150","27890","28130"
"In post","2021","EO","Undeclared","Debt","40","30","[c]","[c]"
"In post","2021","EO","Undeclared","Digital, Data & Technology","90","90","28650","27510"
"In post","2021","EO","Undeclared","Finance","70","60","27240","26720"
"In post","2021","EO","Undeclared","Grants Management","30","30","[c]","[c]"
"In post","2021","EO","Undeclared","Human Resources","60","50","27510","26670"
"In post","2021","EO","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","EO","Undeclared","Legal","50","50","[c]","[c]"
"In post","2021","EO","Undeclared","No function","1490","1390","28910","28130"
"In post","2021","EO","Undeclared","Project Delivery","170","160","25730","26300"
"In post","2021","EO","Undeclared","Property","80","80","27750","26670"
"In post","2021","EO","Undeclared","Security","60","60","35940","42660"
"In post","2021","EO","Undeclared","Unknown","3450","3110","28140","27570"
"In post","2021","EO","Unknown","Analysis","120","110","25990","25880"
"In post","2021","EO","Unknown","Commercial","90","90","25500","26010"
"In post","2021","EO","Unknown","Communications","1110","1080","25820","25560"
"In post","2021","EO","Unknown","Counter Fraud","730","700","26840","25560"
"In post","2021","EO","Unknown","Debt","190","180","26440","25560"
"In post","2021","EO","Unknown","Digital, Data & Technology","450","450","26880","26210"
"In post","2021","EO","Unknown","Finance","180","170","26130","25810"
"In post","2021","EO","Unknown","Grants Management","180","170","25090","25100"
"In post","2021","EO","Unknown","Human Resources","220","210","26680","26670"
"In post","2021","EO","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","EO","Unknown","Legal","670","630","28320","29350"
"In post","2021","EO","Unknown","No function","5260","5010","28320","27230"
"In post","2021","EO","Unknown","Project Delivery","480","460","24320","25560"
"In post","2021","EO","Unknown","Property","370","340","26860","26000"
"In post","2021","EO","Unknown","Security","150","140","28570","26670"
"In post","2021","EO","Unknown","Unknown","4570","4340","27980","27570"
"In post","2021","EO","White","Analysis","490","460","26200","25800"
"In post","2021","EO","White","Commercial","630","600","26800","26670"
"In post","2021","EO","White","Communications","1600","1520","25800","25560"
"In post","2021","EO","White","Counter Fraud","2080","1930","26750","25560"
"In post","2021","EO","White","Debt","630","570","26630","25560"
"In post","2021","EO","White","Digital, Data & Technology","1440","1370","27440","26670"
"In post","2021","EO","White","Finance","1190","1120","26240","26670"
"In post","2021","EO","White","Grants Management","330","300","25700","25660"
"In post","2021","EO","White","Human Resources","1260","1180","26500","26590"
"In post","2021","EO","White","Internal Audit","30","30","[c]","[c]"
"In post","2021","EO","White","Legal","1300","1200","27900","28430"
"In post","2021","EO","White","No function","22930","21390","28170","27130"
"In post","2021","EO","White","Project Delivery","3580","3390","24750","25690"
"In post","2021","EO","White","Property","1320","1250","27510","26670"
"In post","2021","EO","White","Security","900","880","32850","28350"
"In post","2021","EO","White","Unknown","50110","45400","27620","27570"
"In post","2021","G6/G7","Asian","Analysis","130","130","59230","58820"
"In post","2021","G6/G7","Asian","Commercial","40","40","[c]","[c]"
"In post","2021","G6/G7","Asian","Communications","40","30","[c]","[c]"
"In post","2021","G6/G7","Asian","Counter Fraud","50","50","[c]","[c]"
"In post","2021","G6/G7","Asian","Debt","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Asian","Digital, Data & Technology","210","210","58370","55480"
"In post","2021","G6/G7","Asian","Finance","140","130","59200","59120"
"In post","2021","G6/G7","Asian","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Asian","Human Resources","80","80","58370","56730"
"In post","2021","G6/G7","Asian","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Asian","Legal","470","430","57410","54770"
"In post","2021","G6/G7","Asian","No function","980","960","57510","54700"
"In post","2021","G6/G7","Asian","Project Delivery","290","290","59030","58460"
"In post","2021","G6/G7","Asian","Property","30","30","[c]","[c]"
"In post","2021","G6/G7","Asian","Security","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Asian","Unknown","510","500","60880","57680"
"In post","2021","G6/G7","Black","Analysis","30","30","[c]","[c]"
"In post","2021","G6/G7","Black","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Black","Communications","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Black","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Black","Debt","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Black","Digital, Data & Technology","80","80","56210","54700"
"In post","2021","G6/G7","Black","Finance","60","60","58230","57380"
"In post","2021","G6/G7","Black","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Black","Human Resources","40","40","[c]","[c]"
"In post","2021","G6/G7","Black","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Black","Legal","220","220","59330","59900"
"In post","2021","G6/G7","Black","No function","400","390","56870","54020"
"In post","2021","G6/G7","Black","Project Delivery","150","150","57390","58030"
"In post","2021","G6/G7","Black","Property","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Black","Security","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Black","Unknown","200","200","60370","57680"
"In post","2021","G6/G7","Chinese","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Chinese","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Chinese","Communications","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Chinese","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Chinese","Debt","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Chinese","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Chinese","Finance","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Chinese","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Chinese","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Chinese","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Chinese","Legal","30","30","[c]","[c]"
"In post","2021","G6/G7","Chinese","No function","90","90","57220","54700"
"In post","2021","G6/G7","Chinese","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Chinese","Property","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Chinese","Security","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Chinese","Unknown","40","40","[c]","[c]"
"In post","2021","G6/G7","Mixed","Analysis","60","60","58100","55430"
"In post","2021","G6/G7","Mixed","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Mixed","Communications","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Mixed","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Mixed","Debt","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Mixed","Digital, Data & Technology","80","80","56450","54700"
"In post","2021","G6/G7","Mixed","Finance","40","40","[c]","[c]"
"In post","2021","G6/G7","Mixed","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Mixed","Human Resources","50","50","57650","56540"
"In post","2021","G6/G7","Mixed","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Mixed","Legal","180","170","58670","57630"
"In post","2021","G6/G7","Mixed","No function","460","450","58120","54700"
"In post","2021","G6/G7","Mixed","Project Delivery","140","140","57460","55990"
"In post","2021","G6/G7","Mixed","Property","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Mixed","Security","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Mixed","Unknown","210","200","59720","57680"
"In post","2021","G6/G7","Other ethnicity","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Other ethnicity","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Other ethnicity","Communications","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Other ethnicity","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Other ethnicity","Debt","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Other ethnicity","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Other ethnicity","Finance","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Other ethnicity","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Other ethnicity","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Other ethnicity","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Other ethnicity","Legal","90","80","61120","61030"
"In post","2021","G6/G7","Other ethnicity","No function","160","150","58990","55490"
"In post","2021","G6/G7","Other ethnicity","Project Delivery","50","50","58550","57870"
"In post","2021","G6/G7","Other ethnicity","Property","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Other ethnicity","Security","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Other ethnicity","Unknown","60","60","61580","57570"
"In post","2021","G6/G7","Undeclared","Analysis","100","90","58210","56350"
"In post","2021","G6/G7","Undeclared","Commercial","50","40","[c]","[c]"
"In post","2021","G6/G7","Undeclared","Communications","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Undeclared","Counter Fraud","100","90","58250","56400"
"In post","2021","G6/G7","Undeclared","Debt","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Undeclared","Digital, Data & Technology","180","170","58430","57050"
"In post","2021","G6/G7","Undeclared","Finance","90","90","59060","57940"
"In post","2021","G6/G7","Undeclared","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Undeclared","Human Resources","50","50","59100","58680"
"In post","2021","G6/G7","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Undeclared","Legal","140","140","60340","57760"
"In post","2021","G6/G7","Undeclared","No function","1060","1020","57710","55530"
"In post","2021","G6/G7","Undeclared","Project Delivery","400","390","57050","55260"
"In post","2021","G6/G7","Undeclared","Property","80","80","57930","57130"
"In post","2021","G6/G7","Undeclared","Security","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Undeclared","Unknown","540","520","61260","59730"
"In post","2021","G6/G7","Unknown","Analysis","300","290","57160","54760"
"In post","2021","G6/G7","Unknown","Commercial","670","660","62480","56200"
"In post","2021","G6/G7","Unknown","Communications","230","230","57850","55080"
"In post","2021","G6/G7","Unknown","Counter Fraud","120","120","57500","56740"
"In post","2021","G6/G7","Unknown","Debt","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Unknown","Digital, Data & Technology","620","600","57680","55550"
"In post","2021","G6/G7","Unknown","Finance","220","220","57560","54990"
"In post","2021","G6/G7","Unknown","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Unknown","Human Resources","150","150","56970","54900"
"In post","2021","G6/G7","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Unknown","Legal","780","730","60570","59160"
"In post","2021","G6/G7","Unknown","No function","2610","2540","57640","54700"
"In post","2021","G6/G7","Unknown","Project Delivery","870","860","56650","55060"
"In post","2021","G6/G7","Unknown","Property","140","140","57800","55760"
"In post","2021","G6/G7","Unknown","Security","60","50","59080","54700"
"In post","2021","G6/G7","Unknown","Unknown","1140","1100","61190","59480"
"In post","2021","G6/G7","White","Analysis","1750","1670","58510","56410"
"In post","2021","G6/G7","White","Commercial","940","910","60740","58670"
"In post","2021","G6/G7","White","Communications","730","700","57860","55890"
"In post","2021","G6/G7","White","Counter Fraud","800","760","57470","54700"
"In post","2021","G6/G7","White","Debt","40","40","[c]","[c]"
"In post","2021","G6/G7","White","Digital, Data & Technology","2460","2400","57230","54700"
"In post","2021","G6/G7","White","Finance","1500","1460","58720","57540"
"In post","2021","G6/G7","White","Grants Management","40","40","[c]","[c]"
"In post","2021","G6/G7","White","Human Resources","1510","1460","57860","56110"
"In post","2021","G6/G7","White","Internal Audit","160","150","59040","58120"
"In post","2021","G6/G7","White","Legal","4110","3780","59490","58040"
"In post","2021","G6/G7","White","No function","15330","14780","58560","55940"
"In post","2021","G6/G7","White","Project Delivery","5460","5310","57410","55620"
"In post","2021","G6/G7","White","Property","970","950","57520","55530"
"In post","2021","G6/G7","White","Security","270","260","60750","58470"
"In post","2021","G6/G7","White","Unknown","9330","8970","60780","60740"
"In post","2021","SCS","Asian","Analysis","[c]","[c]","[c]","[c]"
