"Status","Year","Region_ITL3","Organisation","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Armagh City, Banbridge and Craigavon","Ministry of Defence (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Ministry of Defence (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Department for Work and Pensions (excl. agencies)","Female","290","250","30770","31060"
"In post","2021","Barking & Dagenham and Havering","Department for Work and Pensions (excl. agencies)","Male","180","170","31310","31060"
"In post","2021","Barking & Dagenham and Havering","Driver and Vehicle Standards Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Driver and Vehicle Standards Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Food Standards Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Food Standards Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Government Internal Audit Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Government Internal Audit Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","HM Courts and Tribunals Service","Female","60","50","24830","22450"
"In post","2021","Barking & Dagenham and Havering","HM Courts and Tribunals Service","Male","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","HM Prison and Probation Service","Female","40","40","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","HM Prison and Probation Service","Male","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Ministry of Defence (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Ministry of Defence (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Ministry of Justice (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Ministry of Justice (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Department for Work and Pensions (excl. agencies)","Female","220","200","30620","31060"
"In post","2021","Barnet","Department for Work and Pensions (excl. agencies)","Male","80","80","30960","31060"
"In post","2021","Barnet","Driver and Vehicle Standards Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Driver and Vehicle Standards Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","HM Courts and Tribunals Service","Female","30","30","[c]","[c]"
"In post","2021","Barnet","HM Courts and Tribunals Service","Male","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","HM Prison and Probation Service","Female","40","40","[c]","[c]"
"In post","2021","Barnet","HM Prison and Probation Service","Male","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Home Office (incl. agencies)","Female","30","30","[c]","[c]"
"In post","2021","Barnet","Home Office (incl. agencies)","Male","120","120","45380","44510"
"In post","2021","Barnet","Ministry of Defence (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Ministry of Defence (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Public Health England","Female","730","680","41440","35530"
"In post","2021","Barnet","Public Health England","Male","370","360","46100","41950"
"In post","2021","Barnsley, Doncaster and Rotherham","Department for Environment, Food and Rural Affairs (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Department for Environment, Food and Rural Affairs (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Department for Work and Pensions (excl. agencies)","Female","1030","830","25040","27570"
"In post","2021","Barnsley, Doncaster and Rotherham","Department for Work and Pensions (excl. agencies)","Male","340","320","25260","27570"
"In post","2021","Barnsley, Doncaster and Rotherham","Driver and Vehicle Standards Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Driver and Vehicle Standards Agency","Male","40","40","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Food Standards Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Food Standards Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Government Internal Audit Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Government Internal Audit Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","HM Courts and Tribunals Service","Female","70","60","21750","20100"
"In post","2021","Barnsley, Doncaster and Rotherham","HM Courts and Tribunals Service","Male","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","HM Prison and Probation Service","Female","670","620","27560","25300"
"In post","2021","Barnsley, Doncaster and Rotherham","HM Prison and Probation Service","Male","730","690","30260","27680"
"In post","2021","Barnsley, Doncaster and Rotherham","Home Office (incl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Home Office (incl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Legal Aid Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Legal Aid Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Ministry of Defence (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Ministry of Defence (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Ministry of Justice (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Ministry of Justice (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Public Health England","Female","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Public Health England","Male","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Cabinet Office (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Cabinet Office (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Defence Equipment and Support","Female","3000","2800","35050","32640"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Defence Equipment and Support","Male","5120","5040","39880","38180"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Defence Science and Technology Laboratory","Female","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Defence Science and Technology Laboratory","Male","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Department for Work and Pensions (excl. agencies)","Female","210","180","27250","27570"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Department for Work and Pensions (excl. agencies)","Male","110","110","27720","27570"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Driver and Vehicle Standards Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Driver and Vehicle Standards Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Food Standards Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Food Standards Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Government Internal Audit Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Government Internal Audit Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Government Legal Department","Female","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Government Legal Department","Male","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","HM Courts and Tribunals Service","Female","70","60","24630","20100"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","HM Courts and Tribunals Service","Male","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","HM Prison and Probation Service","Female","390","340","29860","27150"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","HM Prison and Probation Service","Male","240","230","32320","31650"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Home Office (incl. agencies)","Female","90","80","25560","24890"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Home Office (incl. agencies)","Male","110","100","27850","25380"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Maritime and Coastguard Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Maritime and Coastguard Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Ministry of Defence (excl. agencies)","Female","880","820","36200","33300"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Ministry of Defence (excl. agencies)","Male","1190","1170","40360","40580"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Ministry of Justice (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Ministry of Justice (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","National Crime Agency","Female","230","210","33520","32770"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","National Crime Agency","Male","190","190","38830","36740"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Submarine Delivery Agency","Female","450","430","38530","35790"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Submarine Delivery Agency","Male","920","910","43580","40570"
"In post","2021","Bedford","Department for Environment, Food and Rural Affairs (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Department for Environment, Food and Rural Affairs (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Department for Work and Pensions (excl. agencies)","Female","120","100","27940","27570"
"In post","2021","Bedford","Department for Work and Pensions (excl. agencies)","Male","50","50","27970","27570"
"In post","2021","Bedford","Driver and Vehicle Standards Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Driver and Vehicle Standards Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Food Standards Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Food Standards Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Health and Safety Executive","Female","30","30","[c]","[c]"
"In post","2021","Bedford","Health and Safety Executive","Male","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","HM Courts and Tribunals Service","Female","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","HM Courts and Tribunals Service","Male","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","HM Prison and Probation Service","Female","190","180","28040","28030"
"In post","2021","Bedford","HM Prison and Probation Service","Male","180","170","31090","30400"
"In post","2021","Bedford","Home Office (incl. agencies)","Female","60","60","28850","26160"
"In post","2021","Bedford","Home Office (incl. agencies)","Male","60","60","28730","26220"
"In post","2021","Bedford","Met Office","Female","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Met Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Ministry of Defence (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Ministry of Defence (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Ministry of Justice (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","Ministry of Justice (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","National Crime Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","Bedford","National Crime Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Cabinet Office (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Cabinet Office (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Companies House","Female","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Companies House","Male","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Competition and Markets Authority","Female","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Competition and Markets Authority","Male","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Defence Equipment and Support","Female","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Defence Equipment and Support","Male","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Department for Business, Energy and Industrial Strategy (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Department for Business, Energy and Industrial Strategy (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Department for Digital, Culture, Media and Sport","Female","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Department for Digital, Culture, Media and Sport","Male","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Department for Work and Pensions (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Department for Work and Pensions (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Food Standards Agency","Female","60","50","38740","37910"
"In post","2021","Belfast","Food Standards Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","HM Revenue and Customs (excl. agencies)","Female","1020","910","28140","25560"
"In post","2021","Belfast","HM Revenue and Customs (excl. agencies)","Male","980","940","28910","25560"
"In post","2021","Belfast","Home Office (incl. agencies)","Female","220","190","24780","21430"
"In post","2021","Belfast","Home Office (incl. agencies)","Male","230","220","25170","24880"
"In post","2021","Belfast","Ministry of Defence (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2021","Belfast","Ministry of Defence (excl. agencies)","Male","40","40","[c]","[c]"
"In post","2021","Belfast","National Crime Agency","Female","60","50","39180","39480"
"In post","2021","Belfast","National Crime Agency","Male","60","60","40580","36740"
"In post","2021","Belfast","Northern Ireland Office","Female","50","50","36720","34990"
"In post","2021","Belfast","Northern Ireland Office","Male","30","30","[c]","[c]"
"In post","2021","Berkshire","Animal and Plant Health Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Animal and Plant Health Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Cabinet Office (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Cabinet Office (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Crown Prosecution Service","Female","100","90","41740","36240"
"In post","2021","Berkshire","Crown Prosecution Service","Male","30","30","[c]","[c]"
"In post","2021","Berkshire","Defence Equipment and Support","Female","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Defence Equipment and Support","Male","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Department for Environment, Food and Rural Affairs (excl. agencies)","Female","80","80","39900","36520"
"In post","2021","Berkshire","Department for Environment, Food and Rural Affairs (excl. agencies)","Male","100","100","41700","37410"
"In post","2021","Berkshire","Department for International Trade","Female","50","50","[c]","[c]"
"In post","2021","Berkshire","Department for International Trade","Male","70","70","46270","51710"
"In post","2021","Berkshire","Department for Work and Pensions (excl. agencies)","Female","320","290","29550","29290"
"In post","2021","Berkshire","Department for Work and Pensions (excl. agencies)","Male","130","130","29060","29290"
"In post","2021","Berkshire","Department of Health and Social Care (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Department of Health and Social Care (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Driver and Vehicle Standards Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Driver and Vehicle Standards Agency","Male","30","30","[c]","[c]"
"In post","2021","Berkshire","Government Internal Audit Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Government Internal Audit Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","HM Courts and Tribunals Service","Female","80","70","26100","22450"
"In post","2021","Berkshire","HM Courts and Tribunals Service","Male","40","40","[c]","[c]"
"In post","2021","Berkshire","HM Prison and Probation Service","Female","110","110","28750","24800"
"In post","2021","Berkshire","HM Prison and Probation Service","Male","40","40","[c]","[c]"
"In post","2021","Berkshire","HM Revenue and Customs (excl. agencies)","Female","170","150","33920","31810"
"In post","2021","Berkshire","HM Revenue and Customs (excl. agencies)","Male","150","140","35600","32520"
"In post","2021","Berkshire","Home Office (incl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Home Office (incl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Insolvency Service","Female","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Insolvency Service","Male","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Met Office","Female","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Met Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Ministry of Defence (excl. agencies)","Female","240","230","30710","26670"
"In post","2021","Berkshire","Ministry of Defence (excl. agencies)","Male","780","770","35520","39070"
"In post","2021","Berkshire","Ministry of Justice (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Ministry of Justice (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","National Crime Agency","Female","50","40","[c]","[c]"
"In post","2021","Berkshire","National Crime Agency","Male","60","60","40710","39820"
"In post","2021","Berkshire","Rural Payments Agency","Female","90","80","28200","22430"
"In post","2021","Berkshire","Rural Payments Agency","Male","90","90","32810","30040"
"In post","2021","Berkshire","Submarine Delivery Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire","Submarine Delivery Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","Crown Prosecution Service","Female","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","Crown Prosecution Service","Male","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","Department for Work and Pensions (excl. agencies)","Female","280","250","31090","31060"
"In post","2021","Bexley and Greenwich","Department for Work and Pensions (excl. agencies)","Male","120","110","31080","31060"
"In post","2021","Bexley and Greenwich","Driver and Vehicle Standards Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","Driver and Vehicle Standards Agency","Male","40","40","[c]","[c]"
"In post","2021","Bexley and Greenwich","HM Courts and Tribunals Service","Female","50","50","24720","23500"
"In post","2021","Bexley and Greenwich","HM Courts and Tribunals Service","Male","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","HM Prison and Probation Service","Female","510","490","30660","30110"
"In post","2021","Bexley and Greenwich","HM Prison and Probation Service","Male","600","580","33650","33180"
"In post","2021","Bexley and Greenwich","HM Revenue and Customs (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2021","Bexley and Greenwich","HM Revenue and Customs (excl. agencies)","Male","[c]","[c]","[c]","[c]"
