"Status","Year","Region_ITL2","Disability","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Bedfordshire and Hertfordshire","Declared non-disabled","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Declared non-disabled","Legal","90","80","54570","55660"
"In post","2021","Bedfordshire and Hertfordshire","Declared non-disabled","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Declared non-disabled","Operational Delivery","1380","1280","29870","27850"
"In post","2021","Bedfordshire and Hertfordshire","Declared non-disabled","Other","130","130","27860","25390"
"In post","2021","Bedfordshire and Hertfordshire","Declared non-disabled","Policy","40","40","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Declared non-disabled","Project Delivery","100","100","41040","37640"
"In post","2021","Bedfordshire and Hertfordshire","Declared non-disabled","Property","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Declared non-disabled","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Declared non-disabled","Science and Engineering","110","100","47570","44230"
"In post","2021","Bedfordshire and Hertfordshire","Declared non-disabled","Security","50","50","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Declared non-disabled","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Declared non-disabled","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Declared non-disabled","Unknown","910","830","29340","29290"
"In post","2021","Bedfordshire and Hertfordshire","Declared non-disabled","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Undeclared","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Undeclared","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Undeclared","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Undeclared","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Undeclared","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Undeclared","Operational Delivery","130","120","29940","27850"
"In post","2021","Bedfordshire and Hertfordshire","Undeclared","Other","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Undeclared","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Undeclared","Property","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Undeclared","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Undeclared","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Undeclared","Security","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Undeclared","Unknown","60","50","30190","29290"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Operational Delivery","350","340","30000","27850"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Other","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Science and Engineering","80","80","48810","45140"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Unknown","70","70","31800","29290"
"In post","2021","Bedfordshire and Hertfordshire","Unknown","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared disabled","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared disabled","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared disabled","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared disabled","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared disabled","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared disabled","Operational Delivery","360","350","29170","27390"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared disabled","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared disabled","Other","90","90","27560","23130"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared disabled","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared disabled","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared disabled","Project Delivery","40","40","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared disabled","Property","30","30","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared disabled","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared disabled","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared disabled","Security","70","60","36170","39070"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared disabled","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared disabled","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared disabled","Unknown","220","190","28660","27570"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared disabled","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared non-disabled","Commercial","140","140","39670","37500"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared non-disabled","Communications","50","50","33220","32380"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared non-disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared non-disabled","Digital, Data and Technology","190","180","42290","38330"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared non-disabled","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared non-disabled","Finance","230","220","38190","33300"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared non-disabled","Human Resources","100","90","39280","35590"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared non-disabled","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared non-disabled","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared non-disabled","International Trade","50","50","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared non-disabled","Knowledge and Information Management","60","60","35850","33630"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared non-disabled","Legal","150","120","48060","51120"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared non-disabled","Medicine","70","60","46020","37890"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared non-disabled","Operational Delivery","2180","2060","29420","27850"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared non-disabled","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared non-disabled","Other","630","610","26410","22080"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared non-disabled","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared non-disabled","Policy","50","50","41570","37560"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared non-disabled","Project Delivery","270","270","40700","37940"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared non-disabled","Property","290","280","35030","33410"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared non-disabled","Psychology","70","60","37220","31180"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared non-disabled","Science and Engineering","190","180","40650","38580"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared non-disabled","Security","570","570","33710","30400"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared non-disabled","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared non-disabled","Tax","110","100","38320","35000"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared non-disabled","Unknown","920","850","28640","27650"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Declared non-disabled","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","Operational Delivery","350","320","31010","31810"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","Other","50","50","27250","23120"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","Property","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","Security","100","100","39370","41070"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","Unknown","60","60","28940","29290"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Finance","30","30","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Legal","40","40","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Medicine","50","40","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Operational Delivery","530","510","28900","27850"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Other","150","140","27760","21870"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Project Delivery","30","30","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Property","30","30","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Science and Engineering","100","100","48620","51240"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Security","230","230","33150","28890"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Tax","30","30","[c]","[c]"
"In post","2021","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Unknown","140","140","32210","27570"
"In post","2021","Cheshire","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Declared disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Declared disabled","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Declared disabled","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Declared disabled","Operational Delivery","180","170","29310","28840"
"In post","2021","Cheshire","Declared disabled","Other","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Declared disabled","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Declared disabled","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Declared disabled","Property","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Declared disabled","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Declared disabled","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Declared disabled","Security","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Declared disabled","Unknown","170","150","25430","27570"
"In post","2021","Cheshire","Declared disabled","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Declared non-disabled","Digital, Data and Technology","80","70","42830","45990"
"In post","2021","Cheshire","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Declared non-disabled","Human Resources","30","30","[c]","[c]"
"In post","2021","Cheshire","Declared non-disabled","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Declared non-disabled","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Declared non-disabled","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Declared non-disabled","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Declared non-disabled","Operational Delivery","1260","1190","31460","30330"
"In post","2021","Cheshire","Declared non-disabled","Other","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Declared non-disabled","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Declared non-disabled","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Declared non-disabled","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Declared non-disabled","Property","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Declared non-disabled","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Declared non-disabled","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Declared non-disabled","Security","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Declared non-disabled","Unknown","690","620","25550","27570"
"In post","2021","Cheshire","Declared non-disabled","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Undeclared","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Undeclared","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Undeclared","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Undeclared","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Undeclared","Operational Delivery","190","180","30630","31650"
"In post","2021","Cheshire","Undeclared","Other","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Undeclared","Property","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Undeclared","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Undeclared","Security","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Undeclared","Unknown","50","40","[c]","[c]"
"In post","2021","Cheshire","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Unknown","Digital, Data and Technology","40","40","[c]","[c]"
"In post","2021","Cheshire","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Unknown","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Unknown","Operational Delivery","830","820","32830","32770"
"In post","2021","Cheshire","Unknown","Other","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Unknown","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Unknown","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Unknown","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","Cheshire","Unknown","Unknown","40","40","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Declared disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Declared disabled","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Declared disabled","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Declared disabled","Operational Delivery","30","30","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Declared disabled","Other","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Declared disabled","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Declared disabled","Property","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Declared disabled","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Declared disabled","Security","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Declared disabled","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Declared disabled","Unknown","150","130","25690","27570"
"In post","2021","Cornwall and Isles of Scilly","Declared disabled","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Cornwall and Isles of Scilly","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
