"Status","Year","Organisation","Parent_department","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","United Kingdom Statistics Authority","United Kingdom Statistics Authority","Unknown","50","50","35520","32540"
"In post","2021","Valuation Office Agency","HM Revenue and Customs","Female","1820","1630","31610","26500"
"In post","2021","Valuation Office Agency","HM Revenue and Customs","Male","1710","1650","35940","32100"
"In post","2021","Vehicle Certification Agency","Department for Transport","Female","70","60","28900","27250"
"In post","2021","Vehicle Certification Agency","Department for Transport","Male","140","140","39480","37790"
"In post","2021","Veterinary Medicines Directorate","Department for Environment, Food and Rural Affairs","Female","100","100","39100","36590"
"In post","2021","Veterinary Medicines Directorate","Department for Environment, Food and Rural Affairs","Male","70","70","47750","52290"
"In post","2021","Wales Office","Wales Office","Female","[c]","[c]","[c]","[c]"
"In post","2021","Wales Office","Wales Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","Water Services Regulation Authority","Water Services Regulation Authority","Female","130","120","55630","48850"
"In post","2021","Water Services Regulation Authority","Water Services Regulation Authority","Male","120","120","56660","51630"
"In post","2021","Welsh Government (excl. agencies)","Welsh Government","Female","3380","3120","39780","37410"
"In post","2021","Welsh Government (excl. agencies)","Welsh Government","Male","2330","2270","42740","37410"
"In post","2021","Welsh Revenue Authority","Welsh Government","Female","40","40","[c]","[c]"
"In post","2021","Welsh Revenue Authority","Welsh Government","Male","30","30","[c]","[c]"
"In post","2021","Wilton Park","Foreign, Commonwealth and Development Office","Female","60","50","33030","28640"
"In post","2021","Wilton Park","Foreign, Commonwealth and Development Office","Male","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Scottish Government","Female","70","60","31110","30040"
"In post","2022","Accountant in Bankruptcy","Scottish Government","Male","40","40","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Female","610","560","32240","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Male","420","400","34810","31140"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Female","1730","1610","29680","26450"
"In post","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Male","1180","1140","31810","28680"
"In post","2022","Attorney General's Office","Attorney General's Departments","Female","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Office","Attorney General's Departments","Male","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","Female","5340","5190","44760","37300"
"In post","2022","Cabinet Office (excl. agencies)","Cabinet Office","Male","4590","4560","50080","42240"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Female","320","290","32110","29750"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Male","330","330","36010","30660"
"In post","2022","Charity Commission","Charity Commission","Female","290","270","34020","29160"
"In post","2022","Charity Commission","Charity Commission","Male","180","180","33970","29160"
"In post","2022","Companies House","Department for Business, Energy and Industrial Strategy","Female","660","590","29590","24500"
"In post","2022","Companies House","Department for Business, Energy and Industrial Strategy","Male","520","510","32770","29910"
"In post","2022","Competition and Markets Authority","Competition and Markets Authority","Female","430","410","58420","55860"
"In post","2022","Competition and Markets Authority","Competition and Markets Authority","Male","430","420","64140","59450"
"In post","2022","Criminal Injuries Compensation Authority","Ministry of Justice","Female","180","160","28100","25120"
"In post","2022","Criminal Injuries Compensation Authority","Ministry of Justice","Male","140","140","26970","25120"
"In post","2022","Crown Commercial Service","Cabinet Office","Female","430","410","39040","38330"
"In post","2022","Crown Commercial Service","Cabinet Office","Male","380","380","41240","38980"
"In post","2022","Crown Office and Procurator Fiscal Service","Scottish Government","Female","1670","1550","36040","30040"
"In post","2022","Crown Office and Procurator Fiscal Service","Scottish Government","Male","680","660","38350","33070"
"In post","2022","Crown Prosecution Service","Attorney General's Departments","Female","4730","4310","39760","33120"
"In post","2022","Crown Prosecution Service","Attorney General's Departments","Male","2310","2260","44740","48080"
"In post","2022","Defence Electronics and Components Agency","Ministry of Defence","Female","70","70","29630","26880"
"In post","2022","Defence Electronics and Components Agency","Ministry of Defence","Male","370","350","29330","29470"
"In post","2022","Defence Equipment and Support","Ministry of Defence","Female","3720","3470","34470","32160"
"In post","2022","Defence Equipment and Support","Ministry of Defence","Male","7030","6890","37980","36080"
"In post","2022","Defence Science and Technology Laboratory","Ministry of Defence","Female","1660","1550","38720","38070"
"In post","2022","Defence Science and Technology Laboratory","Ministry of Defence","Male","2990","2930","42390","41460"
"In post","2022","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Female","3000","2900","47700","44300"
"In post","2022","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Male","3010","2980","49960","53160"
"In post","2022","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Female","1100","1070","46410","46980"
"In post","2022","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Male","910","910","47640","51730"
"In post","2022","Department for Education (excl. agencies)","Department for Education","Female","3790","3590","43530","40230"
"In post","2022","Department for Education (excl. agencies)","Department for Education","Male","2510","2480","45170","41990"
"In post","2022","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Female","3600","3400","41120","37070"
"In post","2022","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Male","2900","2860","43170","38750"
"In post","2022","Department for International Trade","Department for International Trade","Female","1390","1370","45340","40600"
"In post","2022","Department for International Trade","Department for International Trade","Male","1490","1480","47770","44030"
"In post","2022","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","Female","1740","1680","45250","39600"
"In post","2022","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","Male","1570","1550","46180","42140"
"In post","2022","Department for Transport (excl. agencies)","Department for Transport","Female","1630","1570","46470","42470"
"In post","2022","Department for Transport (excl. agencies)","Department for Transport","Male","2040","2000","50090","46710"
"In post","2022","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Female","59040","50960","27510","27570"
"In post","2022","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Male","32410","31130","29130","27570"
"In post","2022","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Female","2640","2530","46650","41320"
"In post","2022","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Male","1430","1410","48960","49530"
"In post","2022","Disclosure Scotland","Scottish Government","Female","180","170","29370","23230"
"In post","2022","Disclosure Scotland","Scottish Government","Male","180","170","28930","23230"
"In post","2022","Driver and Vehicle Licensing Agency","Department for Transport","Female","3800","3170","24500","21840"
"In post","2022","Driver and Vehicle Licensing Agency","Department for Transport","Male","2560","2470","29050","21840"
"In post","2022","Driver and Vehicle Standards Agency","Department for Transport","Female","1510","1390","28990","26780"
"In post","2022","Driver and Vehicle Standards Agency","Department for Transport","Male","3410","3260","29860","27930"
"In post","2022","Education and Skills Funding Agency","Department for Education","Female","1070","1010","40330","36780"
"In post","2022","Education and Skills Funding Agency","Department for Education","Male","840","830","42720","37100"
"In post","2022","Education Scotland","Scottish Government","Female","240","230","56780","62170"
"In post","2022","Education Scotland","Scottish Government","Male","90","90","59200","65280"
"In post","2022","Estyn","Estyn","Female","70","60","55870","66900"
"In post","2022","Estyn","Estyn","Male","50","50","[c]","[c]"
"In post","2022","FCDO Services","Foreign, Commonwealth and Development Office","Female","310","290","38650","32160"
"In post","2022","FCDO Services","Foreign, Commonwealth and Development Office","Male","780","750","40820","39090"
"In post","2022","Food Standards Agency","Food Standards Agency","Female","650","630","39100","37350"
"In post","2022","Food Standards Agency","Food Standards Agency","Male","810","790","36410","30810"
"In post","2022","Food Standards Scotland","Scottish Government","Female","140","140","35510","31540"
"In post","2022","Food Standards Scotland","Scottish Government","Male","160","150","36350","31540"
"In post","2022","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","Female","3640","3530","47700","43320"
"In post","2022","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","Male","3440","3410","50840","51500"
"In post","2022","Forestry and Land Scotland","Scottish Government","Female","350","340","32500","31060"
"In post","2022","Forestry and Land Scotland","Scottish Government","Male","670","650","33080","31060"
"In post","2022","Government Actuary's Department","Chancellor's other departments","Female","90","80","62570","65470"
"In post","2022","Government Actuary's Department","Chancellor's other departments","Male","140","130","68050","57250"
"In post","2022","Government Internal Audit Agency","HM Treasury","Female","240","220","46410","43200"
"In post","2022","Government Internal Audit Agency","HM Treasury","Male","220","210","51350","49750"
"In post","2022","Government Legal Department","Attorney General's Departments","Female","1710","1550","54070","51830"
"In post","2022","Government Legal Department","Attorney General's Departments","Male","920","900","54440","52040"
"In post","2022","Government Property Agency","Cabinet Office","Female","140","130","46990","43400"
"In post","2022","Government Property Agency","Cabinet Office","Male","170","170","53850","54700"
"In post","2022","Health and Safety Executive","Department for Work and Pensions","Female","1370","1260","38110","34830"
"In post","2022","Health and Safety Executive","Department for Work and Pensions","Male","1340","1300","47560","45130"
"In post","2022","HM Courts and Tribunals Service","Ministry of Justice","Female","11380","10030","26370","21650"
"In post","2022","HM Courts and Tribunals Service","Ministry of Justice","Male","4730","4570","27730","23720"
"In post","2022","HM Crown Prosecution Service Inspectorate","Attorney General's Departments","Female","[c]","[c]","[c]","[c]"
"In post","2022","HM Crown Prosecution Service Inspectorate","Attorney General's Departments","Male","[c]","[c]","[c]","[c]"
"In post","2022","HM Land Registry","HM Land Registry","Female","4010","3560","30510","27130"
"In post","2022","HM Land Registry","HM Land Registry","Male","2620","2480","32540","27130"
"In post","2022","HM Prison and Probation Service","Ministry of Justice","Female","33020","30760","29640","27380"
"In post","2022","HM Prison and Probation Service","Ministry of Justice","Male","28690","27400","31120","30210"
