"Status","Year","Sexual_orientation","Organisation","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Cabinet Office (excl. agencies)","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Cabinet Office (excl. agencies)","West Yorkshire","70","70","44490","39050"
"In post","2021","Heterosexual / straight","Centre for Environment, Fisheries and Aquaculture Science","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Centre for Environment, Fisheries and Aquaculture Science","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Centre for Environment, Fisheries and Aquaculture Science","Dorset and Somerset","50","50","33850","30220"
"In post","2021","Heterosexual / straight","Centre for Environment, Fisheries and Aquaculture Science","East Anglia","170","160","34000","29510"
"In post","2021","Heterosexual / straight","Centre for Environment, Fisheries and Aquaculture Science","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Charity Commission","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Charity Commission","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Charity Commission","Inner London - West","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Charity Commission","Merseyside","170","160","32590","29160"
"In post","2021","Heterosexual / straight","Companies House","East Wales","680","620","32200","27460"
"In post","2021","Heterosexual / straight","Companies House","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Companies House","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Companies House","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Competition and Markets Authority","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Competition and Markets Authority","Eastern Scotland","50","50","[c]","[c]"
"In post","2021","Heterosexual / straight","Competition and Markets Authority","Inner London - East","640","610","60050","56360"
"In post","2021","Heterosexual / straight","Competition and Markets Authority","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Criminal Injuries Compensation Authority","West Central Scotland","190","180","26650","22710"
"In post","2021","Heterosexual / straight","Crown Commercial Service","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Crown Commercial Service","East Anglia","110","110","35820","34800"
"In post","2021","Heterosexual / straight","Crown Commercial Service","East Wales","80","70","34900","34800"
"In post","2021","Heterosexual / straight","Crown Commercial Service","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Crown Commercial Service","Inner London - East","50","50","[c]","[c]"
"In post","2021","Heterosexual / straight","Crown Commercial Service","Merseyside","290","290","39320","35290"
"In post","2021","Heterosexual / straight","Crown Commercial Service","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Crown Commercial Service","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Crown Office and Procurator Fiscal Service","Eastern Scotland","660","620","36220","30500"
"In post","2021","Heterosexual / straight","Crown Office and Procurator Fiscal Service","Highlands and Islands","60","60","32240","22220"
"In post","2021","Heterosexual / straight","Crown Office and Procurator Fiscal Service","North Eastern Scotland","80","80","32690","29040"
"In post","2021","Heterosexual / straight","Crown Office and Procurator Fiscal Service","Southern Scotland","230","210","34810","29040"
"In post","2021","Heterosexual / straight","Crown Office and Procurator Fiscal Service","West Central Scotland","690","640","34780","29040"
"In post","2021","Heterosexual / straight","Crown Prosecution Service","Bedfordshire and Hertfordshire","130","120","41700","40000"
"In post","2021","Heterosexual / straight","Crown Prosecution Service","Berkshire, Buckinghamshire and Oxfordshire","90","90","42390","38120"
"In post","2021","Heterosexual / straight","Crown Prosecution Service","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Crown Prosecution Service","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Crown Prosecution Service","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Crown Prosecution Service","Derbyshire and Nottinghamshire","190","180","36960","30130"
"In post","2021","Heterosexual / straight","Crown Prosecution Service","Devon","80","80","39080","34480"
"In post","2021","Heterosexual / straight","Crown Prosecution Service","East Anglia","80","80","35280","28430"
"In post","2021","Heterosexual / straight","Crown Prosecution Service","East Wales","210","190","40840","38180"
"In post","2021","Heterosexual / straight","Crown Prosecution Service","East Yorkshire and Northern Lincolnshire","50","50","38910","31720"
"In post","2021","Heterosexual / straight","Crown Prosecution Service","Essex","140","130","40910","35630"
"In post","2021","Heterosexual / straight","Crown Prosecution Service","Gloucestershire, Wiltshire and Bath/Bristol area","110","100","38720","33310"
"In post","2021","Heterosexual / straight","Crown Prosecution Service","Greater Manchester","280","260","40280","38000"
"In post","2021","Heterosexual / straight","Crown Prosecution Service","Hampshire and Isle of Wight","190","180","42150","39750"
"In post","2021","Heterosexual / straight","Crown Prosecution Service","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Crown Prosecution Service","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Crown Prosecution Service","Inner London - West","1110","1060","45330","40800"
"In post","2021","Heterosexual / straight","Crown Prosecution Service","Kent","80","80","37640","30110"
"In post","2021","Heterosexual / straight","Crown Prosecution Service","Lancashire","120","110","39160","38000"
"In post","2021","Heterosexual / straight","Crown Prosecution Service","Leicestershire, Rutland and Northamptonshire","110","100","40230","43420"
"In post","2021","Heterosexual / straight","Crown Prosecution Service","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Crown Prosecution Service","Merseyside","260","250","36940","30720"
"In post","2021","Heterosexual / straight","Crown Prosecution Service","North Yorkshire","220","200","44530","50850"
"In post","2021","Heterosexual / straight","Crown Prosecution Service","Northumberland and Tyne and Wear","170","160","38510","34480"
"In post","2021","Heterosexual / straight","Crown Prosecution Service","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Crown Prosecution Service","Outer London - South","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Crown Prosecution Service","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Crown Prosecution Service","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Crown Prosecution Service","Shropshire and Staffordshire","50","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Crown Prosecution Service","South Yorkshire","80","80","34710","28430"
"In post","2021","Heterosexual / straight","Crown Prosecution Service","Surrey, East and West Sussex","110","100","43130","40000"
"In post","2021","Heterosexual / straight","Crown Prosecution Service","Tees Valley and Durham","70","60","37080","28430"
"In post","2021","Heterosexual / straight","Crown Prosecution Service","West Midlands","340","320","38910","38000"
