"Status","Year","Region_ITL2","Responsibility_level","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Derbyshire and Nottinghamshire","Unknown","Derby","140","130","30130","29930"
"In post","2021","Derbyshire and Nottinghamshire","Unknown","East Derbyshire","50","40","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Unknown","North Nottinghamshire","100","90","31560","30880"
"In post","2021","Derbyshire and Nottinghamshire","Unknown","Nottingham","170","160","28100","28200"
"In post","2021","Derbyshire and Nottinghamshire","Unknown","South and West Derbyshire","40","40","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Unknown","South Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Devon","AA/AO","Devon CC","1950","1720","22200","21010"
"In post","2021","Devon","AA/AO","Plymouth","1000","910","22880","21100"
"In post","2021","Devon","AA/AO","Torbay","150","120","20650","21010"
"In post","2021","Devon","EO","Devon CC","1330","1210","26930","27570"
"In post","2021","Devon","EO","Plymouth","900","830","27120","27130"
"In post","2021","Devon","EO","Torbay","120","100","27310","27570"
"In post","2021","Devon","G6/G7","Devon CC","680","640","53650","49960"
"In post","2021","Devon","G6/G7","Plymouth","150","140","60850","56750"
"In post","2021","Devon","G6/G7","Torbay","[c]","[c]","[c]","[c]"
"In post","2021","Devon","SCS","Devon CC","[c]","[c]","[c]","[c]"
"In post","2021","Devon","SCS","Plymouth","[c]","[c]","[c]","[c]"
"In post","2021","Devon","SCS","Torbay","[c]","[c]","[c]","[c]"
"In post","2021","Devon","SEO/HEO","Devon CC","1520","1440","37130","37420"
"In post","2021","Devon","SEO/HEO","Plymouth","860","810","38670","38450"
"In post","2021","Devon","SEO/HEO","Torbay","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Unknown","Devon CC","80","80","32470","31420"
"In post","2021","Devon","Unknown","Plymouth","200","190","35130","32710"
"In post","2021","Devon","Unknown","Torbay","30","30","[c]","[c]"
"In post","2021","Dorset and Somerset","AA/AO","Bournemouth and Poole","200","180","20310","20100"
"In post","2021","Dorset and Somerset","AA/AO","Dorset CC","990","940","23860","22350"
"In post","2021","Dorset and Somerset","AA/AO","Somerset","530","480","20540","20920"
"In post","2021","Dorset and Somerset","EO","Bournemouth and Poole","330","290","27070","27570"
"In post","2021","Dorset and Somerset","EO","Dorset CC","560","520","28090","27130"
"In post","2021","Dorset and Somerset","EO","Somerset","730","660","26920","27570"
"In post","2021","Dorset and Somerset","G6/G7","Bournemouth and Poole","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","G6/G7","Dorset CC","60","60","61970","60520"
"In post","2021","Dorset and Somerset","G6/G7","Somerset","130","120","57150","53930"
