"Status","Year","Sexual_orientation","Organisation","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Department for Digital, Culture, Media and Sport","Female","700","670","48940","51730"
"In post","2021","Heterosexual / straight","Department for Digital, Culture, Media and Sport","Male","550","550","50570","51730"
"In post","2021","Heterosexual / straight","Department for Education (excl. agencies)","Female","2430","2290","43600","40230"
"In post","2021","Heterosexual / straight","Department for Education (excl. agencies)","Male","1570","1560","45560","41990"
"In post","2021","Heterosexual / straight","Department for Environment, Food and Rural Affairs (excl. agencies)","Female","2120","2000","41430","36970"
"In post","2021","Heterosexual / straight","Department for Environment, Food and Rural Affairs (excl. agencies)","Male","1660","1640","43950","39370"
"In post","2021","Heterosexual / straight","Department for International Trade","Female","740","720","45780","40290"
"In post","2021","Heterosexual / straight","Department for International Trade","Male","810","800","47070","42160"
"In post","2021","Heterosexual / straight","Department for Transport (excl. agencies)","Female","1070","1020","47240","43360"
"In post","2021","Heterosexual / straight","Department for Transport (excl. agencies)","Male","1210","1190","51060","46710"
"In post","2021","Heterosexual / straight","Department for Work and Pensions (excl. agencies)","Female","39010","34060","27530","27570"
"In post","2021","Heterosexual / straight","Department for Work and Pensions (excl. agencies)","Male","19720","18990","28630","27570"
"In post","2021","Heterosexual / straight","Department of Health and Social Care (excl. agencies)","Female","840","790","46900","42000"
"In post","2021","Heterosexual / straight","Department of Health and Social Care (excl. agencies)","Male","540","530","49990","49530"
"In post","2021","Heterosexual / straight","Disclosure Scotland","Female","90","80","29290","26030"
"In post","2021","Heterosexual / straight","Disclosure Scotland","Male","100","90","29840","24110"
"In post","2021","Heterosexual / straight","Driver and Vehicle Licensing Agency","Female","2270","1930","24890","21590"
"In post","2021","Heterosexual / straight","Driver and Vehicle Licensing Agency","Male","1560","1510","29690","25910"
"In post","2021","Heterosexual / straight","Driver and Vehicle Standards Agency","Female","790","730","29710","26780"
"In post","2021","Heterosexual / straight","Driver and Vehicle Standards Agency","Male","1990","1910","30480","27680"
"In post","2021","Heterosexual / straight","Education and Skills Funding Agency","Female","700","660","41010","36960"
"In post","2021","Heterosexual / straight","Education and Skills Funding Agency","Male","510","510","41870","36960"
"In post","2021","Heterosexual / straight","Education Scotland","Female","130","130","57450","65650"
"In post","2021","Heterosexual / straight","Education Scotland","Male","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","ESTYN","Female","60","50","53540","62360"
"In post","2021","Heterosexual / straight","ESTYN","Male","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","FCDO Services","Female","250","240","39210","32670"
"In post","2021","Heterosexual / straight","FCDO Services","Male","560","540","40960","38760"
"In post","2021","Heterosexual / straight","Food Standards Agency","Female","390","370","39120","37910"
"In post","2021","Heterosexual / straight","Food Standards Agency","Male","470","460","37490","32830"
"In post","2021","Heterosexual / straight","Food Standards Scotland","Female","70","70","35600","33620"
"In post","2021","Heterosexual / straight","Food Standards Scotland","Male","70","60","36350","30650"
"In post","2021","Heterosexual / straight","Foreign, Commonwealth and Development Office (excl. agencies)","Female","2720","2630","47070","41000"
"In post","2021","Heterosexual / straight","Foreign, Commonwealth and Development Office (excl. agencies)","Male","2380","2360","50380","48840"
"In post","2021","Heterosexual / straight","Forestry and Land Scotland","Female","90","90","33980","30160"
"In post","2021","Heterosexual / straight","Forestry and Land Scotland","Male","130","120","35280","35330"
"In post","2021","Heterosexual / straight","Government Actuary's Department","Female","60","60","61570","64100"
"In post","2021","Heterosexual / straight","Government Actuary's Department","Male","100","90","71170","60780"
"In post","2021","Heterosexual / straight","Government Internal Audit Agency","Female","200","190","45600","42720"
"In post","2021","Heterosexual / straight","Government Internal Audit Agency","Male","190","190","51260","49750"
"In post","2021","Heterosexual / straight","Government Legal Department","Female","1090","1000","53390","51830"
"In post","2021","Heterosexual / straight","Government Legal Department","Male","530","520","52870","51250"
"In post","2021","Heterosexual / straight","Government Property Agency","Female","80","70","46050","45200"
"In post","2021","Heterosexual / straight","Government Property Agency","Male","90","90","54480","53140"
"In post","2021","Heterosexual / straight","Health and Safety Executive","Female","950","860","38260","35510"
"In post","2021","Heterosexual / straight","Health and Safety Executive","Male","880","860","48630","45870"
"In post","2021","Heterosexual / straight","HM Courts and Tribunals Service","Female","8620","7520","24450","21170"
"In post","2021","Heterosexual / straight","HM Courts and Tribunals Service","Male","3190","3070","25760","21310"
"In post","2021","Heterosexual / straight","HM Land Registry","Female","2170","1910","31080","27130"
"In post","2021","Heterosexual / straight","HM Land Registry","Male","1370","1300","33680","31740"
"In post","2021","Heterosexual / straight","HM Prison and Probation Service","Female","19080","17730","29680","27380"
"In post","2021","Heterosexual / straight","HM Prison and Probation Service","Male","18410","17800","31230","30400"
"In post","2021","Heterosexual / straight","HM Revenue and Customs (excl. agencies)","Female","18710","16600","31730","28130"
"In post","2021","Heterosexual / straight","HM Revenue and Customs (excl. agencies)","Male","15910","15310","33940","31810"
"In post","2021","Heterosexual / straight","HM Treasury (excl. agencies)","Female","760","740","46810","42900"
"In post","2021","Heterosexual / straight","HM Treasury (excl. agencies)","Male","760","750","48800","52500"
"In post","2021","Heterosexual / straight","Home Office (incl. agencies)","Female","14900","13410","31300","27240"
"In post","2021","Heterosexual / straight","Home Office (incl. agencies)","Male","13290","12720","32440","27370"
"In post","2021","Heterosexual / straight","Insolvency Service","Female","550","510","33050","29940"
"In post","2021","Heterosexual / straight","Insolvency Service","Male","370","360","37000","35240"
"In post","2021","Heterosexual / straight","Institute for Apprenticeships and Technical Education","Female","80","80","47940","49960"
"In post","2021","Heterosexual / straight","Institute for Apprenticeships and Technical Education","Male","60","60","53620","50620"
"In post","2021","Heterosexual / straight","Legal Aid Agency","Female","580","530","27790","22570"
"In post","2021","Heterosexual / straight","Legal Aid Agency","Male","360","350","31140","25310"
"In post","2021","Heterosexual / straight","Maritime and Coastguard Agency","Female","350","320","32930","31040"
"In post","2021","Heterosexual / straight","Maritime and Coastguard Agency","Male","550","540","40990","36180"
"In post","2021","Heterosexual / straight","Medicines and Healthcare Products Regulatory Agency","Female","480","470","45200","40850"
"In post","2021","Heterosexual / straight","Medicines and Healthcare Products Regulatory Agency","Male","320","310","48110","41040"
"In post","2021","Heterosexual / straight","Met Office","Female","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Met Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Ministry of Defence (excl. agencies)","Female","12820","12120","30740","26670"
"In post","2021","Heterosexual / straight","Ministry of Defence (excl. agencies)","Male","15810","15550","32870","29670"
"In post","2021","Heterosexual / straight","Ministry of Housing, Communities and Local Government (excl. agencies)","Female","1040","1000","45450","40400"
"In post","2021","Heterosexual / straight","Ministry of Housing, Communities and Local Government (excl. agencies)","Male","920","910","46700","41980"
"In post","2021","Heterosexual / straight","Ministry of Justice (excl. agencies)","Female","2180","2090","40530","36800"
"In post","2021","Heterosexual / straight","Ministry of Justice (excl. agencies)","Male","1490","1470","44070","40480"
"In post","2021","Heterosexual / straight","National Crime Agency","Female","1840","1760","37210","36200"
"In post","2021","Heterosexual / straight","National Crime Agency","Male","2260","2250","42390","40170"
"In post","2021","Heterosexual / straight","National Infrastructure Commission","Female","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","National Infrastructure Commission","Male","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","National Records of Scotland","Female","110","100","38920","35110"
"In post","2021","Heterosexual / straight","National Records of Scotland","Male","90","80","35710","34370"
"In post","2021","Heterosexual / straight","National Savings and Investments","Female","80","70","46710","43180"
"In post","2021","Heterosexual / straight","National Savings and Investments","Male","60","60","54980","49010"
"In post","2021","Heterosexual / straight","Northern Ireland Office","Female","50","50","44140","36860"
"In post","2021","Heterosexual / straight","Northern Ireland Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Office for Budget Responsibility","Female","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Office for Budget Responsibility","Male","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Office for Standards in Education, Children's Services and Skills","Female","990","940","49150","51360"
"In post","2021","Heterosexual / straight","Office for Standards in Education, Children's Services and Skills","Male","450","440","52440","51360"
"In post","2021","Heterosexual / straight","Office of Gas and Electricity Markets","Female","220","220","42830","38000"
"In post","2021","Heterosexual / straight","Office of Gas and Electricity Markets","Male","250","240","43170","37130"
"In post","2021","Heterosexual / straight","Office of Qualifications and Examinations Regulation","Female","100","100","41930","38510"
"In post","2021","Heterosexual / straight","Office of Qualifications and Examinations Regulation","Male","60","60","49940","46660"
"In post","2021","Heterosexual / straight","Office of Rail and Road","Female","80","70","49590","50810"
"In post","2021","Heterosexual / straight","Office of Rail and Road","Male","90","80","52380","51730"
"In post","2021","Heterosexual / straight","Office of the Public Guardian","Female","610","550","22170","20440"
"In post","2021","Heterosexual / straight","Office of the Public Guardian","Male","450","430","22210","19930"
"In post","2021","Heterosexual / straight","Office of the Scottish Charity Regulator","Female","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Office of the Scottish Charity Regulator","Male","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Planning Inspectorate","Female","280","250","42050","40720"
"In post","2021","Heterosexual / straight","Planning Inspectorate","Male","310","300","48540","47660"
"In post","2021","Heterosexual / straight","Public Health England","Female","3340","3010","40420","36330"
"In post","2021","Heterosexual / straight","Public Health England","Male","1310","1250","46470","39430"
"In post","2021","Heterosexual / straight","Queen Elizabeth II Centre","Female","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Queen Elizabeth II Centre","Male","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Registers of Scotland","Female","320","300","33440","30080"
"In post","2021","Heterosexual / straight","Registers of Scotland","Male","310","310","33750","30080"
"In post","2021","Heterosexual / straight","Revenue Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Revenue Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Royal Fleet Auxiliary","Female","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Royal Fleet Auxiliary","Male","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Rural Payments Agency","Female","550","470","27530","25190"
"In post","2021","Heterosexual / straight","Rural Payments Agency","Male","410","390","28810","26030"
"In post","2021","Heterosexual / straight","Scotland Office (incl. Office of the Advocate General for Scotland)","Female","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Scotland Office (incl. Office of the Advocate General for Scotland)","Male","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Scottish Courts and Tribunals Service","Female","60","60","30910","26550"
"In post","2021","Heterosexual / straight","Scottish Courts and Tribunals Service","Male","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Scottish Fiscal Commission","Female","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Scottish Fiscal Commission","Male","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Scottish Forestry","Female","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Scottish Forestry","Male","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Scottish Government (excl. agencies)","Female","2950","2770","43200","39110"
"In post","2021","Heterosexual / straight","Scottish Government (excl. agencies)","Male","2160","2120","44500","39660"
"In post","2021","Heterosexual / straight","Scottish Housing Regulator","Female","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Scottish Housing Regulator","Male","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Scottish Prison Service","Female","440","410","32600","33650"
"In post","2021","Heterosexual / straight","Scottish Prison Service","Male","1100","1030","34360","33650"
"In post","2021","Heterosexual / straight","Scottish Public Pensions Agency","Female","80","70","28920","26160"
"In post","2021","Heterosexual / straight","Scottish Public Pensions Agency","Male","70","70","31660","26160"
"In post","2021","Heterosexual / straight","Serious Fraud Office","Female","140","130","44650","40000"
"In post","2021","Heterosexual / straight","Serious Fraud Office","Male","190","190","47790","41490"
"In post","2021","Heterosexual / straight","Social Security Scotland","Female","480","460","30810","26160"
"In post","2021","Heterosexual / straight","Social Security Scotland","Male","340","330","33970","29190"
"In post","2021","Heterosexual / straight","Standards and Testing Agency","Female","70","70","43160","40500"
"In post","2021","Heterosexual / straight","Standards and Testing Agency","Male","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Student Awards Agency for Scotland","Female","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Student Awards Agency for Scotland","Male","40","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Submarine Delivery Agency","Female","430","410","37800","34530"
"In post","2021","Heterosexual / straight","Submarine Delivery Agency","Male","960","950","43310","41000"
"In post","2021","Heterosexual / straight","Teaching Regulation Agency","Female","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Teaching Regulation Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","The National Archives","Female","130","120","35060","33170"
"In post","2021","Heterosexual / straight","The National Archives","Male","100","90","38400","35130"
"In post","2021","Heterosexual / straight","Transport Scotland","Female","150","140","40920","35110"
"In post","2021","Heterosexual / straight","Transport Scotland","Male","180","180","48600","46600"
"In post","2021","Heterosexual / straight","UK Export Finance","Female","130","120","47970","43000"
"In post","2021","Heterosexual / straight","UK Export Finance","Male","200","190","55450","50430"
"In post","2021","Heterosexual / straight","UK Hydrographic Office","Female","190","170","34520","33290"
"In post","2021","Heterosexual / straight","UK Hydrographic Office","Male","370","360","35160","33290"
"In post","2021","Heterosexual / straight","UK Intellectual Property Office","Female","430","390","35260","30170"
"In post","2021","Heterosexual / straight","UK Intellectual Property Office","Male","400","390","42840","40720"
"In post","2021","Heterosexual / straight","UK Space Agency","Female","80","80","44110","40050"
"In post","2021","Heterosexual / straight","UK Space Agency","Male","70","70","50420","49080"
"In post","2021","Heterosexual / straight","UK Supreme Court","Female","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","UK Supreme Court","Male","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","United Kingdom Statistics Authority","Female","2050","1800","31950","29540"
"In post","2021","Heterosexual / straight","United Kingdom Statistics Authority","Male","1440","1300","34100","30130"
"In post","2021","Heterosexual / straight","United Kingdom Statistics Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Valuation Office Agency","Female","1080","960","32820","29710"
"In post","2021","Heterosexual / straight","Valuation Office Agency","Male","1000","960","37300","33250"
"In post","2021","Heterosexual / straight","Vehicle Certification Agency","Female","60","50","29530","27250"
"In post","2021","Heterosexual / straight","Vehicle Certification Agency","Male","120","120","39470","37790"
"In post","2021","Heterosexual / straight","Veterinary Medicines Directorate","Female","70","60","37800","35030"
"In post","2021","Heterosexual / straight","Veterinary Medicines Directorate","Male","50","50","47800","49920"
"In post","2021","Heterosexual / straight","Wales Office","Female","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Wales Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Water Services Regulation Authority","Female","60","50","57100","51460"
"In post","2021","Heterosexual / straight","Water Services Regulation Authority","Male","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Welsh Government (excl. agencies)","Female","2830","2610","39650","37410"
"In post","2021","Heterosexual / straight","Welsh Government (excl. agencies)","Male","1840","1800","42480","37410"
"In post","2021","Heterosexual / straight","Welsh Revenue Authority","Female","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Welsh Revenue Authority","Male","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Wilton Park","Female","50","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Wilton Park","Male","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Accountant in Bankruptcy","Female","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Accountant in Bankruptcy","Male","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Advisory, Conciliation and Arbitration Service","Female","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Advisory, Conciliation and Arbitration Service","Male","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Animal and Plant Health Agency","Female","70","70","26970","24920"
"In post","2021","LGBO","Animal and Plant Health Agency","Male","70","60","28140","25190"
"In post","2021","LGBO","Attorney General's Office","Female","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Attorney General's Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Cabinet Office (excl. agencies)","Female","170","160","41470","34640"
"In post","2021","LGBO","Cabinet Office (excl. agencies)","Male","270","270","46990","43890"
"In post","2021","LGBO","Centre for Environment, Fisheries and Aquaculture Science","Female","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Centre for Environment, Fisheries and Aquaculture Science","Male","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Charity Commission","Female","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Charity Commission","Male","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Companies House","Female","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Companies House","Male","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Competition and Markets Authority","Female","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Competition and Markets Authority","Male","40","40","[c]","[c]"
"In post","2021","LGBO","Criminal Injuries Compensation Authority","Female","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Criminal Injuries Compensation Authority","Male","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Crown Commercial Service","Female","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Crown Commercial Service","Male","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Crown Office and Procurator Fiscal Service","Female","40","40","[c]","[c]"
"In post","2021","LGBO","Crown Office and Procurator Fiscal Service","Male","30","30","[c]","[c]"
"In post","2021","LGBO","Crown Prosecution Service","Female","120","110","37240","28430"
"In post","2021","LGBO","Crown Prosecution Service","Male","140","130","43600","40270"
"In post","2021","LGBO","Crown Prosecution Service Inspectorate","Female","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Crown Prosecution Service Inspectorate","Male","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Debt Management Office","Female","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Debt Management Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Defence Electronics and Components Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Defence Electronics and Components Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Defence Equipment and Support","Female","120","110","30080","27540"
"In post","2021","LGBO","Defence Equipment and Support","Male","160","160","33580","31390"
"In post","2021","LGBO","Defence Science and Technology Laboratory","Female","70","70","34120","33240"
"In post","2021","LGBO","Defence Science and Technology Laboratory","Male","90","80","35960","35160"
"In post","2021","LGBO","Department for Business, Energy and Industrial Strategy (excl. agencies)","Female","200","200","45960","40220"
"In post","2021","LGBO","Department for Business, Energy and Industrial Strategy (excl. agencies)","Male","250","250","49260","52730"
"In post","2021","LGBO","Department for Digital, Culture, Media and Sport","Female","80","80","41960","34130"
"In post","2021","LGBO","Department for Digital, Culture, Media and Sport","Male","100","100","51280","51730"
"In post","2021","LGBO","Department for Education (excl. agencies)","Female","160","160","42200","39780"
"In post","2021","LGBO","Department for Education (excl. agencies)","Male","170","170","44570","38280"
"In post","2021","LGBO","Department for Environment, Food and Rural Affairs (excl. agencies)","Female","130","130","43180","38750"
"In post","2021","LGBO","Department for Environment, Food and Rural Affairs (excl. agencies)","Male","160","160","42710","37860"
"In post","2021","LGBO","Department for International Trade","Female","60","60","43870","38540"
"In post","2021","LGBO","Department for International Trade","Male","130","120","48750","51710"
"In post","2021","LGBO","Department for Transport (excl. agencies)","Female","80","80","43640","40480"
"In post","2021","LGBO","Department for Transport (excl. agencies)","Male","150","150","47640","43360"
"In post","2021","LGBO","Department for Work and Pensions (excl. agencies)","Female","1690","1590","27670","27570"
"In post","2021","LGBO","Department for Work and Pensions (excl. agencies)","Male","1960","1900","27970","27570"
"In post","2021","LGBO","Department of Health and Social Care (excl. agencies)","Female","80","80","42650","36820"
"In post","2021","LGBO","Department of Health and Social Care (excl. agencies)","Male","70","70","48660","52720"
"In post","2021","LGBO","Disclosure Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Disclosure Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Driver and Vehicle Licensing Agency","Female","90","80","23080","21590"
"In post","2021","LGBO","Driver and Vehicle Licensing Agency","Male","80","80","26730","21590"
"In post","2021","LGBO","Driver and Vehicle Standards Agency","Female","50","50","27440","26610"
"In post","2021","LGBO","Driver and Vehicle Standards Agency","Male","90","80","31210","29730"
"In post","2021","LGBO","Education and Skills Funding Agency","Female","40","30","[c]","[c]"
"In post","2021","LGBO","Education and Skills Funding Agency","Male","40","40","[c]","[c]"
"In post","2021","LGBO","Education Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Education Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","ESTYN","Female","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","ESTYN","Male","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","FCDO Services","Female","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","FCDO Services","Male","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Food Standards Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Food Standards Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Food Standards Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Food Standards Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Foreign, Commonwealth and Development Office (excl. agencies)","Female","130","130","43550","38600"
"In post","2021","LGBO","Foreign, Commonwealth and Development Office (excl. agencies)","Male","250","240","51670","53470"
"In post","2021","LGBO","Forestry and Land Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Forestry and Land Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Government Actuary's Department","Female","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Government Actuary's Department","Male","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Government Internal Audit Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Government Internal Audit Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Government Legal Department","Female","60","60","50820","51250"
"In post","2021","LGBO","Government Legal Department","Male","100","90","54030","51830"
"In post","2021","LGBO","Government Property Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Government Property Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Health and Safety Executive","Female","50","50","37920","31710"
"In post","2021","LGBO","Health and Safety Executive","Male","50","50","[c]","[c]"
"In post","2021","LGBO","HM Courts and Tribunals Service","Female","260","250","23710","20650"
"In post","2021","LGBO","HM Courts and Tribunals Service","Male","280","270","25650","21170"
"In post","2021","LGBO","HM Land Registry","Female","60","50","27730","22350"
"In post","2021","LGBO","HM Land Registry","Male","80","80","30370","27130"
"In post","2021","LGBO","HM Prison and Probation Service","Female","1820","1770","29510","27380"
"In post","2021","LGBO","HM Prison and Probation Service","Male","780","760","31100","30220"
"In post","2021","LGBO","HM Revenue and Customs (excl. agencies)","Female","880","820","31730","28130"
"In post","2021","LGBO","HM Revenue and Customs (excl. agencies)","Male","1230","1190","32610","28130"
"In post","2021","LGBO","HM Treasury (excl. agencies)","Female","70","70","47210","52500"
"In post","2021","LGBO","HM Treasury (excl. agencies)","Male","80","80","48040","52500"
"In post","2021","LGBO","Home Office (incl. agencies)","Female","490","470","31680","25960"
"In post","2021","LGBO","Home Office (incl. agencies)","Male","680","660","33710","28760"
"In post","2021","LGBO","Insolvency Service","Female","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Insolvency Service","Male","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Institute for Apprenticeships and Technical Education","Female","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Institute for Apprenticeships and Technical Education","Male","[c]","[c]","[c]","[c]"
