"Status","Year","Region_ITL3","Responsibility_level","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Aberdeen City and Aberdeenshire","EO","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","EO","Food Standards Scotland","30","30","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","EO","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","EO","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","EO","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","EO","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","EO","Home Office (incl. agencies)","30","30","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","EO","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","EO","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","EO","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","EO","Scottish Forestry","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","EO","Scottish Government (excl. agencies)","120","110","29030","29190"
"In post","2021","Aberdeen City and Aberdeenshire","EO","Scottish Prison Service","120","120","32450","33650"
"In post","2021","Aberdeen City and Aberdeenshire","EO","Social Security Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","G6/G7","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","G6/G7","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","G6/G7","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","G6/G7","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","G6/G7","Education Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","G6/G7","Food Standards Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","G6/G7","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","G6/G7","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","G6/G7","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","G6/G7","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","G6/G7","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","G6/G7","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","G6/G7","Scottish Forestry","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","G6/G7","Scottish Government (excl. agencies)","40","40","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","G6/G7","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","SCS","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","SCS","Food Standards Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","SCS","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","SEO/HEO","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","SEO/HEO","Crown Office and Procurator Fiscal Service","40","40","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","SEO/HEO","Department for Business, Energy and Industrial Strategy (excl. agencies)","60","60","54390","69170"
"In post","2021","Aberdeen City and Aberdeenshire","SEO/HEO","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","SEO/HEO","Education Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","SEO/HEO","Food Standards Scotland","110","100","37330","35110"
"In post","2021","Aberdeen City and Aberdeenshire","SEO/HEO","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","SEO/HEO","Health and Safety Executive","70","70","83530","90670"
"In post","2021","Aberdeen City and Aberdeenshire","SEO/HEO","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","SEO/HEO","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","SEO/HEO","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","SEO/HEO","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","SEO/HEO","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","SEO/HEO","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","SEO/HEO","Scottish Forestry","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","SEO/HEO","Scottish Government (excl. agencies)","150","140","38930","37140"
"In post","2021","Aberdeen City and Aberdeenshire","SEO/HEO","Scottish Prison Service","40","40","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","SEO/HEO","Social Security Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","SEO/HEO","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","AA/AO","Crown Office and Procurator Fiscal Service","30","30","[c]","[c]"
"In post","2021","Angus and Dundee City","AA/AO","Department for Work and Pensions (excl. agencies)","590","540","20930","21010"
"In post","2021","Angus and Dundee City","AA/AO","Education Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","AA/AO","Food Standards Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","AA/AO","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","AA/AO","HM Revenue and Customs (excl. agencies)","210","200","20600","20140"
"In post","2021","Angus and Dundee City","AA/AO","Ministry of Defence (excl. agencies)","40","40","[c]","[c]"
"In post","2021","Angus and Dundee City","AA/AO","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","AA/AO","Scottish Courts and Tribunals Service","50","40","[c]","[c]"
"In post","2021","Angus and Dundee City","AA/AO","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","AA/AO","Social Security Scotland","150","150","22060","22230"
"In post","2021","Angus and Dundee City","EO","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","EO","Department for Work and Pensions (excl. agencies)","320","290","27490","27570"
"In post","2021","Angus and Dundee City","EO","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","EO","Food Standards Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","EO","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","EO","HM Revenue and Customs (excl. agencies)","50","40","[c]","[c]"
"In post","2021","Angus and Dundee City","EO","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","EO","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","EO","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","EO","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","EO","Social Security Scotland","60","60","27440","27150"
"In post","2021","Angus and Dundee City","G6/G7","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","G6/G7","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","G6/G7","Education Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","G6/G7","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","G6/G7","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","G6/G7","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","G6/G7","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","G6/G7","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","G6/G7","Social Security Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","SCS","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","SCS","Social Security Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","SEO/HEO","Crown Office and Procurator Fiscal Service","40","40","[c]","[c]"
"In post","2021","Angus and Dundee City","SEO/HEO","Department for Work and Pensions (excl. agencies)","50","40","[c]","[c]"
"In post","2021","Angus and Dundee City","SEO/HEO","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","SEO/HEO","Education Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","SEO/HEO","Food Standards Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","SEO/HEO","HM Revenue and Customs (excl. agencies)","30","30","[c]","[c]"
"In post","2021","Angus and Dundee City","SEO/HEO","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","SEO/HEO","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","SEO/HEO","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","SEO/HEO","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","SEO/HEO","Social Security Scotland","70","70","35450","33620"
"In post","2021","Antrim and Newtownabbey","AA/AO","Ministry of Defence (excl. agencies)","150","150","20680","20310"
"In post","2021","Antrim and Newtownabbey","EO","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","EO","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","G6/G7","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","G6/G7","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","SEO/HEO","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","SEO/HEO","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","AA/AO","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","AA/AO","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","AA/AO","Ministry of Defence (excl. agencies)","150","150","20920","20310"
"In post","2021","Ards and North Down","EO","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","EO","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","EO","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","G6/G7","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","G6/G7","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","SEO/HEO","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","SEO/HEO","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","AA/AO","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","AA/AO","Department for Work and Pensions (excl. agencies)","60","50","24610","25110"
"In post","2021","Barking & Dagenham and Havering","AA/AO","HM Courts and Tribunals Service","60","50","22000","22450"
"In post","2021","Barking & Dagenham and Havering","AA/AO","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","EO","Department for Work and Pensions (excl. agencies)","360","330","31050","31060"
"In post","2021","Barking & Dagenham and Havering","EO","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","EO","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","EO","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","G6/G7","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","G6/G7","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","G6/G7","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","G6/G7","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","SEO/HEO","Department for Work and Pensions (excl. agencies)","40","40","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","SEO/HEO","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","SEO/HEO","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","SEO/HEO","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","SEO/HEO","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Unknown","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Unknown","HM Prison and Probation Service","50","40","[c]","[c]"
"In post","2021","Barnet","AA/AO","Department for Work and Pensions (excl. agencies)","50","40","[c]","[c]"
"In post","2021","Barnet","AA/AO","HM Courts and Tribunals Service","30","30","[c]","[c]"
"In post","2021","Barnet","AA/AO","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","AA/AO","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","AA/AO","Public Health England","180","150","23860","23530"
"In post","2021","Barnet","EO","Department for Work and Pensions (excl. agencies)","230","210","31140","31060"
"In post","2021","Barnet","EO","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","EO","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","EO","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","EO","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","EO","Public Health England","160","150","28520","27520"
"In post","2021","Barnet","G6/G7","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","G6/G7","Home Office (incl. agencies)","30","30","[c]","[c]"
"In post","2021","Barnet","G6/G7","Public Health England","280","270","59250","55130"
"In post","2021","Barnet","SCS","Public Health England","40","40","[c]","[c]"
"In post","2021","Barnet","SEO/HEO","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","SEO/HEO","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","SEO/HEO","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","SEO/HEO","Home Office (incl. agencies)","90","90","42080","42070"
"In post","2021","Barnet","SEO/HEO","Public Health England","450","430","38440","39700"
"In post","2021","Barnet","Unknown","HM Prison and Probation Service","50","40","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","AA/AO","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","AA/AO","Department for Work and Pensions (excl. agencies)","600","500","20790","21010"
"In post","2021","Barnsley, Doncaster and Rotherham","AA/AO","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","AA/AO","HM Courts and Tribunals Service","60","50","19370","19830"
"In post","2021","Barnsley, Doncaster and Rotherham","AA/AO","HM Prison and Probation Service","800","760","25100","24450"
"In post","2021","Barnsley, Doncaster and Rotherham","AA/AO","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","AA/AO","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","EO","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","EO","Department for Work and Pensions (excl. agencies)","660","560","27480","27570"
"In post","2021","Barnsley, Doncaster and Rotherham","EO","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","EO","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","EO","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","EO","HM Prison and Probation Service","210","200","31530","32040"
"In post","2021","Barnsley, Doncaster and Rotherham","EO","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","EO","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","EO","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","G6/G7","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","G6/G7","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","G6/G7","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","G6/G7","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","G6/G7","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","G6/G7","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","G6/G7","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","SCS","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","SEO/HEO","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","SEO/HEO","Department for Work and Pensions (excl. agencies)","100","90","33060","32250"
"In post","2021","Barnsley, Doncaster and Rotherham","SEO/HEO","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","SEO/HEO","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","SEO/HEO","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","SEO/HEO","HM Prison and Probation Service","170","160","40480","38160"
"In post","2021","Barnsley, Doncaster and Rotherham","SEO/HEO","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","SEO/HEO","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","SEO/HEO","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","SEO/HEO","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Unknown","HM Prison and Probation Service","210","190","29510","30210"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","AA/AO","Department for Work and Pensions (excl. agencies)","30","30","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","AA/AO","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","AA/AO","HM Courts and Tribunals Service","50","50","19040","18880"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","AA/AO","HM Prison and Probation Service","330","300","25400","24440"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","AA/AO","Home Office (incl. agencies)","40","30","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","AA/AO","Ministry of Defence (excl. agencies)","270","250","21670","20920"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","AA/AO","National Crime Agency","40","30","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","EO","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","EO","Defence Equipment and Support","1610","1540","22690","22000"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","EO","Department for Work and Pensions (excl. agencies)","270","240","27530","27570"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","EO","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","EO","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","EO","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","EO","HM Prison and Probation Service","70","70","31310","33520"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","EO","Home Office (incl. agencies)","130","120","25890","25310"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","EO","Ministry of Defence (excl. agencies)","270","260","27170","26670"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","EO","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","EO","National Crime Agency","210","200","31420","32770"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","G6/G7","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","G6/G7","Defence Equipment and Support","1520","1480","56930","55260"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","G6/G7","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","G6/G7","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","G6/G7","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","G6/G7","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","G6/G7","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","G6/G7","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","G6/G7","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","G6/G7","Ministry of Defence (excl. agencies)","320","310","58690","54540"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","G6/G7","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","G6/G7","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","SCS","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","SCS","Defence Equipment and Support","110","110","103820","94470"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","SCS","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","SCS","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
