"Status","Year","Function_of_post","Responsibility_level","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Digital, Data & Technology","AA/AO","Female","210","190","21650","21230"
"In post","2021","Digital, Data & Technology","AA/AO","Male","240","240","22000","21580"
"In post","2021","Digital, Data & Technology","EO","Female","880","820","27180","26670"
"In post","2021","Digital, Data & Technology","EO","Male","1400","1370","27610","26740"
"In post","2021","Digital, Data & Technology","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","G6/G7","Female","1300","1260","56510","54700"
"In post","2021","Digital, Data & Technology","G6/G7","Male","2370","2340","57870","55830"
"In post","2021","Digital, Data & Technology","SCS","Female","90","90","88680","79360"
"In post","2021","Digital, Data & Technology","SCS","Male","170","170","92780","89800"
"In post","2021","Digital, Data & Technology","SEO/HEO","Female","2490","2360","36400","36160"
"In post","2021","Digital, Data & Technology","SEO/HEO","Male","4340","4270","37720","37910"
"In post","2021","Digital, Data & Technology","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Unknown","Male","80","80","37430","37200"
"In post","2021","Finance","AA/AO","Female","990","800","21180","21130"
"In post","2021","Finance","AA/AO","Male","500","460","20980","20670"
"In post","2021","Finance","EO","Female","1080","1000","26570","26670"
"In post","2021","Finance","EO","Male","610","600","26230","26350"
"In post","2021","Finance","G6/G7","Female","990","950","57840","56860"
"In post","2021","Finance","G6/G7","Male","1080","1070","59370","58130"
"In post","2021","Finance","SCS","Female","100","100","88170","82720"
"In post","2021","Finance","SCS","Male","180","180","92900","85800"
"In post","2021","Finance","SEO/HEO","Female","2090","1990","36950","36520"
"In post","2021","Finance","SEO/HEO","Male","1730","1710","37790","37600"
"In post","2021","Finance","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","AA/AO","Female","570","480","21000","21050"
"In post","2021","Grants Management","AA/AO","Male","390","380","21020","21050"
"In post","2021","Grants Management","EO","Female","320","280","25510","25190"
"In post","2021","Grants Management","EO","Male","220","220","25530","25190"
"In post","2021","Grants Management","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","G6/G7","Male","30","30","[c]","[c]"
"In post","2021","Grants Management","SCS","Female","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","SCS","Male","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","SEO/HEO","Female","180","160","32440","30780"
"In post","2021","Grants Management","SEO/HEO","Male","150","150","33080","31640"
"In post","2021","Human Resources","AA/AO","Female","1150","1010","21420","21130"
"In post","2021","Human Resources","AA/AO","Male","460","450","21170","20920"
"In post","2021","Human Resources","EO","Female","1240","1150","26540","26670"
"In post","2021","Human Resources","EO","Male","530","520","27010","26670"
"In post","2021","Human Resources","G6/G7","Female","1320","1270","57480","55550"
"In post","2021","Human Resources","G6/G7","Male","580","570","58520","57670"
"In post","2021","Human Resources","SCS","Female","150","150","88780","81870"
"In post","2021","Human Resources","SCS","Male","70","70","90030","83350"
"In post","2021","Human Resources","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","SEO/HEO","Female","2660","2510","36160","35290"
"In post","2021","Human Resources","SEO/HEO","Male","1200","1170","36900","36320"
"In post","2021","Human Resources","Unknown","Female","170","160","35190","32580"
"In post","2021","Human Resources","Unknown","Male","70","70","43930","34850"
"In post","2021","Internal Audit","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","EO","Female","30","30","[c]","[c]"
"In post","2021","Internal Audit","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","G6/G7","Female","90","80","59040","56400"
"In post","2021","Internal Audit","G6/G7","Male","120","110","58870","57490"
"In post","2021","Internal Audit","SCS","Female","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","SCS","Male","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","SEO/HEO","Female","250","230","39940","39980"
"In post","2021","Internal Audit","SEO/HEO","Male","210","210","41260","40660"
"In post","2021","Internal Audit","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Legal","AA/AO","Female","1820","1600","22140","21950"
"In post","2021","Legal","AA/AO","Male","770","730","21950","21950"
"In post","2021","Legal","EO","Female","1720","1560","28080","28430"
"In post","2021","Legal","EO","Male","730","710","27990","28430"
"In post","2021","Legal","G6/G7","Female","3720","3350","58930","57340"
"In post","2021","Legal","G6/G7","Male","2310","2230","60340","59160"
"In post","2021","Legal","SCS","Female","250","230","87610","82500"
"In post","2021","Legal","SCS","Male","220","210","90250","83830"
"In post","2021","Legal","SEO/HEO","Female","2200","2020","38570","38000"
"In post","2021","Legal","SEO/HEO","Male","1120","1090","38440","37940"
"In post","2021","Legal","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","No function","AA/AO","Female","37970","32830","22040","21400"
"In post","2021","No function","AA/AO","Male","32540","30960","24330","22430"
"In post","2021","No function","EO","Female","17080","15680","27360","26860"
"In post","2021","No function","EO","Male","16040","15400","29110","28080"
"In post","2021","No function","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","No function","G6/G7","Female","10040","9570","57840","54700"
"In post","2021","No function","G6/G7","Male","11040","10820","58740","56350"
"In post","2021","No function","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","No function","SCS","Female","1450","1350","88830","79790"
"In post","2021","No function","SCS","Male","1510","1470","92070","83110"
"In post","2021","No function","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","No function","SEO/HEO","Female","23530","22310","35970","34690"
"In post","2021","No function","SEO/HEO","Male","21720","21100","37390","36360"
"In post","2021","No function","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","No function","Unknown","Female","9290","8480","29630","28200"
"In post","2021","No function","Unknown","Male","2720","2610","30740","30210"
"In post","2021","Project Delivery","AA/AO","Female","400","360","21800","21440"
"In post","2021","Project Delivery","AA/AO","Male","220","210","21380","21440"
"In post","2021","Project Delivery","EO","Female","2300","2130","25230","26120"
"In post","2021","Project Delivery","EO","Male","2310","2260","24490","25560"
"In post","2021","Project Delivery","G6/G7","Female","3240","3120","56750","55060"
"In post","2021","Project Delivery","G6/G7","Male","4140","4070","57870","55990"
"In post","2021","Project Delivery","SCS","Female","310","290","87850","79720"
"In post","2021","Project Delivery","SCS","Male","390","380","94440","85610"
"In post","2021","Project Delivery","SEO/HEO","Female","6080","5760","35640","35100"
"In post","2021","Project Delivery","SEO/HEO","Male","7670","7520","36910","37370"
"In post","2021","Project Delivery","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Unknown","Female","300","290","39210","37210"
"In post","2021","Project Delivery","Unknown","Male","1060","1040","43190","41270"
"In post","2021","Property","AA/AO","Female","1050","930","21040","21100"
"In post","2021","Property","AA/AO","Male","1300","1270","21880","21100"
"In post","2021","Property","EO","Female","950","860","27110","26500"
"In post","2021","Property","EO","Male","1000","980","27760","26670"
"In post","2021","Property","G6/G7","Female","400","390","56130","54990"
"In post","2021","Property","G6/G7","Male","860","840","58220","56280"
"In post","2021","Property","SCS","Female","30","30","[c]","[c]"
"In post","2021","Property","SCS","Male","60","60","98700","93050"
"In post","2021","Property","SEO/HEO","Female","1440","1360","36460","35300"
"In post","2021","Property","SEO/HEO","Male","2180","2120","37830","37000"
"In post","2021","Property","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Property","Unknown","Male","30","30","[c]","[c]"
"In post","2021","Security","AA/AO","Female","910","860","24410","20920"
"In post","2021","Security","AA/AO","Male","4610","4530","27160","22650"
"In post","2021","Security","EO","Female","360","350","28870","26670"
"In post","2021","Security","EO","Male","820","810","33870","30750"
"In post","2021","Security","G6/G7","Female","140","130","59600","55430"
"In post","2021","Security","G6/G7","Male","240","240","60670","58600"
"In post","2021","Security","SCS","Female","[c]","[c]","[c]","[c]"
"In post","2021","Security","SCS","Male","30","30","[c]","[c]"
"In post","2021","Security","SEO/HEO","Female","600","590","37600","35900"
"In post","2021","Security","SEO/HEO","Male","980","960","40520","37320"
"In post","2021","Security","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Security","Unknown","Female","40","40","[c]","[c]"
"In post","2021","Security","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","AA/AO","Female","31090","26140","21400","21010"
"In post","2021","Unknown","AA/AO","Male","17960","17180","21400","21010"
"In post","2021","Unknown","EO","Female","42870","37930","27900","27570"
"In post","2021","Unknown","EO","Male","27220","26100","27890","27570"
"In post","2021","Unknown","G6/G7","Female","6050","5720","60240","58700"
"In post","2021","Unknown","G6/G7","Male","5990","5860","61410","60740"
"In post","2021","Unknown","SCS","Female","630","600","88140","82460"
"In post","2021","Unknown","SCS","Male","710","700","91790","83230"
"In post","2021","Unknown","SEO/HEO","Female","17370","16330","36680","35310"
"In post","2021","Unknown","SEO/HEO","Male","14340","14030","37390","36460"
"In post","2021","Unknown","Unknown","Female","350","340","35660","35380"
"In post","2021","Unknown","Unknown","Male","2120","2120","38010","34460"
"In post","2022","Analysis","AA/AO","Female","140","130","21850","21510"
"In post","2022","Analysis","AA/AO","Male","130","120","21730","21260"
"In post","2022","Analysis","EO","Female","450","420","26750","26350"
"In post","2022","Analysis","EO","Male","420","410","26930","26590"
"In post","2022","Analysis","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","G6/G7","Female","1230","1130","58480","55840"
"In post","2022","Analysis","G6/G7","Male","1580","1550","59370","57030"
"In post","2022","Analysis","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","SCS","Female","80","80","85190","79590"
"In post","2022","Analysis","SCS","Male","110","110","92290","81460"
"In post","2022","Analysis","SEO/HEO","Female","2070","1980","36180","36580"
"In post","2022","Analysis","SEO/HEO","Male","2240","2210","36350","36640"
"In post","2022","Analysis","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","AA/AO","Female","150","130","22640","21840"
"In post","2022","Commercial","AA/AO","Male","150","140","22520","21660"
"In post","2022","Commercial","EO","Female","470","440","26540","26350"
"In post","2022","Commercial","EO","Male","300","290","26850","26660"
"In post","2022","Commercial","G6/G7","Female","1070","1040","60400","57710"
"In post","2022","Commercial","G6/G7","Male","1180","1170","62580","61710"
"In post","2022","Commercial","SCS","Female","130","120","102950","96340"
"In post","2022","Commercial","SCS","Male","210","210","115430","113870"
"In post","2022","Commercial","SEO/HEO","Female","1530","1460","36910","36820"
"In post","2022","Commercial","SEO/HEO","Male","1290","1280","37800","38320"
"In post","2022","Commercial","Unknown","Female","80","70","37500","37280"
"In post","2022","Commercial","Unknown","Male","90","90","42140","39860"
"In post","2022","Communications","AA/AO","Female","270","240","21810","21250"
"In post","2022","Communications","AA/AO","Male","220","210","21830","21250"
"In post","2022","Communications","EO","Female","1580","1500","26970","26820"
"In post","2022","Communications","EO","Male","1660","1640","26910","26820"
"In post","2022","Communications","G6/G7","Female","740","710","58560","56370"
"In post","2022","Communications","G6/G7","Male","460","460","58760","56360"
"In post","2022","Communications","SCS","Female","70","70","88820","83110"
"In post","2022","Communications","SCS","Male","70","70","95760","87750"
"In post","2022","Communications","SEO/HEO","Female","1900","1820","36710","34710"
"In post","2022","Communications","SEO/HEO","Male","1560","1550","36390","33370"
"In post","2022","Communications","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","AA/AO","Female","1750","1430","22380","21260"
"In post","2022","Counter Fraud","AA/AO","Male","1010","970","22240","21260"
"In post","2022","Counter Fraud","EO","Female","4030","3590","28130","27570"
"In post","2022","Counter Fraud","EO","Male","3160","3010","28170","27570"
"In post","2022","Counter Fraud","G6/G7","Female","480","460","58590","55210"
"In post","2022","Counter Fraud","G6/G7","Male","830","810","60080","57990"
"In post","2022","Counter Fraud","SCS","Female","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","SCS","Male","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","SEO/HEO","Female","2710","2540","36020","33680"
"In post","2022","Counter Fraud","SEO/HEO","Male","3000","2910","36610","35310"
"In post","2022","Debt","AA/AO","Female","3200","2670","21680","21260"
"In post","2022","Debt","AA/AO","Male","1980","1890","21580","21250"
"In post","2022","Debt","EO","Female","720","630","27830","27570"
"In post","2022","Debt","EO","Male","500","470","27790","27570"
"In post","2022","Debt","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","Debt","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2022","Debt","SCS","Female","[c]","[c]","[c]","[c]"
"In post","2022","Debt","SCS","Male","[c]","[c]","[c]","[c]"
"In post","2022","Debt","SEO/HEO","Female","230","200","34750","33370"
"In post","2022","Debt","SEO/HEO","Male","140","130","36110","33370"
"In post","2022","Digital, Data & Technology","AA/AO","Female","450","430","21810","21380"
"In post","2022","Digital, Data & Technology","AA/AO","Male","490","490","21950","21380"
"In post","2022","Digital, Data & Technology","EO","Female","1410","1310","27390","26900"
"In post","2022","Digital, Data & Technology","EO","Male","2390","2330","27760","27570"
"In post","2022","Digital, Data & Technology","G6/G7","Female","2140","2060","56480","54700"
"In post","2022","Digital, Data & Technology","G6/G7","Male","3870","3820","58450","56190"
"In post","2022","Digital, Data & Technology","SCS","Female","110","110","88340","79860"
"In post","2022","Digital, Data & Technology","SCS","Male","220","220","94460","90000"
"In post","2022","Digital, Data & Technology","SEO/HEO","Female","4120","3930","36620","36050"
"In post","2022","Digital, Data & Technology","SEO/HEO","Male","6790","6680","37910","37420"
"In post","2022","Digital, Data & Technology","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Unknown","Male","50","50","[c]","[c]"
"In post","2022","Finance","AA/AO","Female","1130","910","21830","21260"
"In post","2022","Finance","AA/AO","Male","590","550","21680","21250"
"In post","2022","Finance","EO","Female","1310","1210","26950","26780"
"In post","2022","Finance","EO","Male","790","780","26760","26820"
"In post","2022","Finance","G6/G7","Female","1340","1290","57730","55980"
"In post","2022","Finance","G6/G7","Male","1430","1410","58920","57450"
"In post","2022","Finance","SCS","Female","120","110","85720","79810"
"In post","2022","Finance","SCS","Male","190","190","88420","80290"
"In post","2022","Finance","SEO/HEO","Female","2950","2800","36850","36500"
"In post","2022","Finance","SEO/HEO","Male","2480","2430","37670","36840"
"In post","2022","Finance","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","AA/AO","Female","750","650","21280","21300"
"In post","2022","Grants Management","AA/AO","Male","530","510","21270","21300"
"In post","2022","Grants Management","EO","Female","370","330","25430","25190"
"In post","2022","Grants Management","EO","Male","230","230","25450","25190"
"In post","2022","Grants Management","G6/G7","Female","40","30","[c]","[c]"
"In post","2022","Grants Management","G6/G7","Male","30","30","[c]","[c]"
"In post","2022","Grants Management","SCS","Female","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","SCS","Male","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","SEO/HEO","Female","190","170","32360","30640"
"In post","2022","Grants Management","SEO/HEO","Male","170","160","32850","31360"
"In post","2022","Human Resources","AA/AO","Female","1180","1040","21760","21330"
"In post","2022","Human Resources","AA/AO","Male","460","440","21600","21250"
"In post","2022","Human Resources","EO","Female","1760","1620","27150","26930"
"In post","2022","Human Resources","EO","Male","830","810","27580","27570"
"In post","2022","Human Resources","G6/G7","Female","1600","1530","57360","55210"
"In post","2022","Human Resources","G6/G7","Male","750","740","58400","56760"
"In post","2022","Human Resources","SCS","Female","170","170","86920","79750"
"In post","2022","Human Resources","SCS","Male","90","90","86510","78150"
"In post","2022","Human Resources","SEO/HEO","Female","3340","3160","36020","35260"
"In post","2022","Human Resources","SEO/HEO","Male","1510","1480","36800","36320"
"In post","2022","Human Resources","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","EO","Female","40","30","[c]","[c]"
"In post","2022","Internal Audit","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","G6/G7","Female","100","90","58430","55230"
"In post","2022","Internal Audit","G6/G7","Male","110","110","58810","58950"
"In post","2022","Internal Audit","SCS","Female","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","SCS","Male","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","SEO/HEO","Female","250","240","40370","40180"
"In post","2022","Internal Audit","SEO/HEO","Male","200","190","41010","40660"
"In post","2022","Legal","AA/AO","Female","1160","1040","22750","22200"
"In post","2022","Legal","AA/AO","Male","470","460","22830","22200"
"In post","2022","Legal","EO","Female","1520","1390","27980","27710"
"In post","2022","Legal","EO","Male","610","600","28080","27570"
"In post","2022","Legal","G6/G7","Female","3750","3380","58870","56650"
"In post","2022","Legal","G6/G7","Male","2250","2170","60330","58970"
"In post","2022","Legal","SCS","Female","250","240","86800","82500"
"In post","2022","Legal","SCS","Male","210","210","89170","83350"
"In post","2022","Legal","SEO/HEO","Female","1390","1310","39610","38180"
"In post","2022","Legal","SEO/HEO","Male","800","790","39270","38000"
"In post","2022","No function","AA/AO","Female","54090","46180","22290","21260"
"In post","2022","No function","AA/AO","Male","39690","37730","24050","21840"
"In post","2022","No function","EO","Female","46370","41480","28060","27570"
"In post","2022","No function","EO","Male","30440","29320","28870","27570"
"In post","2022","No function","G6/G7","Female","12190","11660","57980","55210"
"In post","2022","No function","G6/G7","Male","12480","12220","58980","56380"
"In post","2022","No function","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","No function","SCS","Female","1650","1560","88220","79890"
"In post","2022","No function","SCS","Male","1680","1640","91430","83040"
"In post","2022","No function","SEO/HEO","Female","30880","29300","36370","34770"
"In post","2022","No function","SEO/HEO","Male","25860","25190","37560","36480"
"In post","2022","No function","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","No function","Unknown","Female","14490","13330","29760","28200"
"In post","2022","No function","Unknown","Male","4710","4440","31140","28200"
"In post","2022","Project Delivery","AA/AO","Female","450","370","22050","21300"
"In post","2022","Project Delivery","AA/AO","Male","190","180","21970","21260"
"In post","2022","Project Delivery","EO","Female","1680","1540","25500","26160"
"In post","2022","Project Delivery","EO","Male","1760","1710","24250","25270"
"In post","2022","Project Delivery","G6/G7","Female","3160","3030","57510","55210"
"In post","2022","Project Delivery","G6/G7","Male","4090","4010","58510","55860"
"In post","2022","Project Delivery","SCS","Female","280","270","87700","79720"
"In post","2022","Project Delivery","SCS","Male","320","320","96560","87290"
"In post","2022","Project Delivery","SEO/HEO","Female","5840","5490","36140","36000"
"In post","2022","Project Delivery","SEO/HEO","Male","7210","7040","37190","37830"
"In post","2022","Project Delivery","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Unknown","Female","450","420","37180","34000"
"In post","2022","Project Delivery","Unknown","Male","1170","1150","42550","40760"
"In post","2022","Property","AA/AO","Female","900","800","21530","22010"
"In post","2022","Property","AA/AO","Male","940","920","21450","21750"
"In post","2022","Property","EO","Female","940","860","26940","26880"
"In post","2022","Property","EO","Male","970","950","26610","26670"
"In post","2022","Property","G6/G7","Female","620","600","57070","55210"
"In post","2022","Property","G6/G7","Male","1110","1090","59170","58090"
"In post","2022","Property","SCS","Female","40","40","[c]","[c]"
"In post","2022","Property","SCS","Male","80","80","95920","92790"
"In post","2022","Property","SEO/HEO","Female","1630","1550","36840","35340"
"In post","2022","Property","SEO/HEO","Male","2270","2210","38120","37210"
"In post","2022","Property","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Property","Unknown","Male","40","40","[c]","[c]"
"In post","2022","Security","AA/AO","Female","940","890","24840","21280"
"In post","2022","Security","AA/AO","Male","4720","4620","27340","23540"
"In post","2022","Security","EO","Female","560","530","28430","26670"
"In post","2022","Security","EO","Male","950","930","33720","29430"
"In post","2022","Security","G6/G7","Female","210","210","58360","56730"
"In post","2022","Security","G6/G7","Male","390","390","59820","58550"
"In post","2022","Security","SCS","Female","[c]","[c]","[c]","[c]"
"In post","2022","Security","SCS","Male","50","50","[c]","[c]"
"In post","2022","Security","SEO/HEO","Female","980","950","37450","36140"
"In post","2022","Security","SEO/HEO","Male","1690","1660","39690","37660"
"In post","2022","Security","Unknown","Female","50","50","[c]","[c]"
"In post","2022","Security","Unknown","Male","140","140","31800","28280"
"In post","2022","Unknown","AA/AO","Female","10990","9850","22220","21680"
"In post","2022","Unknown","AA/AO","Male","8050","7790","22160","21680"
"In post","2022","Unknown","EO","Female","11690","10720","27360","27230"
"In post","2022","Unknown","EO","Male","11380","10920","27620","27230"
"In post","2022","Unknown","G6/G7","Female","5260","4970","61820","61440"
"In post","2022","Unknown","G6/G7","Male","4930","4840","62490","61440"
"In post","2022","Unknown","SCS","Female","460","440","87360","81570"
"In post","2022","Unknown","SCS","Male","560","540","91350","83230"
"In post","2022","Unknown","SEO/HEO","Female","12850","12210","37930","37450"
"In post","2022","Unknown","SEO/HEO","Male","11450","11260","38320","37460"
"In post","2022","Unknown","Unknown","Female","280","280","32910","32400"
"In post","2022","Unknown","Unknown","Male","1780","1780","37960","34460"
"Leaver CS","2021","Analysis","AA/AO","Female","40","40","[c]","[c]"
"Leaver CS","2021","Analysis","AA/AO","Male","60","60","[c]","[c]"
"Leaver CS","2021","Analysis","EO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","EO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","G6/G7","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","G6/G7","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","SCS","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","SCS","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","SEO/HEO","Female","40","30","[c]","[c]"
"Leaver CS","2021","Analysis","SEO/HEO","Male","50","50","35230","34940"
"Leaver CS","2021","Commercial","AA/AO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","AA/AO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","EO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","EO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","G6/G7","Female","30","30","[c]","[c]"
"Leaver CS","2021","Commercial","G6/G7","Male","40","40","[c]","[c]"
"Leaver CS","2021","Commercial","SCS","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","SCS","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","SEO/HEO","Female","40","40","[c]","[c]"
"Leaver CS","2021","Commercial","SEO/HEO","Male","60","60","38330","37640"
"Leaver CS","2021","Commercial","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","AA/AO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","AA/AO","Male","[c]","[c]","[c]","[c]"
