"Status","Year","Region_ITL3","Function_of_post","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Aberdeen City and Aberdeenshire","Project Delivery","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Project Delivery","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Project Delivery","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Property","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Property","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Property","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Property","50-59","30","30","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Property","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Property","65+","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Security","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Security","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Security","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Security","50-59","30","30","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Security","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","20-29","90","90","28330","27570"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","30-39","200","190","32230","29190"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","40-49","210","200","35990","30650"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","50-59","260","240","34340","27570"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","60-64","80","60","31560","27570"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Counter Fraud","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Counter Fraud","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Debt","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Finance","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Finance","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Legal","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Legal","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Legal","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Legal","50-59","30","30","[c]","[c]"
"In post","2021","Angus and Dundee City","Legal","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Legal","65+","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","No function","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","No function","20-29","40","40","[c]","[c]"
"In post","2021","Angus and Dundee City","No function","30-39","70","60","22840","20140"
"In post","2021","Angus and Dundee City","No function","40-49","100","90","23130","21440"
"In post","2021","Angus and Dundee City","No function","50-59","100","90","25980","21440"
"In post","2021","Angus and Dundee City","No function","60-64","40","30","[c]","[c]"
"In post","2021","Angus and Dundee City","No function","65+","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Project Delivery","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Property","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Property","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Property","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Unknown","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Unknown","20-29","170","160","23490","21150"
"In post","2021","Angus and Dundee City","Unknown","30-39","330","310","25630","23340"
"In post","2021","Angus and Dundee City","Unknown","40-49","360","340","27090","24110"
"In post","2021","Angus and Dundee City","Unknown","50-59","400","370","27450","22230"
"In post","2021","Angus and Dundee City","Unknown","60-64","130","110","26280","21080"
"In post","2021","Angus and Dundee City","Unknown","65+","40","30","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Commercial","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Digital, Data & Technology","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Digital, Data & Technology","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Digital, Data & Technology","65+","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Finance","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Human Resources","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Human Resources","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Human Resources","65+","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","No function","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","No function","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Project Delivery","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Project Delivery","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Project Delivery","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Property","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Property","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Property","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Property","65+","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Security","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Security","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Security","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Security","50-59","30","30","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Security","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Unknown","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Unknown","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Unknown","50-59","40","40","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Unknown","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Digital, Data & Technology","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Finance","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","No function","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","No function","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","No function","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","No function","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","No function","65+","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Project Delivery","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Project Delivery","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Project Delivery","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Property","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Property","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Property","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Security","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Security","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Security","40-49","30","30","[c]","[c]"
"In post","2021","Ards and North Down","Security","50-59","50","50","[c]","[c]"
"In post","2021","Ards and North Down","Security","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Security","65+","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Unknown","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Unknown","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Unknown","50-59","40","30","[c]","[c]"
"In post","2021","Ards and North Down","Unknown","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Commercial","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Property","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Property","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Unknown","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Counter Fraud","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Internal Audit","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Legal","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Legal","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Legal","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Legal","65+","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","No function","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","No function","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","No function","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","No function","50-59","50","40","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","No function","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","No function","65+","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Project Delivery","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Property","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Unknown","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Unknown","20-29","70","70","30380","31060"
"In post","2021","Barking & Dagenham and Havering","Unknown","30-39","80","70","31010","31060"
"In post","2021","Barking & Dagenham and Havering","Unknown","40-49","110","100","30910","31060"
"In post","2021","Barking & Dagenham and Havering","Unknown","50-59","160","150","31510","31060"
"In post","2021","Barking & Dagenham and Havering","Unknown","60-64","40","30","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Commercial","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Commercial","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Commercial","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Commercial","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Commercial","65+","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Communications","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Communications","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Communications","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Communications","65+","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Digital, Data & Technology","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Digital, Data & Technology","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Digital, Data & Technology","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Digital, Data & Technology","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Digital, Data & Technology","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Finance","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Finance","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Finance","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Finance","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Finance","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Finance","65+","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Human Resources","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Human Resources","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Human Resources","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Legal","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Legal","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Legal","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","No function","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","No function","20-29","250","240","30270","27520"
"In post","2021","Barnet","No function","30-39","250","230","39410","36730"
"In post","2021","Barnet","No function","40-49","250","230","47540","44950"
"In post","2021","Barnet","No function","50-59","240","220","44850","40470"
"In post","2021","Barnet","No function","60-64","80","70","51480","38930"
"In post","2021","Barnet","No function","65+","30","30","[c]","[c]"
"In post","2021","Barnet","Property","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Unknown","20-29","80","80","31260","31060"
"In post","2021","Barnet","Unknown","30-39","70","60","36240","31060"
"In post","2021","Barnet","Unknown","40-49","90","80","35570","31060"
"In post","2021","Barnet","Unknown","50-59","170","160","35970","31880"
"In post","2021","Barnet","Unknown","60-64","50","40","[c]","[c]"
"In post","2021","Barnet","Unknown","65+","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Commercial","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Commercial","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Commercial","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Commercial","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Communications","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Counter Fraud","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Digital, Data & Technology","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Digital, Data & Technology","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Digital, Data & Technology","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Finance","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Finance","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Finance","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Human Resources","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Human Resources","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Human Resources","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Legal","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Legal","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Legal","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Legal","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","No function","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","No function","20-29","310","310","24710","24920"
"In post","2021","Barnsley, Doncaster and Rotherham","No function","30-39","300","280","26970","26210"
"In post","2021","Barnsley, Doncaster and Rotherham","No function","40-49","280","260","30440","26850"
"In post","2021","Barnsley, Doncaster and Rotherham","No function","50-59","420","390","30340","28540"
"In post","2021","Barnsley, Doncaster and Rotherham","No function","60-64","120","90","27920","27680"
"In post","2021","Barnsley, Doncaster and Rotherham","No function","65+","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Property","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Property","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Property","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Property","65+","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Security","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Security","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Security","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Security","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Security","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Unknown","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Unknown","20-29","100","90","24280","21010"
"In post","2021","Barnsley, Doncaster and Rotherham","Unknown","30-39","210","190","25020","27570"
"In post","2021","Barnsley, Doncaster and Rotherham","Unknown","40-49","370","310","25280","27570"
"In post","2021","Barnsley, Doncaster and Rotherham","Unknown","50-59","530","470","25680","27570"
"In post","2021","Barnsley, Doncaster and Rotherham","Unknown","60-64","160","110","24020","21010"
"In post","2021","Barnsley, Doncaster and Rotherham","Unknown","65+","30","20","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Analysis","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Analysis","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Analysis","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Analysis","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Analysis","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Commercial","20-29","120","120","31260","30520"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Commercial","30-39","160","150","39380","39480"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Commercial","40-49","150","140","50340","42630"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Commercial","50-59","170","170","52610","44710"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Commercial","60-64","40","30","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Commercial","65+","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Communications","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Communications","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Communications","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Communications","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Communications","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Communications","65+","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Digital, Data & Technology","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Digital, Data & Technology","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Digital, Data & Technology","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Digital, Data & Technology","40-49","40","40","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Digital, Data & Technology","50-59","40","40","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Digital, Data & Technology","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Digital, Data & Technology","65+","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Finance","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Finance","20-29","150","150","26680","25530"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Finance","30-39","150","140","38870","37370"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Finance","40-49","140","130","44350","41010"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Finance","50-59","180","170","48550","44430"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Finance","60-64","40","40","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Finance","65+","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Human Resources","20-29","110","110","24710","21000"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Human Resources","30-39","150","130","32310","29540"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Human Resources","40-49","150","140","40130","36140"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Human Resources","50-59","160","160","41520","36230"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Human Resources","60-64","40","40","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Human Resources","65+","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Internal Audit","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Internal Audit","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Internal Audit","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Internal Audit","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Internal Audit","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Legal","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Legal","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Legal","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Legal","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","No function","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","No function","20-29","210","210","26550","24920"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","No function","30-39","230","210","31180","31650"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","No function","40-49","210","200","33330","31650"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","No function","50-59","290","270","34280","31650"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","No function","60-64","50","40","30130","27600"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","No function","65+","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Project Delivery","16-19","80","80","17790","17780"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Project Delivery","20-29","1900","1890","27710","27540"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Project Delivery","30-39","1980","1910","37540","37070"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Project Delivery","40-49","1740","1690","43530","41200"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Project Delivery","50-59","1970","1930","45580","42370"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Project Delivery","60-64","520","460","43540","41590"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Project Delivery","65+","140","120","40440","40790"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Property","20-29","40","40","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Property","30-39","80","80","35940","33710"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Property","40-49","70","70","40720","39800"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Property","50-59","80","80","44220","40580"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Property","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Property","65+","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Security","16-19","[c]","[c]","[c]","[c]"
