"Status","Year","Parent_department","Region_ITL3","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Flintshire and Wrexham","65+","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Haringey and Islington","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Haringey and Islington","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Haringey and Islington","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Haringey and Islington","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Harrow and Hillingdon","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Harrow and Hillingdon","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Harrow and Hillingdon","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Harrow and Hillingdon","65+","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Heart of Essex","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Heart of Essex","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Heart of Essex","30-39","30","30","[c]","[c]"
"In post","2021","Attorney General's Departments","Heart of Essex","40-49","60","50","41640","33710"
"In post","2021","Attorney General's Departments","Heart of Essex","50-59","60","50","44770","36240"
"In post","2021","Attorney General's Departments","Heart of Essex","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Heart of Essex","65+","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Hertfordshire","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Hertfordshire","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Hertfordshire","30-39","50","40","[c]","[c]"
"In post","2021","Attorney General's Departments","Hertfordshire","40-49","50","40","45150","50520"
"In post","2021","Attorney General's Departments","Hertfordshire","50-59","40","40","[c]","[c]"
"In post","2021","Attorney General's Departments","Hertfordshire","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Hertfordshire","65+","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Hounslow and Richmond upon Thames","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Hounslow and Richmond upon Thames","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Hounslow and Richmond upon Thames","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Hounslow and Richmond upon Thames","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Hounslow and Richmond upon Thames","65+","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Kingston upon Hull, City of","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Kingston upon Hull, City of","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Kingston upon Hull, City of","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Kingston upon Hull, City of","50-59","30","30","[c]","[c]"
"In post","2021","Attorney General's Departments","Kingston upon Hull, City of","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Kingston upon Hull, City of","65+","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Leeds","20-29","60","60","28440","25480"
"In post","2021","Attorney General's Departments","Leeds","30-39","80","70","43420","48080"
"In post","2021","Attorney General's Departments","Leeds","40-49","100","90","45920","48830"
"In post","2021","Attorney General's Departments","Leeds","50-59","130","120","43800","40590"
"In post","2021","Attorney General's Departments","Leeds","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Leeds","65+","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Leicester","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Leicester","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Leicester","30-39","30","30","[c]","[c]"
"In post","2021","Attorney General's Departments","Leicester","40-49","50","40","[c]","[c]"
"In post","2021","Attorney General's Departments","Leicester","50-59","40","40","[c]","[c]"
"In post","2021","Attorney General's Departments","Leicester","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Lewisham and Southwark","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Lewisham and Southwark","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Lewisham and Southwark","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Lewisham and Southwark","65+","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Lincolnshire","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Lincolnshire","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Lincolnshire","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Liverpool","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Liverpool","20-29","80","80","26360","23470"
"In post","2021","Attorney General's Departments","Liverpool","30-39","70","60","38260","38000"
"In post","2021","Attorney General's Departments","Liverpool","40-49","80","80","40540","38180"
"In post","2021","Attorney General's Departments","Liverpool","50-59","110","110","41530","38600"
"In post","2021","Attorney General's Departments","Liverpool","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Liverpool","65+","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Manchester","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Manchester","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Manchester","30-39","70","60","38100","38090"
"In post","2021","Attorney General's Departments","Manchester","40-49","140","130","43050","48080"
"In post","2021","Attorney General's Departments","Manchester","50-59","110","100","42080","33310"
"In post","2021","Attorney General's Departments","Manchester","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Manchester","65+","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Merton, Kingston upon Thames and Sutton","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Merton, Kingston upon Thames and Sutton","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Merton, Kingston upon Thames and Sutton","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Mid Kent","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Mid Kent","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Mid Lancashire","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Mid Lancashire","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Mid Lancashire","40-49","60","50","41990","42090"
"In post","2021","Attorney General's Departments","Mid Lancashire","50-59","70","70","41410","34480"
"In post","2021","Attorney General's Departments","Mid Lancashire","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Northumberland","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Norwich and East Norfolk","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Norwich and East Norfolk","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Norwich and East Norfolk","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Norwich and East Norfolk","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Norwich and East Norfolk","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Norwich and East Norfolk","65+","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Nottingham","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Nottingham","20-29","50","50","[c]","[c]"
"In post","2021","Attorney General's Departments","Nottingham","30-39","60","60","38210","39330"
"In post","2021","Attorney General's Departments","Nottingham","40-49","70","60","40800","38660"
"In post","2021","Attorney General's Departments","Nottingham","50-59","80","70","43450","48080"
"In post","2021","Attorney General's Departments","Nottingham","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Overseas","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Overseas","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Peterborough","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Portsmouth","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Portsmouth","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Portsmouth","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Portsmouth","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Portsmouth","50-59","30","30","[c]","[c]"
"In post","2021","Attorney General's Departments","Portsmouth","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Redbridge and Waltham Forest","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Redbridge and Waltham Forest","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Redbridge and Waltham Forest","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Redbridge and Waltham Forest","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Redbridge and Waltham Forest","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Redbridge and Waltham Forest","65+","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Sheffield","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Sheffield","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Sheffield","40-49","40","40","[c]","[c]"
"In post","2021","Attorney General's Departments","Sheffield","50-59","50","50","39930","33310"
"In post","2021","Attorney General's Departments","Sheffield","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Sheffield","65+","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Shropshire CC","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Shropshire CC","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","South Hampshire","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","South Hampshire","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","South Hampshire","40-49","60","50","48290","51120"
"In post","2021","Attorney General's Departments","South Hampshire","50-59","40","40","[c]","[c]"
"In post","2021","Attorney General's Departments","South Hampshire","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","South Hampshire","65+","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","South Teesside","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","South Teesside","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","South Teesside","40-49","30","30","[c]","[c]"
"In post","2021","Attorney General's Departments","South Teesside","50-59","30","30","[c]","[c]"
"In post","2021","Attorney General's Departments","South Teesside","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","South Teesside","65+","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Staffordshire CC","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Stoke-on-Trent","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Stoke-on-Trent","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Stoke-on-Trent","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Stoke-on-Trent","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Stoke-on-Trent","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Suffolk","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Suffolk","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Suffolk","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Suffolk","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Swansea","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Swansea","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Swansea","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Swansea","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Swansea","50-59","30","30","[c]","[c]"
"In post","2021","Attorney General's Departments","Swansea","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Swansea","65+","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Tyneside","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Tyneside","30-39","50","50","35560","30370"
"In post","2021","Attorney General's Departments","Tyneside","40-49","60","60","39990","42090"
"In post","2021","Attorney General's Departments","Tyneside","50-59","80","70","40750","32910"
"In post","2021","Attorney General's Departments","Tyneside","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Tyneside","65+","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Wakefield","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Wakefield","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Wakefield","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Wakefield","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Wakefield","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Wakefield","65+","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Warrington","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Warrington","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Warrington","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Warrington","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Warrington","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Warwickshire","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","West Cumbria","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","West Cumbria","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","West Northamptonshire","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","West Northamptonshire","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","West Northamptonshire","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","West Northamptonshire","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","West Surrey","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","West Surrey","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","West Surrey","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","West Surrey","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","West Surrey","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","West Surrey","65+","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","West Sussex (North East)","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Westminster","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Westminster","20-29","640","630","33570","29280"
"In post","2021","Attorney General's Departments","Westminster","30-39","1230","1170","49690","51250"
"In post","2021","Attorney General's Departments","Westminster","40-49","1240","1130","55050","57400"
"In post","2021","Attorney General's Departments","Westminster","50-59","1100","1050","56010","60710"
"In post","2021","Attorney General's Departments","Westminster","60-64","220","200","53780","58970"
"In post","2021","Attorney General's Departments","Westminster","65+","70","50","46880","35000"
"In post","2021","Attorney General's Departments","Wiltshire","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Wiltshire","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Wiltshire","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Wiltshire","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Wolverhampton","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Worcestershire","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","York","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","York","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","York","30-39","30","30","[c]","[c]"
"In post","2021","Attorney General's Departments","York","40-49","80","80","47590","50850"
"In post","2021","Attorney General's Departments","York","50-59","140","130","54210","55610"
"In post","2021","Attorney General's Departments","York","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","York","65+","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Ards and North Down","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Ards and North Down","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Bath and North East Somerset, North Somerset and South Gloucestershire","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Bath and North East Somerset, North Somerset and South Gloucestershire","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Bath and North East Somerset, North Somerset and South Gloucestershire","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Bath and North East Somerset, North Somerset and South Gloucestershire","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Belfast","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Berkshire","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Berkshire","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Berkshire","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Berkshire","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Birmingham","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Birmingham","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Birmingham","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Birmingham","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Blackpool","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Blackpool","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Blackpool","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Blackpool","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Bradford","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Brighton and Hove","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Bristol, City of","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Bristol, City of","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Bristol, City of","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Bristol, City of","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Bristol, City of","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Buckinghamshire CC","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Buckinghamshire CC","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Buckinghamshire CC","40-49","[c]","[c]","[c]","[c]"
