"Status","Year","Disability","Region_ITL3","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Ards and North Down","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Ards and North Down","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Ards and North Down","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Ards and North Down","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Ards and North Down","65+","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Armagh City, Banbridge and Craigavon","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Armagh City, Banbridge and Craigavon","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barking & Dagenham and Havering","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barking & Dagenham and Havering","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barking & Dagenham and Havering","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barking & Dagenham and Havering","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barking & Dagenham and Havering","50-59","50","40","[c]","[c]"
"In post","2021","Declared disabled","Barking & Dagenham and Havering","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barking & Dagenham and Havering","65+","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barnet","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barnet","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barnet","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barnet","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barnet","50-59","40","30","[c]","[c]"
"In post","2021","Declared disabled","Barnet","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barnet","65+","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barnsley, Doncaster and Rotherham","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barnsley, Doncaster and Rotherham","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barnsley, Doncaster and Rotherham","30-39","60","60","25050","24690"
"In post","2021","Declared disabled","Barnsley, Doncaster and Rotherham","40-49","110","100","28040","27570"
"In post","2021","Declared disabled","Barnsley, Doncaster and Rotherham","50-59","160","140","27660","27570"
"In post","2021","Declared disabled","Barnsley, Doncaster and Rotherham","60-64","50","40","[c]","[c]"
"In post","2021","Declared disabled","Barnsley, Doncaster and Rotherham","65+","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","20-29","210","210","27830","27290"
"In post","2021","Declared disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","30-39","250","240","34700","33300"
"In post","2021","Declared disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","40-49","300","290","39670","37990"
"In post","2021","Declared disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","50-59","430","410","39790","39860"
"In post","2021","Declared disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","60-64","120","110","36710","37170"
"In post","2021","Declared disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","65+","40","30","[c]","[c]"
"In post","2021","Declared disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bedford","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bedford","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bedford","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bedford","40-49","30","30","[c]","[c]"
"In post","2021","Declared disabled","Bedford","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bedford","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bedford","65+","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Belfast","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Belfast","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Belfast","30-39","30","30","[c]","[c]"
"In post","2021","Declared disabled","Belfast","40-49","70","70","26920","25440"
"In post","2021","Declared disabled","Belfast","50-59","90","90","30900","28130"
"In post","2021","Declared disabled","Belfast","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Belfast","65+","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Belfast","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Berkshire","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Berkshire","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Berkshire","30-39","60","60","32500","29930"
"In post","2021","Declared disabled","Berkshire","40-49","70","60","34820","31430"
"In post","2021","Declared disabled","Berkshire","50-59","120","110","33180","31110"
"In post","2021","Declared disabled","Berkshire","60-64","40","40","[c]","[c]"
"In post","2021","Declared disabled","Berkshire","65+","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bexley and Greenwich","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bexley and Greenwich","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bexley and Greenwich","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bexley and Greenwich","40-49","40","30","[c]","[c]"
"In post","2021","Declared disabled","Bexley and Greenwich","50-59","80","80","31130","30780"
"In post","2021","Declared disabled","Bexley and Greenwich","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bexley and Greenwich","65+","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bexley and Greenwich","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Birmingham","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Birmingham","20-29","100","100","24640","22920"
"In post","2021","Declared disabled","Birmingham","30-39","220","210","29350","27570"
"In post","2021","Declared disabled","Birmingham","40-49","300","270","31110","27570"
"In post","2021","Declared disabled","Birmingham","50-59","460","420","29930","27570"
"In post","2021","Declared disabled","Birmingham","60-64","160","130","28030","27570"
"In post","2021","Declared disabled","Birmingham","65+","30","20","[c]","[c]"
"In post","2021","Declared disabled","Birmingham","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Blackburn with Darwen","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Blackburn with Darwen","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Blackburn with Darwen","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Blackburn with Darwen","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Blackburn with Darwen","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Blackburn with Darwen","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Blackburn with Darwen","65+","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Blackpool","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Blackpool","20-29","60","50","23740","21010"
"In post","2021","Declared disabled","Blackpool","30-39","90","80","26520","27570"
"In post","2021","Declared disabled","Blackpool","40-49","210","190","27930","27570"
"In post","2021","Declared disabled","Blackpool","50-59","310","280","28660","27570"
"In post","2021","Declared disabled","Blackpool","60-64","90","70","26040","21010"
"In post","2021","Declared disabled","Blackpool","65+","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Blackpool","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bournemouth and Poole","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bournemouth and Poole","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bournemouth and Poole","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bournemouth and Poole","50-59","50","40","[c]","[c]"
"In post","2021","Declared disabled","Bournemouth and Poole","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bournemouth and Poole","65+","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bradford","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bradford","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bradford","30-39","40","30","[c]","[c]"
"In post","2021","Declared disabled","Bradford","40-49","90","70","25620","21440"
"In post","2021","Declared disabled","Bradford","50-59","130","110","27120","25560"
"In post","2021","Declared disabled","Bradford","60-64","50","40","24890","21440"
"In post","2021","Declared disabled","Bradford","65+","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Breckland and South Norfolk","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Breckland and South Norfolk","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Breckland and South Norfolk","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Breckland and South Norfolk","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Breckland and South Norfolk","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Breckland and South Norfolk","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Breckland and South Norfolk","65+","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Brent","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Brent","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Brent","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Brent","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Brent","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Brent","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Brent","65+","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bridgend and Neath Port Talbot","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bridgend and Neath Port Talbot","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bridgend and Neath Port Talbot","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bridgend and Neath Port Talbot","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bridgend and Neath Port Talbot","50-59","40","30","[c]","[c]"
"In post","2021","Declared disabled","Bridgend and Neath Port Talbot","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bridgend and Neath Port Talbot","65+","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Brighton and Hove","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Brighton and Hove","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Brighton and Hove","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Brighton and Hove","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Brighton and Hove","50-59","40","30","[c]","[c]"
"In post","2021","Declared disabled","Brighton and Hove","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Brighton and Hove","65+","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bristol, City of","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bristol, City of","20-29","80","80","27700","27150"
"In post","2021","Declared disabled","Bristol, City of","30-39","130","120","32650","31810"
"In post","2021","Declared disabled","Bristol, City of","40-49","150","140","33840","29520"
"In post","2021","Declared disabled","Bristol, City of","50-59","230","210","33140","27570"
"In post","2021","Declared disabled","Bristol, City of","60-64","50","40","34970","27570"
"In post","2021","Declared disabled","Bristol, City of","65+","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bromley","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bromley","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bromley","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bromley","50-59","30","30","[c]","[c]"
"In post","2021","Declared disabled","Bromley","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bromley","65+","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Buckinghamshire CC","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Buckinghamshire CC","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Buckinghamshire CC","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Buckinghamshire CC","40-49","40","40","[c]","[c]"
"In post","2021","Declared disabled","Buckinghamshire CC","50-59","70","60","32700","29530"
"In post","2021","Declared disabled","Buckinghamshire CC","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Buckinghamshire CC","65+","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Buckinghamshire CC","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Caithness and Sutherland and Ross and Cromarty","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Caithness and Sutherland and Ross and Cromarty","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Caithness and Sutherland and Ross and Cromarty","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Caithness and Sutherland and Ross and Cromarty","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Caithness and Sutherland and Ross and Cromarty","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Caithness and Sutherland and Ross and Cromarty","65+","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Calderdale and Kirklees","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Calderdale and Kirklees","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Calderdale and Kirklees","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Calderdale and Kirklees","40-49","50","40","[c]","[c]"
"In post","2021","Declared disabled","Calderdale and Kirklees","50-59","80","70","27330","27570"
"In post","2021","Declared disabled","Calderdale and Kirklees","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Calderdale and Kirklees","65+","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cambridgeshire CC","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cambridgeshire CC","20-29","30","30","[c]","[c]"
"In post","2021","Declared disabled","Cambridgeshire CC","30-39","60","50","32100","30840"
"In post","2021","Declared disabled","Cambridgeshire CC","40-49","80","80","31720","31650"
"In post","2021","Declared disabled","Cambridgeshire CC","50-59","130","120","36010","33300"
"In post","2021","Declared disabled","Cambridgeshire CC","60-64","40","30","[c]","[c]"
"In post","2021","Declared disabled","Cambridgeshire CC","65+","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Camden and City of London","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Camden and City of London","20-29","40","40","[c]","[c]"
"In post","2021","Declared disabled","Camden and City of London","30-39","40","30","[c]","[c]"
"In post","2021","Declared disabled","Camden and City of London","40-49","60","50","40650","34270"
"In post","2021","Declared disabled","Camden and City of London","50-59","120","120","34150","29570"
"In post","2021","Declared disabled","Camden and City of London","60-64","30","30","[c]","[c]"
"In post","2021","Declared disabled","Camden and City of London","65+","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cardiff and Vale of Glamorgan","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cardiff and Vale of Glamorgan","20-29","100","100","25770","23830"
"In post","2021","Declared disabled","Cardiff and Vale of Glamorgan","30-39","180","170","30440","27570"
"In post","2021","Declared disabled","Cardiff and Vale of Glamorgan","40-49","260","240","33100","28850"
"In post","2021","Declared disabled","Cardiff and Vale of Glamorgan","50-59","400","370","32860","28130"
"In post","2021","Declared disabled","Cardiff and Vale of Glamorgan","60-64","100","80","31030","25560"
"In post","2021","Declared disabled","Cardiff and Vale of Glamorgan","65+","40","30","[c]","[c]"
"In post","2021","Declared disabled","Cardiff and Vale of Glamorgan","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Causeway Coast and Glens","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Causeway Coast and Glens","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Causeway Coast and Glens","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Causeway Coast and Glens","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Causeway Coast and Glens","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Causeway Coast and Glens","65+","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Central Bedfordshire","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Central Bedfordshire","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Central Bedfordshire","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Central Bedfordshire","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Central Bedfordshire","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Central Bedfordshire","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Central Bedfordshire","65+","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Central Hampshire","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Central Hampshire","20-29","50","50","29390","28650"
"In post","2021","Declared disabled","Central Hampshire","30-39","80","80","33830","33300"
"In post","2021","Declared disabled","Central Hampshire","40-49","100","90","34970","33300"
"In post","2021","Declared disabled","Central Hampshire","50-59","140","140","35330","33300"
"In post","2021","Declared disabled","Central Hampshire","60-64","40","40","[c]","[c]"
"In post","2021","Declared disabled","Central Hampshire","65+","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Central Valleys","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Central Valleys","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Central Valleys","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Central Valleys","40-49","40","40","[c]","[c]"
"In post","2021","Declared disabled","Central Valleys","50-59","70","60","27640","27570"
"In post","2021","Declared disabled","Central Valleys","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Central Valleys","65+","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cheshire East","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cheshire East","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cheshire East","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cheshire East","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cheshire East","50-59","40","30","[c]","[c]"
"In post","2021","Declared disabled","Cheshire East","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cheshire East","65+","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cheshire West and Chester","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cheshire West and Chester","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cheshire West and Chester","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cheshire West and Chester","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cheshire West and Chester","50-59","40","30","[c]","[c]"
"In post","2021","Declared disabled","Cheshire West and Chester","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cheshire West and Chester","65+","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chorley and West Lancashire","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chorley and West Lancashire","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chorley and West Lancashire","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chorley and West Lancashire","40-49","40","40","[c]","[c]"
"In post","2021","Declared disabled","Chorley and West Lancashire","50-59","40","40","[c]","[c]"
"In post","2021","Declared disabled","Chorley and West Lancashire","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chorley and West Lancashire","65+","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","City of Edinburgh","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","City of Edinburgh","20-29","150","150","29970","27570"
"In post","2021","Declared disabled","City of Edinburgh","30-39","230","220","35790","32140"
"In post","2021","Declared disabled","City of Edinburgh","40-49","260","250","39280","32900"
"In post","2021","Declared disabled","City of Edinburgh","50-59","340","330","38190","34190"
"In post","2021","Declared disabled","City of Edinburgh","60-64","90","80","33170","28130"
"In post","2021","Declared disabled","City of Edinburgh","65+","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Clackmannanshire and Fife","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Clackmannanshire and Fife","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Clackmannanshire and Fife","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Clackmannanshire and Fife","40-49","40","30","[c]","[c]"
"In post","2021","Declared disabled","Clackmannanshire and Fife","50-59","90","80","30850","27570"
"In post","2021","Declared disabled","Clackmannanshire and Fife","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Clackmannanshire and Fife","65+","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Conwy and Denbighshire","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Conwy and Denbighshire","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Conwy and Denbighshire","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Conwy and Denbighshire","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Conwy and Denbighshire","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Conwy and Denbighshire","65+","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cornwall and Isles of Scilly","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cornwall and Isles of Scilly","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cornwall and Isles of Scilly","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cornwall and Isles of Scilly","40-49","40","40","[c]","[c]"
"In post","2021","Declared disabled","Cornwall and Isles of Scilly","50-59","100","90","26870","26780"
"In post","2021","Declared disabled","Cornwall and Isles of Scilly","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cornwall and Isles of Scilly","65+","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Coventry","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Coventry","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Coventry","30-39","40","40","[c]","[c]"
"In post","2021","Declared disabled","Coventry","40-49","70","60","37080","33840"
"In post","2021","Declared disabled","Coventry","50-59","90","80","33080","27570"
"In post","2021","Declared disabled","Coventry","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Coventry","65+","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Croydon","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Croydon","20-29","60","60","33300","29570"
"In post","2021","Declared disabled","Croydon","30-39","130","120","38030","33650"
"In post","2021","Declared disabled","Croydon","40-49","210","200","37870","35070"
"In post","2021","Declared disabled","Croydon","50-59","380","360","37770","35070"
"In post","2021","Declared disabled","Croydon","60-64","110","100","34460","29370"
"In post","2021","Declared disabled","Croydon","65+","50","40","31990","29370"
"In post","2021","Declared disabled","Darlington","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Darlington","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Darlington","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Darlington","50-59","40","40","[c]","[c]"
"In post","2021","Declared disabled","Darlington","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Darlington","65+","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Darlington","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Derby","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Derby","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Derby","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Derby","40-49","40","30","[c]","[c]"
"In post","2021","Declared disabled","Derby","50-59","50","40","25950","24190"
"In post","2021","Declared disabled","Derby","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Derby","65+","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Derry City and Strabane","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Derry City and Strabane","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Derry City and Strabane","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Derry City and Strabane","65+","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Devon CC","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Devon CC","20-29","30","30","[c]","[c]"
"In post","2021","Declared disabled","Devon CC","30-39","110","100","29550","27570"
"In post","2021","Declared disabled","Devon CC","40-49","130","120","29690","27570"
"In post","2021","Declared disabled","Devon CC","50-59","220","200","29510","27570"
"In post","2021","Declared disabled","Devon CC","60-64","70","60","28070","23230"
"In post","2021","Declared disabled","Devon CC","65+","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Dorset CC","20-29","[c]","[c]","[c]","[c]"
