"Status","Year","Region_ITL3","Disability","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Haringey and Islington","Unknown","Ministry of Justice","210","200","30420","30520"
"In post","2022","Harrow and Hillingdon","Declared disabled","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","Harrow and Hillingdon","Declared disabled","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","Harrow and Hillingdon","Declared disabled","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Harrow and Hillingdon","Declared disabled","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","Harrow and Hillingdon","Declared disabled","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","Harrow and Hillingdon","Declared disabled","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","Harrow and Hillingdon","Declared disabled","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Harrow and Hillingdon","Declared disabled","Department for Work and Pensions","70","70","30490","31060"
"In post","2022","Harrow and Hillingdon","Declared disabled","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","Harrow and Hillingdon","Declared disabled","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Harrow and Hillingdon","Declared disabled","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2022","Harrow and Hillingdon","Declared disabled","Home Office","190","170","31350","29080"
"In post","2022","Harrow and Hillingdon","Declared disabled","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Harrow and Hillingdon","Declared disabled","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","Harrow and Hillingdon","Declared disabled","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Harrow and Hillingdon","Declared disabled","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Harrow and Hillingdon","Declared non-disabled","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","Harrow and Hillingdon","Declared non-disabled","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","Harrow and Hillingdon","Declared non-disabled","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Harrow and Hillingdon","Declared non-disabled","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","Harrow and Hillingdon","Declared non-disabled","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","Harrow and Hillingdon","Declared non-disabled","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","Harrow and Hillingdon","Declared non-disabled","Department for Transport","60","50","32990","30830"
"In post","2022","Harrow and Hillingdon","Declared non-disabled","Department for Work and Pensions","330","310","30870","31060"
"In post","2022","Harrow and Hillingdon","Declared non-disabled","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","Harrow and Hillingdon","Declared non-disabled","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Harrow and Hillingdon","Declared non-disabled","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2022","Harrow and Hillingdon","Declared non-disabled","Home Office","1630","1480","31420","29080"
"In post","2022","Harrow and Hillingdon","Declared non-disabled","Ministry of Defence","240","230","29380","25890"
"In post","2022","Harrow and Hillingdon","Declared non-disabled","Ministry of Justice","80","80","30730","28310"
"In post","2022","Harrow and Hillingdon","Declared non-disabled","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Harrow and Hillingdon","Declared non-disabled","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Harrow and Hillingdon","Undeclared","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","Harrow and Hillingdon","Undeclared","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","Harrow and Hillingdon","Undeclared","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Harrow and Hillingdon","Undeclared","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","Harrow and Hillingdon","Undeclared","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","Harrow and Hillingdon","Undeclared","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Harrow and Hillingdon","Undeclared","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2022","Harrow and Hillingdon","Undeclared","Home Office","140","130","32960","30410"
"In post","2022","Harrow and Hillingdon","Undeclared","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Harrow and Hillingdon","Undeclared","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","Harrow and Hillingdon","Unknown","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","Harrow and Hillingdon","Unknown","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","Harrow and Hillingdon","Unknown","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Harrow and Hillingdon","Unknown","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","Harrow and Hillingdon","Unknown","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","Harrow and Hillingdon","Unknown","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Harrow and Hillingdon","Unknown","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2022","Harrow and Hillingdon","Unknown","Home Office","190","180","30150","28650"
"In post","2022","Harrow and Hillingdon","Unknown","Ministry of Defence","40","40","[c]","[c]"
"In post","2022","Harrow and Hillingdon","Unknown","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","Hartlepool and Stockton-on-Tees","Declared disabled","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","Hartlepool and Stockton-on-Tees","Declared disabled","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Hartlepool and Stockton-on-Tees","Declared disabled","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","Hartlepool and Stockton-on-Tees","Declared disabled","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","Hartlepool and Stockton-on-Tees","Declared disabled","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Hartlepool and Stockton-on-Tees","Declared disabled","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","Hartlepool and Stockton-on-Tees","Declared disabled","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Hartlepool and Stockton-on-Tees","Declared disabled","Department for Work and Pensions","150","130","25450","27570"
"In post","2022","Hartlepool and Stockton-on-Tees","Declared disabled","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","Hartlepool and Stockton-on-Tees","Declared disabled","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Hartlepool and Stockton-on-Tees","Declared disabled","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2022","Hartlepool and Stockton-on-Tees","Declared disabled","Home Office","[c]","[c]","[c]","[c]"
"In post","2022","Hartlepool and Stockton-on-Tees","Declared disabled","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Hartlepool and Stockton-on-Tees","Declared disabled","Ministry of Justice","100","90","30930","31410"
"In post","2022","Hartlepool and Stockton-on-Tees","Declared disabled","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Hartlepool and Stockton-on-Tees","Declared non-disabled","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","Hartlepool and Stockton-on-Tees","Declared non-disabled","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Hartlepool and Stockton-on-Tees","Declared non-disabled","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","Hartlepool and Stockton-on-Tees","Declared non-disabled","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","Hartlepool and Stockton-on-Tees","Declared non-disabled","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Hartlepool and Stockton-on-Tees","Declared non-disabled","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","Hartlepool and Stockton-on-Tees","Declared non-disabled","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Hartlepool and Stockton-on-Tees","Declared non-disabled","Department for Work and Pensions","530","470","25600","27570"
"In post","2022","Hartlepool and Stockton-on-Tees","Declared non-disabled","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","Hartlepool and Stockton-on-Tees","Declared non-disabled","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Hartlepool and Stockton-on-Tees","Declared non-disabled","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2022","Hartlepool and Stockton-on-Tees","Declared non-disabled","Home Office","[c]","[c]","[c]","[c]"
"In post","2022","Hartlepool and Stockton-on-Tees","Declared non-disabled","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Hartlepool and Stockton-on-Tees","Declared non-disabled","Ministry of Justice","610","580","29130","26310"
"In post","2022","Hartlepool and Stockton-on-Tees","Declared non-disabled","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Hartlepool and Stockton-on-Tees","Undeclared","Department for Work and Pensions","40","30","[c]","[c]"
"In post","2022","Hartlepool and Stockton-on-Tees","Undeclared","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Hartlepool and Stockton-on-Tees","Undeclared","Ministry of Justice","110","100","30600","31650"
"In post","2022","Hartlepool and Stockton-on-Tees","Unknown","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","Hartlepool and Stockton-on-Tees","Unknown","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Hartlepool and Stockton-on-Tees","Unknown","Department for Work and Pensions","30","30","[c]","[c]"
"In post","2022","Hartlepool and Stockton-on-Tees","Unknown","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","Hartlepool and Stockton-on-Tees","Unknown","Home Office","[c]","[c]","[c]","[c]"
"In post","2022","Hartlepool and Stockton-on-Tees","Unknown","Ministry of Justice","60","60","28770","27120"
"In post","2022","Heart of Essex","Declared disabled","Attorney General's Departments","30","30","[c]","[c]"
"In post","2022","Heart of Essex","Declared disabled","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Heart of Essex","Declared disabled","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","Heart of Essex","Declared disabled","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","Heart of Essex","Declared disabled","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","Heart of Essex","Declared disabled","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Heart of Essex","Declared disabled","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","Heart of Essex","Declared disabled","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","Heart of Essex","Declared disabled","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Heart of Essex","Declared disabled","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2022","Heart of Essex","Declared disabled","Home Office","[c]","[c]","[c]","[c]"
"In post","2022","Heart of Essex","Declared disabled","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Heart of Essex","Declared disabled","Ministry of Justice","70","60","28910","26560"
"In post","2022","Heart of Essex","Declared disabled","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","Heart of Essex","Declared non-disabled","Attorney General's Departments","130","120","43750","40000"
"In post","2022","Heart of Essex","Declared non-disabled","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Heart of Essex","Declared non-disabled","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","Heart of Essex","Declared non-disabled","Department for Environment, Food and Rural Affairs","40","40","[c]","[c]"
"In post","2022","Heart of Essex","Declared non-disabled","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","Heart of Essex","Declared non-disabled","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Heart of Essex","Declared non-disabled","Department for Work and Pensions","140","130","34570","29290"
"In post","2022","Heart of Essex","Declared non-disabled","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","Heart of Essex","Declared non-disabled","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Heart of Essex","Declared non-disabled","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2022","Heart of Essex","Declared non-disabled","Home Office","[c]","[c]","[c]","[c]"
"In post","2022","Heart of Essex","Declared non-disabled","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Heart of Essex","Declared non-disabled","Ministry of Justice","460","430","30430","29950"
"In post","2022","Heart of Essex","Declared non-disabled","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","Heart of Essex","Undeclared","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","Heart of Essex","Undeclared","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Heart of Essex","Undeclared","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","Heart of Essex","Undeclared","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Heart of Essex","Undeclared","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Heart of Essex","Undeclared","Ministry of Justice","50","50","30520","28200"
"In post","2022","Heart of Essex","Unknown","Attorney General's Departments","40","40","[c]","[c]"
"In post","2022","Heart of Essex","Unknown","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Heart of Essex","Unknown","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","Heart of Essex","Unknown","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Heart of Essex","Unknown","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","Heart of Essex","Unknown","Home Office","[c]","[c]","[c]","[c]"
"In post","2022","Heart of Essex","Unknown","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Heart of Essex","Unknown","Ministry of Justice","130","120","25230","26140"
"In post","2022","Heart of Essex","Unknown","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","Herefordshire, County of","Declared disabled","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","Herefordshire, County of","Declared disabled","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","Herefordshire, County of","Declared disabled","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","Herefordshire, County of","Declared disabled","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","Herefordshire, County of","Declared disabled","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Herefordshire, County of","Declared disabled","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","Herefordshire, County of","Declared disabled","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","Herefordshire, County of","Declared disabled","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Herefordshire, County of","Declared disabled","Home Office","[c]","[c]","[c]","[c]"
"In post","2022","Herefordshire, County of","Declared disabled","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Herefordshire, County of","Declared disabled","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","Herefordshire, County of","Declared disabled","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","Herefordshire, County of","Declared disabled","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Herefordshire, County of","Declared non-disabled","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","Herefordshire, County of","Declared non-disabled","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","Herefordshire, County of","Declared non-disabled","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","Herefordshire, County of","Declared non-disabled","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","Herefordshire, County of","Declared non-disabled","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Herefordshire, County of","Declared non-disabled","Department for Work and Pensions","60","50","28730","27570"
"In post","2022","Herefordshire, County of","Declared non-disabled","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","Herefordshire, County of","Declared non-disabled","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Herefordshire, County of","Declared non-disabled","Home Office","[c]","[c]","[c]","[c]"
"In post","2022","Herefordshire, County of","Declared non-disabled","Ministry of Defence","210","200","27020","25000"
"In post","2022","Herefordshire, County of","Declared non-disabled","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","Herefordshire, County of","Declared non-disabled","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","Herefordshire, County of","Declared non-disabled","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Herefordshire, County of","Undeclared","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","Herefordshire, County of","Undeclared","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","Herefordshire, County of","Undeclared","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Herefordshire, County of","Undeclared","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Herefordshire, County of","Undeclared","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","Herefordshire, County of","Unknown","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","Herefordshire, County of","Unknown","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","Herefordshire, County of","Unknown","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Herefordshire, County of","Unknown","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","Herefordshire, County of","Unknown","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","Herefordshire, County of","Unknown","Ministry of Defence","80","80","27920","22010"
"In post","2022","Herefordshire, County of","Unknown","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","Herefordshire, County of","Unknown","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","Hertfordshire CC","Declared disabled","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","Hertfordshire CC","Declared disabled","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","Hertfordshire CC","Declared disabled","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Hertfordshire CC","Declared disabled","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","Hertfordshire CC","Declared disabled","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","Hertfordshire CC","Declared disabled","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","Hertfordshire CC","Declared disabled","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Hertfordshire CC","Declared disabled","Department for Work and Pensions","140","130","29720","29290"
"In post","2022","Hertfordshire CC","Declared disabled","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","Hertfordshire CC","Declared disabled","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Hertfordshire CC","Declared disabled","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2022","Hertfordshire CC","Declared disabled","Home Office","[c]","[c]","[c]","[c]"
"In post","2022","Hertfordshire CC","Declared disabled","Ministry of Defence","40","40","[c]","[c]"
"In post","2022","Hertfordshire CC","Declared disabled","Ministry of Justice","90","80","28840","28140"
"In post","2022","Hertfordshire CC","Declared disabled","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","Hertfordshire CC","Declared disabled","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Hertfordshire CC","Declared disabled","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Hertfordshire CC","Declared non-disabled","Attorney General's Departments","130","120","45320","53050"
"In post","2022","Hertfordshire CC","Declared non-disabled","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","Hertfordshire CC","Declared non-disabled","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Hertfordshire CC","Declared non-disabled","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","Hertfordshire CC","Declared non-disabled","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","Hertfordshire CC","Declared non-disabled","Department for Levelling Up, Housing and Communities","40","40","[c]","[c]"
"In post","2022","Hertfordshire CC","Declared non-disabled","Department for Transport","40","40","[c]","[c]"
"In post","2022","Hertfordshire CC","Declared non-disabled","Department for Work and Pensions","540","500","29850","29290"
"In post","2022","Hertfordshire CC","Declared non-disabled","Department of Health and Social Care","110","100","50130","45570"
"In post","2022","Hertfordshire CC","Declared non-disabled","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Hertfordshire CC","Declared non-disabled","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2022","Hertfordshire CC","Declared non-disabled","Home Office","[c]","[c]","[c]","[c]"
"In post","2022","Hertfordshire CC","Declared non-disabled","Ministry of Defence","310","300","41630","37640"
"In post","2022","Hertfordshire CC","Declared non-disabled","Ministry of Justice","570","530","30500","29260"
"In post","2022","Hertfordshire CC","Declared non-disabled","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","Hertfordshire CC","Declared non-disabled","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Hertfordshire CC","Declared non-disabled","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Hertfordshire CC","Undeclared","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","Hertfordshire CC","Undeclared","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","Hertfordshire CC","Undeclared","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","Hertfordshire CC","Undeclared","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","Hertfordshire CC","Undeclared","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Hertfordshire CC","Undeclared","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","Hertfordshire CC","Undeclared","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","Hertfordshire CC","Undeclared","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Hertfordshire CC","Undeclared","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2022","Hertfordshire CC","Undeclared","Home Office","[c]","[c]","[c]","[c]"
"In post","2022","Hertfordshire CC","Undeclared","Ministry of Defence","40","40","[c]","[c]"
"In post","2022","Hertfordshire CC","Undeclared","Ministry of Justice","40","40","[c]","[c]"
"In post","2022","Hertfordshire CC","Unknown","Attorney General's Departments","30","30","[c]","[c]"
"In post","2022","Hertfordshire CC","Unknown","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","Hertfordshire CC","Unknown","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Hertfordshire CC","Unknown","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","Hertfordshire CC","Unknown","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","Hertfordshire CC","Unknown","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Hertfordshire CC","Unknown","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","Hertfordshire CC","Unknown","Department of Health and Social Care","190","190","44060","40850"
"In post","2022","Hertfordshire CC","Unknown","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Hertfordshire CC","Unknown","Home Office","[c]","[c]","[c]","[c]"
"In post","2022","Hertfordshire CC","Unknown","Ministry of Defence","70","70","40430","37810"
"In post","2022","Hertfordshire CC","Unknown","Ministry of Justice","100","100","27170","25190"
"In post","2022","Hertfordshire CC","Unknown","National Crime Agency","50","50","38600","36410"
"In post","2022","Hertfordshire CC","Unknown","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Hounslow and Richmond upon Thames","Declared disabled","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","Hounslow and Richmond upon Thames","Declared disabled","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Hounslow and Richmond upon Thames","Declared disabled","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","Hounslow and Richmond upon Thames","Declared disabled","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","Hounslow and Richmond upon Thames","Declared disabled","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","Hounslow and Richmond upon Thames","Declared disabled","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Hounslow and Richmond upon Thames","Declared disabled","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","Hounslow and Richmond upon Thames","Declared disabled","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","Hounslow and Richmond upon Thames","Declared disabled","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Hounslow and Richmond upon Thames","Declared disabled","Home Office","50","40","[c]","[c]"
"In post","2022","Hounslow and Richmond upon Thames","Declared disabled","Ministry of Defence","30","30","[c]","[c]"
"In post","2022","Hounslow and Richmond upon Thames","Declared disabled","Ministry of Justice","110","100","32920","32280"
"In post","2022","Hounslow and Richmond upon Thames","Declared disabled","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","Hounslow and Richmond upon Thames","Declared disabled","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Hounslow and Richmond upon Thames","Declared disabled","The National Archives","40","40","[c]","[c]"
"In post","2022","Hounslow and Richmond upon Thames","Declared non-disabled","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","Hounslow and Richmond upon Thames","Declared non-disabled","Department for Business, Energy and Industrial Strategy","70","70","44440","40220"
"In post","2022","Hounslow and Richmond upon Thames","Declared non-disabled","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","Hounslow and Richmond upon Thames","Declared non-disabled","Department for Environment, Food and Rural Affairs","50","50","[c]","[c]"
"In post","2022","Hounslow and Richmond upon Thames","Declared non-disabled","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","Hounslow and Richmond upon Thames","Declared non-disabled","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Hounslow and Richmond upon Thames","Declared non-disabled","Department for Work and Pensions","210","190","30940","31060"
"In post","2022","Hounslow and Richmond upon Thames","Declared non-disabled","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","Hounslow and Richmond upon Thames","Declared non-disabled","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Hounslow and Richmond upon Thames","Declared non-disabled","Home Office","470","440","31550","29080"
"In post","2022","Hounslow and Richmond upon Thames","Declared non-disabled","Ministry of Defence","200","190","33150","29520"
"In post","2022","Hounslow and Richmond upon Thames","Declared non-disabled","Ministry of Justice","610","570","32340","32890"
"In post","2022","Hounslow and Richmond upon Thames","Declared non-disabled","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","Hounslow and Richmond upon Thames","Declared non-disabled","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Hounslow and Richmond upon Thames","Declared non-disabled","The National Archives","360","350","36680","34390"
