"Status","Year","Parent_department","Age","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","30-39","Leeds","80","70","43420","48080"
"In post","2021","Attorney General's Departments","30-39","Leicester","30","30","[c]","[c]"
"In post","2021","Attorney General's Departments","30-39","Lewisham and Southwark","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","30-39","Liverpool","70","60","38260","38000"
"In post","2021","Attorney General's Departments","30-39","Manchester","70","60","38100","38090"
"In post","2021","Attorney General's Departments","30-39","Mid Kent","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","30-39","Mid Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","30-39","Norwich and East Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","30-39","Nottingham","60","60","38210","39330"
"In post","2021","Attorney General's Departments","30-39","Portsmouth","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","30-39","Redbridge and Waltham Forest","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","30-39","Sheffield","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","30-39","South Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","30-39","South Teesside","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","30-39","Stoke-on-Trent","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","30-39","Suffolk","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","30-39","Swansea","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","30-39","Tyneside","50","50","35560","30370"
"In post","2021","Attorney General's Departments","30-39","Wakefield","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","30-39","Warrington","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","30-39","West Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","30-39","West Surrey","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","30-39","Westminster","1230","1170","49690","51250"
"In post","2021","Attorney General's Departments","30-39","Wiltshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","30-39","York","30","30","[c]","[c]"
"In post","2021","Attorney General's Departments","40-49","Aberdeen City and Aberdeenshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","40-49","Bath and North East Somerset, North Somerset and South Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","40-49","Berkshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","40-49","Bexley and Greenwich","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","40-49","Birmingham","140","130","43220","48080"
"In post","2021","Attorney General's Departments","40-49","Brighton and Hove","40","30","[c]","[c]"
"In post","2021","Attorney General's Departments","40-49","Bristol, City of","40","30","[c]","[c]"
"In post","2021","Attorney General's Departments","40-49","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","40-49","Camden and City of London","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","40-49","Cardiff and Vale of Glamorgan","70","60","41970","48080"
"In post","2021","Attorney General's Departments","40-49","Central Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","40-49","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","40-49","Croydon","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","40-49","Devon CC","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","40-49","East Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","40-49","East Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","40-49","East Kent","40","40","[c]","[c]"
"In post","2021","Attorney General's Departments","40-49","Flintshire and Wrexham","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","40-49","Haringey and Islington","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","40-49","Harrow and Hillingdon","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","40-49","Heart of Essex","60","50","41640","33710"
"In post","2021","Attorney General's Departments","40-49","Hertfordshire","50","40","45150","50520"
"In post","2021","Attorney General's Departments","40-49","Hounslow and Richmond upon Thames","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","40-49","Kingston upon Hull, City of","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","40-49","Leeds","100","90","45920","48830"
"In post","2021","Attorney General's Departments","40-49","Leicester","50","40","[c]","[c]"
"In post","2021","Attorney General's Departments","40-49","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","40-49","Liverpool","80","80","40540","38180"
"In post","2021","Attorney General's Departments","40-49","Manchester","140","130","43050","48080"
"In post","2021","Attorney General's Departments","40-49","Mid Lancashire","60","50","41990","42090"
"In post","2021","Attorney General's Departments","40-49","Norwich and East Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","40-49","Nottingham","70","60","40800","38660"
"In post","2021","Attorney General's Departments","40-49","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","40-49","Portsmouth","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","40-49","Redbridge and Waltham Forest","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","40-49","Sheffield","40","40","[c]","[c]"
"In post","2021","Attorney General's Departments","40-49","Shropshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","40-49","South Hampshire","60","50","48290","51120"
"In post","2021","Attorney General's Departments","40-49","South Teesside","30","30","[c]","[c]"
"In post","2021","Attorney General's Departments","40-49","Stoke-on-Trent","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","40-49","Suffolk","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","40-49","Swansea","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","40-49","Tyneside","60","60","39990","42090"
"In post","2021","Attorney General's Departments","40-49","Wakefield","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","40-49","Warrington","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","40-49","Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","40-49","West Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","40-49","West Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","40-49","West Surrey","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","40-49","Westminster","1240","1130","55050","57400"
"In post","2021","Attorney General's Departments","40-49","Wiltshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","40-49","Wolverhampton","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","40-49","Worcestershire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","40-49","York","80","80","47590","50850"
"In post","2021","Attorney General's Departments","50-59","Bath and North East Somerset, North Somerset and South Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","50-59","Berkshire","40","30","[c]","[c]"
"In post","2021","Attorney General's Departments","50-59","Bexley and Greenwich","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","50-59","Birmingham","170","160","43200","38180"
"In post","2021","Attorney General's Departments","50-59","Brighton and Hove","40","30","[c]","[c]"
"In post","2021","Attorney General's Departments","50-59","Bristol, City of","50","50","45960","49580"
"In post","2021","Attorney General's Departments","50-59","Camden and City of London","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","50-59","Cardiff and Vale of Glamorgan","80","70","41400","34480"
"In post","2021","Attorney General's Departments","50-59","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","50-59","Croydon","40","40","[c]","[c]"
"In post","2021","Attorney General's Departments","50-59","Derby","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","50-59","Devon CC","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","50-59","East Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","50-59","East Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","50-59","East Kent","40","40","[c]","[c]"
"In post","2021","Attorney General's Departments","50-59","Flintshire and Wrexham","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","50-59","Haringey and Islington","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","50-59","Harrow and Hillingdon","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","50-59","Heart of Essex","60","50","44770","36240"
"In post","2021","Attorney General's Departments","50-59","Hertfordshire","40","40","[c]","[c]"
"In post","2021","Attorney General's Departments","50-59","Hounslow and Richmond upon Thames","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","50-59","Kingston upon Hull, City of","30","30","[c]","[c]"
"In post","2021","Attorney General's Departments","50-59","Leeds","130","120","43800","40590"
"In post","2021","Attorney General's Departments","50-59","Leicester","40","40","[c]","[c]"
"In post","2021","Attorney General's Departments","50-59","Lewisham and Southwark","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","50-59","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","50-59","Liverpool","110","110","41530","38600"
"In post","2021","Attorney General's Departments","50-59","Manchester","110","100","42080","33310"
"In post","2021","Attorney General's Departments","50-59","Merton, Kingston upon Thames and Sutton","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","50-59","Mid Kent","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","50-59","Mid Lancashire","70","70","41410","34480"
"In post","2021","Attorney General's Departments","50-59","Northumberland","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","50-59","Norwich and East Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","50-59","Nottingham","80","70","43450","48080"
"In post","2021","Attorney General's Departments","50-59","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","50-59","Peterborough","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","50-59","Portsmouth","30","30","[c]","[c]"
"In post","2021","Attorney General's Departments","50-59","Redbridge and Waltham Forest","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","50-59","Sheffield","50","50","39930","33310"
"In post","2021","Attorney General's Departments","50-59","South Hampshire","40","40","[c]","[c]"
"In post","2021","Attorney General's Departments","50-59","South Teesside","30","30","[c]","[c]"
"In post","2021","Attorney General's Departments","50-59","Staffordshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","50-59","Stoke-on-Trent","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","50-59","Suffolk","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","50-59","Swansea","30","30","[c]","[c]"
"In post","2021","Attorney General's Departments","50-59","Tyneside","80","70","40750","32910"
"In post","2021","Attorney General's Departments","50-59","Wakefield","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","50-59","Warrington","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","50-59","West Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","50-59","West Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","50-59","West Surrey","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","50-59","West Sussex (North East)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","50-59","Westminster","1100","1050","56010","60710"
"In post","2021","Attorney General's Departments","50-59","Wiltshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","50-59","York","140","130","54210","55610"
"In post","2021","Attorney General's Departments","60-64","Bath and North East Somerset, North Somerset and South Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","60-64","Berkshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","60-64","Birmingham","40","30","[c]","[c]"
"In post","2021","Attorney General's Departments","60-64","Bridgend and Neath Port Talbot","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","60-64","Brighton and Hove","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","60-64","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","60-64","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","60-64","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","60-64","Croydon","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","60-64","Derby","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","60-64","Devon CC","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","60-64","East Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","60-64","East Kent","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","60-64","Flintshire and Wrexham","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","60-64","Haringey and Islington","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","60-64","Heart of Essex","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","60-64","Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","60-64","Hounslow and Richmond upon Thames","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","60-64","Kingston upon Hull, City of","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","60-64","Leeds","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","60-64","Leicester","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","60-64","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","60-64","Liverpool","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","60-64","Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","60-64","Merton, Kingston upon Thames and Sutton","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","60-64","Mid Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","60-64","Norwich and East Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","60-64","Nottingham","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","60-64","Portsmouth","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","60-64","Redbridge and Waltham Forest","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","60-64","Sheffield","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","60-64","Shropshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","60-64","South Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","60-64","South Teesside","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","60-64","Stoke-on-Trent","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","60-64","Suffolk","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","60-64","Swansea","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","60-64","Tyneside","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","60-64","Wakefield","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","60-64","Warrington","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","60-64","West Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","60-64","West Surrey","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","60-64","Westminster","220","200","53780","58970"
"In post","2021","Attorney General's Departments","60-64","Wiltshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","60-64","York","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","65+","Birmingham","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","65+","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","65+","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","65+","Croydon","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","65+","Devon CC","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","65+","East Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","65+","East Kent","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","65+","Flintshire and Wrexham","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","65+","Harrow and Hillingdon","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","65+","Heart of Essex","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","65+","Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","65+","Hounslow and Richmond upon Thames","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","65+","Kingston upon Hull, City of","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","65+","Leeds","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","65+","Lewisham and Southwark","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","65+","Liverpool","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","65+","Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","65+","Norwich and East Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","65+","Redbridge and Waltham Forest","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","65+","Sheffield","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","65+","South Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","65+","South Teesside","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","65+","Swansea","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","65+","Tyneside","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","65+","Wakefield","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","65+","West Surrey","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","65+","Westminster","70","50","46880","35000"
"In post","2021","Attorney General's Departments","65+","York","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","16-19","Milton Keynes","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","16-19","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","16-19","Westminster","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","16-19","York","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","20-29","Bath and North East Somerset, North Somerset and South Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","20-29","Birmingham","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","20-29","Blackpool","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","20-29","Bradford","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","20-29","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","20-29","Buckinghamshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","20-29","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","20-29","Camden and City of London","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","20-29","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","20-29","Central Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","20-29","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","20-29","Coventry","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","20-29","Croydon","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","20-29","Darlington","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","20-29","Devon CC","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","20-29","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","20-29","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","20-29","Greater Manchester South East","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","20-29","Greater Manchester South West","40","40","[c]","[c]"
"In post","2021","Cabinet Office","20-29","Hackney and Newham","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","20-29","Harrow and Hillingdon","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","20-29","Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","20-29","Lambeth","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","20-29","Lancaster and Wyre","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","20-29","Leeds","50","40","[c]","[c]"
