"Status","Year","Region_ITL1","Sex","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Overseas","Male","Unknown","440","440","42290","38690"
"In post","2021","Scotland","Female","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Scotland","Female","Commercial","180","170","37780","33930"
"In post","2021","Scotland","Female","Communications","110","100","33840","31810"
"In post","2021","Scotland","Female","Counter Fraud","440","390","29460","28130"
"In post","2021","Scotland","Female","Debt","820","710","22060","20140"
"In post","2021","Scotland","Female","Digital, Data & Technology","200","190","37280","33930"
"In post","2021","Scotland","Female","Finance","640","540","28340","22920"
"In post","2021","Scotland","Female","Human Resources","710","650","28870","25560"
"In post","2021","Scotland","Female","Internal Audit","40","40","[c]","[c]"
"In post","2021","Scotland","Female","Legal","1630","1470","34790","29350"
"In post","2021","Scotland","Female","No function","6000","5420","28300","25560"
"In post","2021","Scotland","Female","Project Delivery","790","740","36630","33930"
"In post","2021","Scotland","Female","Property","350","330","29470","28120"
"In post","2021","Scotland","Female","Security","220","210","29320","26670"
"In post","2021","Scotland","Female","Unknown","13490","12110","32430","27570"
"In post","2021","Scotland","Male","Analysis","40","40","[c]","[c]"
"In post","2021","Scotland","Male","Commercial","220","210","38200","34850"
"In post","2021","Scotland","Male","Communications","110","100","32170","30080"
"In post","2021","Scotland","Male","Counter Fraud","410","390","31920","31810"
"In post","2021","Scotland","Male","Debt","620","600","21630","20140"
"In post","2021","Scotland","Male","Digital, Data & Technology","480","470","38880","35230"
"In post","2021","Scotland","Male","Finance","310","290","29630","25560"
"In post","2021","Scotland","Male","Human Resources","350","340","30430","26670"
"In post","2021","Scotland","Male","Internal Audit","30","30","[c]","[c]"
"In post","2021","Scotland","Male","Legal","730","690","35330","29350"
"In post","2021","Scotland","Male","No function","6440","6100","31700","30930"
"In post","2021","Scotland","Male","Project Delivery","1000","970","36730","33930"
"In post","2021","Scotland","Male","Property","990","970","31470","28870"
"In post","2021","Scotland","Male","Security","1140","1110","30890","28890"
"In post","2021","Scotland","Male","Unknown","9110","8830","34940","28170"
"In post","2021","South East (England)","Female","Analysis","370","350","37700","37020"
"In post","2021","South East (England)","Female","Commercial","380","360","36030","33300"
"In post","2021","South East (England)","Female","Communications","170","160","33670","32560"
"In post","2021","South East (England)","Female","Counter Fraud","210","190","30170","28130"
"In post","2021","South East (England)","Female","Debt","60","40","27080","28130"
"In post","2021","South East (England)","Female","Digital, Data & Technology","340","320","36540","33300"
"In post","2021","South East (England)","Female","Finance","600","550","34880","31810"
"In post","2021","South East (England)","Female","Grants Management","90","80","27070","22430"
"In post","2021","South East (England)","Female","Human Resources","440","400","34420","30500"
"In post","2021","South East (England)","Female","Internal Audit","40","40","[c]","[c]"
"In post","2021","South East (England)","Female","Legal","600","540","41300","40000"
"In post","2021","South East (England)","Female","No function","8120","7240","29110","26470"
"In post","2021","South East (England)","Female","Project Delivery","1160","1110","36100","33300"
"In post","2021","South East (England)","Female","Property","370","350","32830","32110"
"In post","2021","South East (England)","Female","Security","330","320","29930","26670"
"In post","2021","South East (England)","Female","Unknown","8030","7160","27870","27570"
"In post","2021","South East (England)","Male","Analysis","490","480","40030","37320"
"In post","2021","South East (England)","Male","Commercial","300","290","42670","40000"
"In post","2021","South East (England)","Male","Communications","160","160","32460","29540"
"In post","2021","South East (England)","Male","Counter Fraud","240","220","32340","31810"
"In post","2021","South East (England)","Male","Debt","50","40","28500","28130"
"In post","2021","South East (England)","Male","Digital, Data & Technology","570","560","39220","36480"
"In post","2021","South East (England)","Male","Finance","410","400","38200","34400"
"In post","2021","South East (England)","Male","Grants Management","80","80","31060","26520"
"In post","2021","South East (England)","Male","Human Resources","160","150","37800","34270"
"In post","2021","South East (England)","Male","Internal Audit","30","30","[c]","[c]"
"In post","2021","South East (England)","Male","Legal","300","280","45620","50520"
"In post","2021","South East (England)","Male","No function","8140","7720","32610","31180"
"In post","2021","South East (England)","Male","Project Delivery","1130","1120","39880","39700"
"In post","2021","South East (England)","Male","Property","650","640","35750","33300"
"In post","2021","South East (England)","Male","Security","1570","1540","32240","29890"
"In post","2021","South East (England)","Male","Unknown","6190","5920","29070","27570"
"In post","2021","South East (England)","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","South East (England)","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","South East (England)","Unknown","No function","[c]","[c]","[c]","[c]"
"In post","2021","South East (England)","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","South West (England)","Female","Analysis","220","200","36420","33300"
"In post","2021","South West (England)","Female","Commercial","650","610","39670","35130"
"In post","2021","South West (England)","Female","Communications","190","170","35870","33350"
"In post","2021","South West (England)","Female","Counter Fraud","160","150","34060","31810"
"In post","2021","South West (England)","Female","Debt","[c]","[c]","[c]","[c]"
"In post","2021","South West (England)","Female","Digital, Data & Technology","750","690","37090","36500"
"In post","2021","South West (England)","Female","Finance","700","650","36900","33300"
"In post","2021","South West (England)","Female","Grants Management","120","100","25380","25190"
"In post","2021","South West (England)","Female","Human Resources","810","730","35250","32710"
"In post","2021","South West (England)","Female","Internal Audit","50","50","43530","41680"
"In post","2021","South West (England)","Female","Legal","340","310","40800","38760"
"In post","2021","South West (England)","Female","No function","6550","5910","31360","28080"
"In post","2021","South West (England)","Female","Project Delivery","4150","3900","35960","33300"
"In post","2021","South West (England)","Female","Property","640","580","30780","27000"
"In post","2021","South West (England)","Female","Security","200","200","27010","22780"
"In post","2021","South West (England)","Female","Unknown","5900","5100","27050","27570"
"In post","2021","South West (England)","Male","Analysis","240","240","37600","36000"
"In post","2021","South West (England)","Male","Commercial","710","700","44690","40900"
"In post","2021","South West (England)","Male","Communications","170","170","35990","33300"
"In post","2021","South West (England)","Male","Counter Fraud","230","220","36330","31810"
"In post","2021","South West (England)","Male","Debt","[c]","[c]","[c]","[c]"
"In post","2021","South West (England)","Male","Digital, Data & Technology","1600","1560","40050","38980"
"In post","2021","South West (England)","Male","Finance","530","520","42860","39580"
"In post","2021","South West (England)","Male","Grants Management","120","120","27950","25880"
"In post","2021","South West (England)","Male","Human Resources","290","280","38420","33630"
"In post","2021","South West (England)","Male","Internal Audit","40","40","[c]","[c]"
"In post","2021","South West (England)","Male","Legal","230","220","45590","45380"
"In post","2021","South West (England)","Male","No function","6540","6290","34700","31650"
"In post","2021","South West (England)","Male","Project Delivery","7160","7040","40320","39650"
"In post","2021","South West (England)","Male","Property","740","720","35150","33300"
"In post","2021","South West (England)","Male","Security","930","900","27450","20920"
"In post","2021","South West (England)","Male","Unknown","4220","4060","29970","27570"
"In post","2021","Unknown","Female","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Female","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Female","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Female","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Female","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Female","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Female","No function","300","300","35180","32000"
"In post","2021","Unknown","Female","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Female","Property","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Female","Security","30","30","[c]","[c]"
"In post","2021","Unknown","Female","Unknown","790","730","30930","27570"
"In post","2021","Unknown","Male","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Male","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Male","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Male","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Male","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Male","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Male","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Male","No function","300","290","37440","32000"
"In post","2021","Unknown","Male","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Male","Property","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Male","Security","40","30","[c]","[c]"
"In post","2021","Unknown","Male","Unknown","2120","2110","36650","32700"
"In post","2021","Wales","Female","Analysis","560","520","35200","33020"
"In post","2021","Wales","Female","Commercial","190","170","34080","31380"
"In post","2021","Wales","Female","Communications","490","460","29680","25560"
"In post","2021","Wales","Female","Counter Fraud","200","180","29730","26950"
"In post","2021","Wales","Female","Debt","160","150","23120","20140"
"In post","2021","Wales","Female","Digital, Data & Technology","590","560","36680","33840"
"In post","2021","Wales","Female","Finance","230","210","32080","27460"
"In post","2021","Wales","Female","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Wales","Female","Human Resources","480","450","34880","31170"
"In post","2021","Wales","Female","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Wales","Female","Legal","360","330","39420","38180"
"In post","2021","Wales","Female","No function","9050","7870","25730","21590"
"In post","2021","Wales","Female","Project Delivery","280","260","35730","31810"
"In post","2021","Wales","Female","Property","230","210","32070","29180"
"In post","2021","Wales","Female","Security","80","70","29370","27700"
"In post","2021","Wales","Female","Unknown","7750","6920","31900","27570"
"In post","2021","Wales","Male","Analysis","510","500","37520","36030"
"In post","2021","Wales","Male","Commercial","170","170","37270","32180"
"In post","2021","Wales","Male","Communications","470","460","29160","25560"
"In post","2021","Wales","Male","Counter Fraud","200","190","32840","31810"
"In post","2021","Wales","Male","Debt","170","160","23160","20140"
"In post","2021","Wales","Male","Digital, Data & Technology","1280","1260","41220","38630"
"In post","2021","Wales","Male","Finance","160","160","38470","36100"
"In post","2021","Wales","Male","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Wales","Male","Human Resources","170","170","35810","31810"
"In post","2021","Wales","Male","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Wales","Male","Legal","190","180","45890","48080"
"In post","2021","Wales","Male","No function","6300","6010","28700","25400"
"In post","2021","Wales","Male","Project Delivery","530","520","35070","30800"
"In post","2021","Wales","Male","Property","260","250","33060","30990"
"In post","2021","Wales","Male","Security","240","230","27110","25390"
"In post","2021","Wales","Male","Unknown","4730","4580","34490","27570"
"In post","2021","Wales","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Wales","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Wales","Unknown","No function","[c]","[c]","[c]","[c]"
"In post","2021","West Midlands (England)","Female","Analysis","30","30","[c]","[c]"
"In post","2021","West Midlands (England)","Female","Commercial","190","180","39080","36100"
"In post","2021","West Midlands (England)","Female","Communications","180","170","33640","31810"
"In post","2021","West Midlands (England)","Female","Counter Fraud","360","320","30740","28130"
"In post","2021","West Midlands (England)","Female","Debt","260","230","23060","20140"
"In post","2021","West Midlands (England)","Female","Digital, Data & Technology","420","400","39530","36780"
"In post","2021","West Midlands (England)","Female","Finance","280","270","38940","36780"
"In post","2021","West Midlands (England)","Female","Grants Management","80","70","24840","24920"
"In post","2021","West Midlands (England)","Female","Human Resources","230","220","38070","33530"
"In post","2021","West Midlands (England)","Female","Internal Audit","40","30","[c]","[c]"
"In post","2021","West Midlands (England)","Female","Legal","530","490","39100","38000"
"In post","2021","West Midlands (England)","Female","No function","7690","7030","28910","24920"
"In post","2021","West Midlands (England)","Female","Project Delivery","500","480","36860","33300"
"In post","2021","West Midlands (England)","Female","Property","260","230","32910","31100"
"In post","2021","West Midlands (England)","Female","Security","90","90","31710","28890"
"In post","2021","West Midlands (England)","Female","Unknown","6350","5450","26380","27570"
"In post","2021","West Midlands (England)","Male","Analysis","30","30","[c]","[c]"
"In post","2021","West Midlands (England)","Male","Commercial","160","160","41780","36970"
"In post","2021","West Midlands (England)","Male","Communications","170","170","32080","31810"
"In post","2021","West Midlands (England)","Male","Counter Fraud","370","350","33550","31810"
"In post","2021","West Midlands (England)","Male","Debt","170","170","21810","20140"
"In post","2021","West Midlands (England)","Male","Digital, Data & Technology","560","550","41410","38630"
"In post","2021","West Midlands (England)","Male","Finance","190","180","40480","37310"
"In post","2021","West Midlands (England)","Male","Grants Management","60","60","25550","24920"
"In post","2021","West Midlands (England)","Male","Human Resources","120","110","39430","35390"
"In post","2021","West Midlands (England)","Male","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","West Midlands (England)","Male","Legal","270","260","42730","39420"
"In post","2021","West Midlands (England)","Male","No function","6140","5950","31080","27380"
"In post","2021","West Midlands (England)","Male","Project Delivery","530","510","37300","33300"
"In post","2021","West Midlands (England)","Male","Property","290","280","36750","33300"
"In post","2021","West Midlands (England)","Male","Security","280","270","29990","26670"
"In post","2021","West Midlands (England)","Male","Unknown","3660","3510","27370","27570"
"In post","2021","Yorkshire and The Humber","Female","Analysis","180","160","39910","39110"
