"Status","Year","Function_of_post","Region_ITL1","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Yorkshire and The Humber","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Yorkshire and The Humber","Unknown","180","180","50970","49700"
"In post","2021","Communications","East Midlands (England)","Declared disabled","50","40","[c]","[c]"
"In post","2021","Communications","East Midlands (England)","Declared non-disabled","250","240","31290","26930"
"In post","2021","Communications","East Midlands (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","East Midlands (England)","Unknown","200","190","27750","25560"
"In post","2021","Communications","East of England","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","East of England","Declared non-disabled","60","60","34510","31630"
"In post","2021","Communications","East of England","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","London","Declared disabled","120","120","40340","37380"
"In post","2021","Communications","London","Declared non-disabled","1450","1420","45590","41300"
"In post","2021","Communications","London","Undeclared","120","120","45930","42470"
"In post","2021","Communications","London","Unknown","760","740","43760","40240"
"In post","2021","Communications","North East (England)","Declared disabled","120","100","26250","25560"
"In post","2021","Communications","North East (England)","Declared non-disabled","920","870","28750","25560"
"In post","2021","Communications","North East (England)","Undeclared","70","70","26760","25560"
"In post","2021","Communications","North East (England)","Unknown","440","420","27060","25560"
"In post","2021","Communications","North West (England)","Declared disabled","40","40","[c]","[c]"
"In post","2021","Communications","North West (England)","Declared non-disabled","400","380","31850","30440"
"In post","2021","Communications","North West (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","North West (England)","Unknown","250","250","29190","25560"
"In post","2021","Communications","Northern Ireland","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Northern Ireland","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Northern Ireland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Overseas","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Overseas","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Scotland","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Scotland","Declared non-disabled","150","140","33280","31810"
"In post","2021","Communications","Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Scotland","Unknown","30","30","[c]","[c]"
"In post","2021","Communications","South East (England)","Declared disabled","30","30","[c]","[c]"
"In post","2021","Communications","South East (England)","Declared non-disabled","200","190","33750","33300"
"In post","2021","Communications","South East (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","South East (England)","Unknown","70","70","31710","29180"
"In post","2021","Communications","South West (England)","Declared disabled","30","30","[c]","[c]"
"In post","2021","Communications","South West (England)","Declared non-disabled","260","240","35760","33300"
"In post","2021","Communications","South West (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","South West (England)","Unknown","50","50","[c]","[c]"
"In post","2021","Communications","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Wales","Declared disabled","70","60","29550","25560"
"In post","2021","Communications","Wales","Declared non-disabled","550","530","29920","25560"
"In post","2021","Communications","Wales","Undeclared","30","30","[c]","[c]"
"In post","2021","Communications","Wales","Unknown","310","300","28380","25560"
"In post","2021","Communications","West Midlands (England)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Communications","West Midlands (England)","Declared non-disabled","180","180","34510","31810"
"In post","2021","Communications","West Midlands (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","West Midlands (England)","Unknown","130","130","30520","25560"
"In post","2021","Communications","Yorkshire and The Humber","Declared disabled","40","40","[c]","[c]"
"In post","2021","Communications","Yorkshire and The Humber","Declared non-disabled","280","270","31390","26830"
"In post","2021","Communications","Yorkshire and The Humber","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Yorkshire and The Humber","Unknown","310","300","29530","25560"
"In post","2021","Counter Fraud","East Midlands (England)","Declared disabled","40","40","[c]","[c]"
"In post","2021","Counter Fraud","East Midlands (England)","Declared non-disabled","340","320","34780","31810"
"In post","2021","Counter Fraud","East Midlands (England)","Undeclared","30","30","[c]","[c]"
"In post","2021","Counter Fraud","East Midlands (England)","Unknown","130","120","30770","28130"
"In post","2021","Counter Fraud","East of England","Declared disabled","40","40","[c]","[c]"
"In post","2021","Counter Fraud","East of England","Declared non-disabled","250","230","29150","25560"
"In post","2021","Counter Fraud","East of England","Undeclared","40","40","[c]","[c]"
"In post","2021","Counter Fraud","East of England","Unknown","110","110","26360","25560"
"In post","2021","Counter Fraud","London","Declared disabled","160","150","38430","36160"
"In post","2021","Counter Fraud","London","Declared non-disabled","1420","1380","40010","36160"
"In post","2021","Counter Fraud","London","Undeclared","160","150","40960","36160"
"In post","2021","Counter Fraud","London","Unknown","570","550","37020","36160"
"In post","2021","Counter Fraud","North East (England)","Declared disabled","60","50","32340","31810"
"In post","2021","Counter Fraud","North East (England)","Declared non-disabled","330","310","32470","31810"
"In post","2021","Counter Fraud","North East (England)","Undeclared","30","30","[c]","[c]"
"In post","2021","Counter Fraud","North East (England)","Unknown","120","110","29630","25560"
"In post","2021","Counter Fraud","North West (England)","Declared disabled","150","140","33530","31810"
"In post","2021","Counter Fraud","North West (England)","Declared non-disabled","1020","950","34110","31810"
"In post","2021","Counter Fraud","North West (England)","Undeclared","110","100","34790","31810"
"In post","2021","Counter Fraud","North West (England)","Unknown","410","390","29640","25560"
"In post","2021","Counter Fraud","Northern Ireland","Declared disabled","40","30","[c]","[c]"
"In post","2021","Counter Fraud","Northern Ireland","Declared non-disabled","240","230","32140","31810"
"In post","2021","Counter Fraud","Northern Ireland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Northern Ireland","Unknown","90","90","29840","25870"
"In post","2021","Counter Fraud","Scotland","Declared disabled","80","70","31090","28130"
"In post","2021","Counter Fraud","Scotland","Declared non-disabled","540","500","31120","28130"
"In post","2021","Counter Fraud","Scotland","Undeclared","30","30","[c]","[c]"
"In post","2021","Counter Fraud","Scotland","Unknown","200","180","28950","27230"
"In post","2021","Counter Fraud","South East (England)","Declared disabled","40","40","[c]","[c]"
"In post","2021","Counter Fraud","South East (England)","Declared non-disabled","250","240","31130","29570"
"In post","2021","Counter Fraud","South East (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","South East (England)","Unknown","120","110","30740","28130"
"In post","2021","Counter Fraud","South West (England)","Declared disabled","40","30","[c]","[c]"
"In post","2021","Counter Fraud","South West (England)","Declared non-disabled","240","230","35300","31810"
"In post","2021","Counter Fraud","South West (England)","Undeclared","40","30","[c]","[c]"
"In post","2021","Counter Fraud","South West (England)","Unknown","80","80","32570","28130"
"In post","2021","Counter Fraud","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Wales","Declared disabled","40","40","[c]","[c]"
"In post","2021","Counter Fraud","Wales","Declared non-disabled","260","240","31640","31810"
"In post","2021","Counter Fraud","Wales","Undeclared","40","40","[c]","[c]"
"In post","2021","Counter Fraud","Wales","Unknown","70","60","30230","31810"
"In post","2021","Counter Fraud","West Midlands (England)","Declared disabled","70","60","31090","31810"
"In post","2021","Counter Fraud","West Midlands (England)","Declared non-disabled","450","420","32550","31810"
"In post","2021","Counter Fraud","West Midlands (England)","Undeclared","50","50","34890","31810"
"In post","2021","Counter Fraud","West Midlands (England)","Unknown","160","150","30620","28130"
"In post","2021","Counter Fraud","Yorkshire and The Humber","Declared disabled","70","60","30030","25630"
"In post","2021","Counter Fraud","Yorkshire and The Humber","Declared non-disabled","580","540","33200","31810"
"In post","2021","Counter Fraud","Yorkshire and The Humber","Undeclared","60","50","34470","31960"
"In post","2021","Counter Fraud","Yorkshire and The Humber","Unknown","170","160","30000","25560"
"In post","2021","Debt","East Midlands (England)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Debt","East Midlands (England)","Declared non-disabled","110","90","22830","20140"
"In post","2021","Debt","East Midlands (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Debt","East Midlands (England)","Unknown","130","120","20660","20140"
"In post","2021","Debt","East of England","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Debt","East of England","Declared non-disabled","90","80","25160","25560"
"In post","2021","Debt","East of England","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Debt","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Debt","London","Declared disabled","50","40","[c]","[c]"
"In post","2021","Debt","London","Declared non-disabled","300","270","27890","25630"
"In post","2021","Debt","London","Undeclared","30","30","[c]","[c]"
"In post","2021","Debt","London","Unknown","180","160","28950","25230"
"In post","2021","Debt","North East (England)","Declared disabled","40","30","[c]","[c]"
"In post","2021","Debt","North East (England)","Declared non-disabled","240","220","22480","20140"
"In post","2021","Debt","North East (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Debt","North East (England)","Unknown","300","280","20780","20140"
"In post","2021","Debt","North West (England)","Declared disabled","30","30","[c]","[c]"
"In post","2021","Debt","North West (England)","Declared non-disabled","210","190","24320","21440"
"In post","2021","Debt","North West (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Debt","North West (England)","Unknown","90","80","22200","20140"
"In post","2021","Debt","Northern Ireland","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Northern Ireland","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Northern Ireland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Scotland","Declared disabled","130","110","22090","20650"
"In post","2021","Debt","Scotland","Declared non-disabled","690","610","22440","20140"
"In post","2021","Debt","Scotland","Undeclared","50","50","22770","20640"
"In post","2021","Debt","Scotland","Unknown","570","540","21060","20140"
"In post","2021","Debt","South East (England)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Debt","South East (England)","Declared non-disabled","70","60","28390","28130"
"In post","2021","Debt","South East (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Debt","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Debt","South West (England)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Debt","South West (England)","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Debt","South West (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Debt","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Wales","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Wales","Declared non-disabled","170","160","24390","21440"
"In post","2021","Debt","Wales","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Wales","Unknown","120","110","21730","20140"
"In post","2021","Debt","West Midlands (England)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Debt","West Midlands (England)","Declared non-disabled","210","190","23730","21440"
"In post","2021","Debt","West Midlands (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Debt","West Midlands (England)","Unknown","180","170","21220","20140"
"In post","2021","Debt","Yorkshire and The Humber","Declared disabled","40","40","[c]","[c]"
"In post","2021","Debt","Yorkshire and The Humber","Declared non-disabled","200","180","25110","21440"
"In post","2021","Debt","Yorkshire and The Humber","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Yorkshire and The Humber","Unknown","170","160","21510","20140"
"In post","2021","Digital, Data & Technology","East Midlands (England)","Declared disabled","40","30","[c]","[c]"
"In post","2021","Digital, Data & Technology","East Midlands (England)","Declared non-disabled","160","160","39050","35900"
"In post","2021","Digital, Data & Technology","East Midlands (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","East Midlands (England)","Unknown","90","90","35460","31860"
"In post","2021","Digital, Data & Technology","East of England","Declared disabled","50","50","[c]","[c]"
"In post","2021","Digital, Data & Technology","East of England","Declared non-disabled","330","310","36550","33430"
"In post","2021","Digital, Data & Technology","East of England","Undeclared","30","30","[c]","[c]"
"In post","2021","Digital, Data & Technology","East of England","Unknown","140","130","36500","33150"
"In post","2021","Digital, Data & Technology","London","Declared disabled","280","280","45860","41760"
"In post","2021","Digital, Data & Technology","London","Declared non-disabled","2110","2070","50110","51730"
"In post","2021","Digital, Data & Technology","London","Undeclared","150","150","48200","45020"
"In post","2021","Digital, Data & Technology","London","Unknown","850","840","48180","43770"
"In post","2021","Digital, Data & Technology","North East (England)","Declared disabled","50","50","38150","36950"
"In post","2021","Digital, Data & Technology","North East (England)","Declared non-disabled","470","450","39640","38310"
"In post","2021","Digital, Data & Technology","North East (England)","Undeclared","50","40","[c]","[c]"
"In post","2021","Digital, Data & Technology","North East (England)","Unknown","210","200","37400","32630"
"In post","2021","Digital, Data & Technology","North West (England)","Declared disabled","70","70","36900","33300"
"In post","2021","Digital, Data & Technology","North West (England)","Declared non-disabled","530","510","38940","35900"
"In post","2021","Digital, Data & Technology","North West (England)","Undeclared","50","40","[c]","[c]"
"In post","2021","Digital, Data & Technology","North West (England)","Unknown","240","230","38660","36740"
"In post","2021","Digital, Data & Technology","Northern Ireland","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Northern Ireland","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Overseas","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Overseas","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Scotland","Declared disabled","60","50","36510","33930"
"In post","2021","Digital, Data & Technology","Scotland","Declared non-disabled","340","340","39110","35070"
"In post","2021","Digital, Data & Technology","Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Scotland","Unknown","250","250","37950","34770"
"In post","2021","Digital, Data & Technology","South East (England)","Declared disabled","90","80","35620","33300"
"In post","2021","Digital, Data & Technology","South East (England)","Declared non-disabled","540","530","39130","36400"
"In post","2021","Digital, Data & Technology","South East (England)","Undeclared","50","50","35550","32550"
"In post","2021","Digital, Data & Technology","South East (England)","Unknown","230","220","37560","34960"
"In post","2021","Digital, Data & Technology","South West (England)","Declared disabled","190","180","37150","34880"
"In post","2021","Digital, Data & Technology","South West (England)","Declared non-disabled","1690","1620","40070","39650"
"In post","2021","Digital, Data & Technology","South West (England)","Undeclared","100","90","39300","38450"
"In post","2021","Digital, Data & Technology","South West (England)","Unknown","370","360","35680","33290"
"In post","2021","Digital, Data & Technology","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Wales","Declared disabled","110","100","39850","36680"
"In post","2021","Digital, Data & Technology","Wales","Declared non-disabled","1140","1110","40200","38000"
"In post","2021","Digital, Data & Technology","Wales","Undeclared","120","110","41770","40490"
"In post","2021","Digital, Data & Technology","Wales","Unknown","510","500","38300","36030"
"In post","2021","Digital, Data & Technology","West Midlands (England)","Declared disabled","90","80","37780","35000"
"In post","2021","Digital, Data & Technology","West Midlands (England)","Declared non-disabled","630","610","41010","38630"
"In post","2021","Digital, Data & Technology","West Midlands (England)","Undeclared","40","40","[c]","[c]"
"In post","2021","Digital, Data & Technology","West Midlands (England)","Unknown","230","220","40640","37590"
"In post","2021","Digital, Data & Technology","Yorkshire and The Humber","Declared disabled","70","70","35690","31810"
"In post","2021","Digital, Data & Technology","Yorkshire and The Humber","Declared non-disabled","540","530","39940","36500"
"In post","2021","Digital, Data & Technology","Yorkshire and The Humber","Undeclared","50","50","[c]","[c]"
"In post","2021","Digital, Data & Technology","Yorkshire and The Humber","Unknown","190","190","39010","36740"
"In post","2021","Finance","East Midlands (England)","Declared disabled","30","30","[c]","[c]"
"In post","2021","Finance","East Midlands (England)","Declared non-disabled","160","150","36680","31810"
"In post","2021","Finance","East Midlands (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Finance","East Midlands (England)","Unknown","30","30","[c]","[c]"
"In post","2021","Finance","East of England","Declared disabled","40","40","[c]","[c]"
"In post","2021","Finance","East of England","Declared non-disabled","330","310","36320","33000"
"In post","2021","Finance","East of England","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Finance","East of England","Unknown","90","80","30000","25560"
"In post","2021","Finance","London","Declared disabled","190","180","48840","44200"
"In post","2021","Finance","London","Declared non-disabled","1730","1680","49570","45200"
"In post","2021","Finance","London","Undeclared","150","150","49060","46780"
"In post","2021","Finance","London","Unknown","490","480","45720","40650"
"In post","2021","Finance","North East (England)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Finance","North East (England)","Declared non-disabled","290","280","37670","36960"
"In post","2021","Finance","North East (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Finance","North East (England)","Unknown","80","80","35680","31810"
"In post","2021","Finance","North West (England)","Declared disabled","70","70","35540","31810"
"In post","2021","Finance","North West (England)","Declared non-disabled","440","420","39040","36180"
"In post","2021","Finance","North West (England)","Undeclared","50","50","35250","31810"
"In post","2021","Finance","North West (England)","Unknown","110","110","34140","31810"
"In post","2021","Finance","Northern Ireland","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Northern Ireland","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Northern Ireland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Overseas","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Overseas","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Scotland","Declared disabled","90","70","27670","21580"
"In post","2021","Finance","Scotland","Declared non-disabled","560","490","29240","25560"
"In post","2021","Finance","Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Scotland","Unknown","280","250","28420","21490"
"In post","2021","Finance","South East (England)","Declared disabled","90","80","34460","32950"
"In post","2021","Finance","South East (England)","Declared non-disabled","730","690","36290","33000"
"In post","2021","Finance","South East (England)","Undeclared","70","60","36400","33300"
"In post","2021","Finance","South East (England)","Unknown","130","120","37110","33300"
"In post","2021","Finance","South West (England)","Declared disabled","130","120","36670","33300"
