"Status","Year","Profession_of_post","Function_of_post","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Communications","Unknown","Home Office","180","170","48630","43880"
"In post","2021","Communications","Unknown","Welsh Government","160","150","39140","37410"
"In post","2021","Corporate Finance","Analysis","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Commercial","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Communications","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Finance","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Finance","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Finance","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Finance","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Finance","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Finance","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Finance","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Finance","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Finance","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Finance","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Finance","Ministry of Defence","50","50","[c]","[c]"
"In post","2021","Corporate Finance","Finance","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Finance","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Finance","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","No function","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","No function","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Project Delivery","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Counter Fraud","Attorney General's Departments","250","240","45590","40000"
"In post","2021","Counter Fraud","Counter Fraud","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Counter Fraud","Department for Business, Energy and Industrial Strategy","260","250","39330","39170"
"In post","2021","Counter Fraud","Counter Fraud","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Counter Fraud","Department for Transport","60","60","30410","26780"
"In post","2021","Counter Fraud","Counter Fraud","Food Standards Agency","60","60","38850","37630"
"In post","2021","Counter Fraud","Counter Fraud","HM Treasury","40","30","[c]","[c]"
