"Status","Year","Profession_of_post","Responsibility_level","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Internal Audit","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","G6/G7","Female","80","80","58830","56150"
"In post","2021","Internal Audit","G6/G7","Male","110","110","58980","58470"
"In post","2021","Internal Audit","SCS","Female","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","SCS","Male","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","SEO/HEO","Female","260","240","40010","39980"
"In post","2021","Internal Audit","SEO/HEO","Male","220","220","41090","40580"
"In post","2021","Internal Audit","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","EO","Female","50","50","[c]","[c]"
"In post","2021","International Trade","EO","Male","50","50","26910","26510"
"In post","2021","International Trade","G6/G7","Female","260","250","54720","51970"
"In post","2021","International Trade","G6/G7","Male","340","340","56290","54600"
"In post","2021","International Trade","SCS","Female","50","50","79670","74540"
"In post","2021","International Trade","SCS","Male","60","60","90530","76810"
"In post","2021","International Trade","SEO/HEO","Female","290","290","35220","34760"
"In post","2021","International Trade","SEO/HEO","Male","370","370","35590","34990"
"In post","2021","Knowledge and Information Management","AA/AO","Female","200","190","22130","21580"
"In post","2021","Knowledge and Information Management","AA/AO","Male","130","130","22070","21130"
"In post","2021","Knowledge and Information Management","EO","Female","320","290","26840","26670"
"In post","2021","Knowledge and Information Management","EO","Male","190","190","27140","26670"
"In post","2021","Knowledge and Information Management","G6/G7","Female","220","200","56700","54540"
"In post","2021","Knowledge and Information Management","G6/G7","Male","190","190","58340","56720"
"In post","2021","Knowledge and Information Management","SCS","Female","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","SCS","Male","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","SEO/HEO","Female","530","490","36340","36330"
"In post","2021","Knowledge and Information Management","SEO/HEO","Male","530","530","37340","37320"
"In post","2021","Knowledge and Information Management","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Unknown","Male","40","40","[c]","[c]"
"In post","2021","Legal","AA/AO","Female","170","150","21340","21440"
"In post","2021","Legal","AA/AO","Male","130","130","21720","21030"
"In post","2021","Legal","EO","Female","980","920","27400","26060"
"In post","2021","Legal","EO","Male","960","950","27400","25560"
"In post","2021","Legal","G6/G7","Female","3660","3290","58870","57330"
"In post","2021","Legal","G6/G7","Male","2270","2190","60310","59160"
"In post","2021","Legal","SCS","Female","210","200","86910","82500"
"In post","2021","Legal","SCS","Male","180","170","90200","83830"
"In post","2021","Legal","SEO/HEO","Female","2010","1840","38830","38000"
"In post","2021","Legal","SEO/HEO","Male","1570","1520","37780","36240"
"In post","2021","Legal","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Medicine","AA/AO","Female","320","300","22170","22640"
"In post","2021","Medicine","AA/AO","Male","30","30","[c]","[c]"
"In post","2021","Medicine","EO","Female","240","210","30900","30620"
"In post","2021","Medicine","EO","Male","90","90","29660","30620"
"In post","2021","Medicine","G6/G7","Female","390","330","72620","74070"
"In post","2021","Medicine","G6/G7","Male","280","250","76690","78980"
"In post","2021","Medicine","SCS","Female","260","220","105080","98890"
"In post","2021","Medicine","SCS","Male","170","150","109440","106750"
"In post","2021","Medicine","SEO/HEO","Female","540","480","38460","37890"
"In post","2021","Medicine","SEO/HEO","Male","190","190","39200","38490"
"In post","2021","Medicine","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Medicine","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","AA/AO","Female","44890","38440","22040","21430"
"In post","2021","Operational Delivery","AA/AO","Male","36050","34240","24100","22080"
"In post","2021","Operational Delivery","EO","Female","23190","20940","27120","26570"
"In post","2021","Operational Delivery","EO","Male","21900","20890","28430","27370"
"In post","2021","Operational Delivery","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","G6/G7","Female","3310","3190","57250","54440"
"In post","2021","Operational Delivery","G6/G7","Male","3230","3170","60320","57740"
"In post","2021","Operational Delivery","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","SCS","Female","290","280","91300","82500"
"In post","2021","Operational Delivery","SCS","Male","360","360","94350","90530"
"In post","2021","Operational Delivery","SEO/HEO","Female","15790","14830","35770","34510"
"In post","2021","Operational Delivery","SEO/HEO","Male","14880","14370","37970","36720"
"In post","2021","Operational Delivery","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Unknown","Female","9420","8610","29650","28200"
"In post","2021","Operational Delivery","Unknown","Male","2780","2680","30840","30210"
"In post","2021","Operational Research","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","EO","Male","40","40","[c]","[c]"
"In post","2021","Operational Research","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","G6/G7","Female","170","150","54780","54540"
"In post","2021","Operational Research","G6/G7","Male","340","330","54110","53550"
"In post","2021","Operational Research","SCS","Female","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","SCS","Male","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","SEO/HEO","Female","220","210","36130","37020"
"In post","2021","Operational Research","SEO/HEO","Male","340","340","37200","37320"
"In post","2021","Operational Research","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Other","AA/AO","Female","4620","4300","21330","21130"
"In post","2021","Other","AA/AO","Male","3230","3150","21150","20720"
"In post","2021","Other","EO","Female","2340","2200","26230","26670"
"In post","2021","Other","EO","Male","2810","2710","26550","26670"
"In post","2021","Other","G6/G7","Female","850","810","59930","57680"
"In post","2021","Other","G6/G7","Male","1100","1080","63040","59970"
"In post","2021","Other","SCS","Female","130","120","89200","83510"
"In post","2021","Other","SCS","Male","140","140","98840","90100"
"In post","2021","Other","SEO/HEO","Female","2610","2480","35860","35190"
"In post","2021","Other","SEO/HEO","Male","2780","2720","36340","35720"
"In post","2021","Other","Unknown","Female","210","210","34760","33570"
"In post","2021","Other","Unknown","Male","1850","1850","38680","35380"
"In post","2021","Planning","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Planning","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Planning","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Planning","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Planning","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Planning","G6/G7","Male","40","30","[c]","[c]"
"In post","2021","Planning","SCS","Female","[c]","[c]","[c]","[c]"
"In post","2021","Planning","SCS","Male","[c]","[c]","[c]","[c]"
"In post","2021","Planning","SEO/HEO","Female","50","40","38800","39800"
"In post","2021","Planning","SEO/HEO","Male","50","50","38580","38660"
"In post","2021","Planning Inspectors","G6/G7","Female","130","110","57420","58810"
"In post","2021","Planning Inspectors","G6/G7","Male","220","190","57960","58810"
"In post","2021","Planning Inspectors","SCS","Female","[c]","[c]","[c]","[c]"
"In post","2021","Planning Inspectors","SCS","Male","[c]","[c]","[c]","[c]"
"In post","2021","Policy","AA/AO","Female","520","490","23310","23350"
"In post","2021","Policy","AA/AO","Male","270","270","23730","23830"
"In post","2021","Policy","EO","Female","1630","1570","28320","28410"
"In post","2021","Policy","EO","Male","1050","1040","28270","28500"
"In post","2021","Policy","G6/G7","Female","5740","5490","58070","56620"
"In post","2021","Policy","G6/G7","Male","5630","5570","58890","57460"
"In post","2021","Policy","SCS","Female","880","830","83510","76700"
"In post","2021","Policy","SCS","Male","960","950","87550","78460"
"In post","2021","Policy","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Policy","SEO/HEO","Female","6930","6680","36990","36660"
"In post","2021","Policy","SEO/HEO","Male","5440","5380","37450","36800"
"In post","2021","Policy","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Policy","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","AA/AO","Female","230","210","21650","21130"
"In post","2021","Project Delivery","AA/AO","Male","90","90","21970","21440"
"In post","2021","Project Delivery","EO","Female","1200","1130","26530","26670"
"In post","2021","Project Delivery","EO","Male","710","690","26550","26670"
"In post","2021","Project Delivery","G6/G7","Female","1960","1890","56310","54540"
"In post","2021","Project Delivery","G6/G7","Male","2380","2350","57360","55120"
"In post","2021","Project Delivery","SCS","Female","190","180","88080","84130"
"In post","2021","Project Delivery","SCS","Male","240","240","95060","86700"
"In post","2021","Project Delivery","SEO/HEO","Female","4320","4120","36370","36070"
"In post","2021","Project Delivery","SEO/HEO","Male","4160","4090","37410","38080"
"In post","2021","Project Delivery","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Unknown","Female","170","160","38410","36480"
"In post","2021","Project Delivery","Unknown","Male","380","380","45260","41920"
"In post","2021","Property","AA/AO","Female","440","400","20210","20920"
"In post","2021","Property","AA/AO","Male","580","560","19240","18760"
"In post","2021","Property","EO","Female","740","660","27040","26500"
"In post","2021","Property","EO","Male","770","750","27010","26670"
"In post","2021","Property","G6/G7","Female","370","360","56840","54990"
"In post","2021","Property","G6/G7","Male","790","770","58710","57130"
"In post","2021","Property","SCS","Female","[c]","[c]","[c]","[c]"
"In post","2021","Property","SCS","Male","40","40","[c]","[c]"
"In post","2021","Property","SEO/HEO","Female","1190","1120","36470","35000"
"In post","2021","Property","SEO/HEO","Male","1980","1920","37610","36460"
"In post","2021","Property","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Property","Unknown","Male","30","30","[c]","[c]"
"In post","2021","Psychology","AA/AO","Female","70","60","21300","21300"
"In post","2021","Psychology","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Psychology","EO","Female","360","350","26920","26330"
"In post","2021","Psychology","EO","Male","70","60","26730","26850"
"In post","2021","Psychology","G6/G7","Female","90","90","63910","65520"
"In post","2021","Psychology","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Psychology","SEO/HEO","Female","720","690","37380","32350"
"In post","2021","Psychology","SEO/HEO","Male","80","80","36990","33710"
"In post","2021","Psychology","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Psychology","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","AA/AO","Female","510","470","22130","21570"
"In post","2021","Science and Engineering","AA/AO","Male","890","870","21490","21930"
"In post","2021","Science and Engineering","EO","Female","610","570","26150","26560"
"In post","2021","Science and Engineering","EO","Male","1400","1370","25750","26370"
"In post","2021","Science and Engineering","G6/G7","Female","1010","930","55940","53830"
"In post","2021","Science and Engineering","G6/G7","Male","2120","2050","55510","54890"
"In post","2021","Science and Engineering","SCS","Female","40","30","[c]","[c]"
"In post","2021","Science and Engineering","SCS","Male","90","80","96770","92370"
"In post","2021","Science and Engineering","SEO/HEO","Female","2240","2060","36320","37080"
"In post","2021","Science and Engineering","SEO/HEO","Male","4370","4270","37420","37320"
"In post","2021","Science and Engineering","Unknown","Female","80","80","38580","33740"
"In post","2021","Science and Engineering","Unknown","Male","730","720","39420","37190"
"In post","2021","Security","AA/AO","Female","800","770","24970","21130"
"In post","2021","Security","AA/AO","Male","4620","4540","27170","22650"
"In post","2021","Security","EO","Female","310","290","29390","27070"
"In post","2021","Security","EO","Male","790","780","34170","31980"
"In post","2021","Security","G6/G7","Female","110","100","59360","56800"
"In post","2021","Security","G6/G7","Male","240","230","59820","57460"
"In post","2021","Security","SCS","Female","[c]","[c]","[c]","[c]"
"In post","2021","Security","SCS","Male","[c]","[c]","[c]","[c]"
"In post","2021","Security","SEO/HEO","Female","470","460","38570","37320"
"In post","2021","Security","SEO/HEO","Male","880","870","41520","38630"
"In post","2021","Security","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Security","Unknown","Female","50","40","[c]","[c]"
"In post","2021","Security","Unknown","Male","40","40","[c]","[c]"
"In post","2021","Social Research","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","EO","Female","30","30","[c]","[c]"
"In post","2021","Social Research","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","G6/G7","Female","210","190","56350","57430"
"In post","2021","Social Research","G6/G7","Male","110","110","56350","56190"
"In post","2021","Social Research","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","SCS","Female","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","SCS","Male","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","SEO/HEO","Female","550","520","37960","37020"
"In post","2021","Social Research","SEO/HEO","Male","230","220","36090","36770"
"In post","2021","Social Research","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","EO","Female","110","100","27640","27850"
"In post","2021","Statistics","EO","Male","140","130","27970","28270"
"In post","2021","Statistics","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","G6/G7","Female","310","280","56420","56200"
"In post","2021","Statistics","G6/G7","Male","350","350","57680","57850"
"In post","2021","Statistics","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","SCS","Female","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","SCS","Male","[c]","[c]","[c]","[c]"
"In post","2021","Statistics","SEO/HEO","Female","490","460","36670","37020"
"In post","2021","Statistics","SEO/HEO","Male","530","520","36980","36820"
"In post","2021","Statistics","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Tax","AA/AO","Female","2010","1850","20290","20140"
"In post","2021","Tax","AA/AO","Male","1780","1720","20230","20140"
"In post","2021","Tax","EO","Female","2020","1810","26690","25560"
"In post","2021","Tax","EO","Male","2040","1960","26420","25560"
"In post","2021","Tax","G6/G7","Female","1010","960","56330","52580"
"In post","2021","Tax","G6/G7","Male","1700","1640","57270","52580"
"In post","2021","Tax","SCS","Female","50","40","[c]","[c]"
"In post","2021","Tax","SCS","Male","40","40","[c]","[c]"
"In post","2021","Tax","SEO/HEO","Female","3340","3120","34440","31870"
"In post","2021","Tax","SEO/HEO","Male","3810","3660","34720","31940"
"In post","2021","Unknown","AA/AO","Female","22160","18220","21230","21010"
"In post","2021","Unknown","AA/AO","Male","12190","11640","21430","21010"
"In post","2021","Unknown","EO","Female","34670","30560","28050","27570"
"In post","2021","Unknown","EO","Male","18560","17890","28110","27570"
"In post","2021","Unknown","G6/G7","Female","4920","4690","59110","56640"
"In post","2021","Unknown","G6/G7","Male","4720","4640","60100","58850"
"In post","2021","Unknown","SCS","Female","740","710","87950","79930"
"In post","2021","Unknown","SCS","Male","920","910","94200","83230"
"In post","2021","Unknown","SEO/HEO","Female","12260","11580","35280","34290"
"In post","2021","Unknown","SEO/HEO","Male","9270","9070","36090","35110"
"In post","2021","Unknown","Unknown","Female","110","100","[c]","[c]"
"In post","2021","Unknown","Unknown","Male","150","140","[c]","[c]"
"In post","2021","Veterinarian","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Veterinarian","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Veterinarian","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Veterinarian","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Veterinarian","G6/G7","Female","80","70","54390","54150"
"In post","2021","Veterinarian","G6/G7","Male","80","70","57380","56760"
"In post","2021","Veterinarian","SCS","Female","[c]","[c]","[c]","[c]"
"In post","2021","Veterinarian","SCS","Male","[c]","[c]","[c]","[c]"
"In post","2021","Veterinarian","SEO/HEO","Female","170","160","40310","37530"
"In post","2021","Veterinarian","SEO/HEO","Male","120","110","40980","37910"
"In post","2022","Commercial","AA/AO","Female","170","150","22420","21640"
"In post","2022","Commercial","AA/AO","Male","150","140","22720","21640"
"In post","2022","Commercial","EO","Female","560","520","26440","26350"
"In post","2022","Commercial","EO","Male","340","340","26520","26520"
"In post","2022","Commercial","G6/G7","Female","590","570","56840","54110"
"In post","2022","Commercial","G6/G7","Male","640","630","59030","56240"
"In post","2022","Commercial","SCS","Female","50","40","[c]","[c]"
"In post","2022","Commercial","SCS","Male","60","60","87180","81040"
"In post","2022","Commercial","SEO/HEO","Female","1940","1840","36770","36650"
"In post","2022","Commercial","SEO/HEO","Male","1510","1490","37610","37400"
"In post","2022","Commercial","Unknown","Female","100","90","37610","37400"
"In post","2022","Commercial","Unknown","Male","100","100","42150","39860"
"In post","2022","Communications","AA/AO","Female","120","110","22280","21790"
"In post","2022","Communications","AA/AO","Male","90","90","22350","21830"
"In post","2022","Communications","EO","Female","350","330","27670","27270"
"In post","2022","Communications","EO","Male","250","250","27830","27350"
"In post","2022","Communications","G6/G7","Female","660","630","58280","56710"
"In post","2022","Communications","G6/G7","Male","430","420","59100","57460"
"In post","2022","Communications","SCS","Female","60","60","87050","81850"
"In post","2022","Communications","SCS","Male","50","50","90930","85000"
"In post","2022","Communications","SEO/HEO","Female","1290","1240","37800","37710"
"In post","2022","Communications","SEO/HEO","Male","860","850","38180","38160"
"In post","2022","Communications","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","SCS","Female","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","SCS","Male","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","SEO/HEO","Female","40","40","[c]","[c]"
"In post","2022","Corporate Finance","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","AA/AO","Female","1000","810","22530","21260"
"In post","2022","Counter Fraud","AA/AO","Male","490","460","22430","21260"
"In post","2022","Counter Fraud","EO","Female","2190","1920","28110","27570"
"In post","2022","Counter Fraud","EO","Male","1430","1320","28220","27570"
"In post","2022","Counter Fraud","G6/G7","Female","60","50","58240","54760"
"In post","2022","Counter Fraud","G6/G7","Male","110","110","60670","59290"
